BOUNDARY_256_SURVIVAL,CORE_256_SURVIVAL,CORE_SHARE_OF_REMAINING_INCUMBENT,INTERMEDIATE_256_SURVIVAL,I_over_I0,area,arm,block,cx,cy,scaffold_cells,scaffold_mass_over_I0,size,time,track
0.08324584873964688,0.7171072646071552,0.7699457265054612,0.13102067044166954,0.9313737837884718,387,SHAM,L32_S990108,12.719832050273379,15.060040214947007,330,0.8640733312589598,32,1152,True
0.08190005995049386,0.7156347039864169,0.7728839470707978,0.12839299882572203,0.9259277627626328,387,SHAM,L32_S990108,12.720330602982989,15.06030948692129,328,0.856119980497528,32,1280,True
0.08078716623060532,0.7140449340507151,0.77542531954728,0.12601084364988777,0.920842943931208,387,SHAM,L32_S990108,12.720776873792753,15.060553933805886,326,0.8484646106385768,32,1408,True
0.08059219336621126,0.7126790459344644,0.7765210114668086,0.12451338649876027,0.9177846257994359,389,SHAM,L32_S990108,12.720522187082638,15.059080466341243,324,0.8410990489234492,32,1536,True
0.08048083641689048,0.7124678679294353,0.7767796820409294,0.12425843224803047,0.9172071365943562,389,SHAM,L32_S990108,12.720568172481485,15.05910691924037,323,0.8390688852246434,32,1552,True
0.07975391370290331,0.7109598990352215,0.7784782688915021,0.12255496745220464,0.9132687801903295,389,SHAM,L32_S990108,12.72088430987335,15.059286063056707,321,0.8324813938698794,32,1664,True
0.07901927489081793,0.7091827858649795,0.7802040008446629,0.12076890721822653,0.908970967974024,389,SHAM,L32_S990108,12.721236571687228,15.059479424239775,320,0.8270776773767481,32,1792,True
0.07836727050973805,0.7073616754800132,0.7817323642462801,0.11913531169264291,0.9048642576823941,389,SHAM,L32_S990108,12.721582771754877,15.059662411928862,319,0.8218396838984057,32,1920,True
0.07778253613892484,0.7055080847260308,0.7830912911827433,0.11763637534830242,0.900926996213258,389,SHAM,L32_S990108,12.721925181630661,15.059836331230457,318,0.8167464979707865,32,2048,True
0.07725358573354313,0.7036314606803546,0.7843037972590288,0.11625642241411707,0.8971414688280149,389,SHAM,L32_S990108,12.722265057511791,15.060002155548537,316,0.8102884765907983,32,2176,True
0.07677165751914977,0.7017395250435446,0.7853889740985746,0.1149817848538165,0.893492967416511,389,SHAM,L32_S990108,12.722602982038632,15.060160660267808,316,0.8069720323365063,32,2304,True
