AMBIENT_REMOVED_BY_SINK,AMBIENT_SINK_YIELD,DYNAMIC_NET_AMBIENT,DYNAMIC_NET_FRESH,DYNAMIC_NET_INCUMBENT,DYNAMIC_NET_TOTAL,FRESH_AFTER_128,FRESH_AFTER_16,FRESH_AFTER_2048,FRESH_AT_END_OF_FORCE,FRESH_COAST_RETENTION,FRESH_REMOVED_BY_LATER_SINKS,FRESH_SINK_YIELD,FRESH_TERMINAL_RETENTION,FRESH_WASHOUT_FRACTION,GROSS_FRESH_ADDED,GROSS_SINK_REMOVAL,INCUMBENT_REMOVED_BY_SINK,INCUMBENT_SINK_YIELD,M256,OPERATOR_DELTA_AMBIENT,OPERATOR_DELTA_FRESH,OPERATOR_DELTA_INCUMBENT,OPERATOR_DELTA_TOTAL_MASS,arm,block,size
4.140536339823286,0.054123329870021934,34.07835724705999,-14.565459974514361,-19.961136002183636,-0.44823872963803524,61.17971819713597,60.15629301578279,55.253010627696206,60.20814548591137,0.9176999255129912,6.683406680041891,0.08736264935543438,0.722243853230439,0.08736264935543435,76.50187728225247,76.50187728225244,65.67793426238728,0.858514020774544,164.20597186225112,-4.140536339823286,69.81847060221057,-65.67793426238728,2.842170943040401e-14,DIRECT_Q200_UNIFORM,L24_S990008,24
6.579725247867869,0.06797895272926131,40.422191149671924,-18.874101423836358,-19.110206581952312,2.437883143883113,61.59793037483349,61.6294148014194,60.61388826051236,61.684985181997085,0.9826360188249291,17.302634232333812,0.1787635365097754,0.6262371891794897,0.17876353650977533,96.79062391668253,96.7906239166825,72.90826443648085,0.7532575107609636,164.20597186225112,-6.579725247867869,79.48798968434872,-72.90826443648085,2.842170943040401e-14,DIRECT_Q400_UNIFORM,L24_S990008,24
7.095030215769113,0.07067224148333819,,,,,,,,,,18.761129203245126,0.18687602634939857,,0.1868760263493985,100.39345104742223,100.3934510474222,74.537291628408,0.7424517321672636,164.20597186225112,-7.095030215769113,81.63232184417711,-74.537291628408,2.842170943040401e-14,DIRECT_Q800_UNIFORM,L24_S990008,24
6.8425607122105445,0.07755155694655404,40.761584336720844,-16.551575611999517,-21.182387505734027,3.0276212189871785,62.41432978328427,62.846925589321124,60.98477932350696,62.954987888501336,0.9687044882212704,10.696054336769121,0.12122591262086319,0.6911834305160429,0.12122591262086319,88.2324092722756,88.2324092722756,70.69379422329595,0.801222530432583,164.20597186225112,-6.8425607122105445,77.53635493550648,-70.69379422329595,0.0,DIRECT_Q400_BURST,L24_S990008,24
1.9247711978926734,0.03035903503694304,26.73126907431329,0.0,-55.732002031978254,-29.000732957665036,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,63.4002759162297,61.47550471833705,0.9696409649630573,164.20597186225112,-1.9247711978926734,0.0,-61.47550471833705,-63.4002759162297,SINK_ONLY_Q800,L24_S990008,24
0.0,,,,,,,,,,,0.0,,,0.0,91.62875734682031,0.0,0.0,,164.20597186225112,-0.0,91.62875734682031,-0.0,91.62875734682031,SOURCE_ONLY_Q800,L24_S990008,24
0.0,,66.12874345561629,0.0,-70.79592384862266,-4.667180393006333,,,0.0,,,0.0,,,,0.0,0.0,0.0,,299.1842252564305,-0.0,0.0,-0.0,0.0,SHAM,L32_S990100,32
1.4814344130204584,0.02114846696975612,38.50437714296268,-8.612044393526489,-33.2140086421297,-3.3216758926935768,65.78145534202002,65.94003615393476,61.43612755107482,65.6818737369057,0.9353589362746018,0.0010857693984721642,1.5500084282194563e-05,0.8770418068084171,1.5500084282194563e-05,70.04925771399978,70.04925771399978,68.56673753158083,0.9788360329459613,299.1842252564305,-1.4814344130204584,70.04817194460131,-68.56673753158083,0.0,DIRECT_Q100_ANCHOR,L32_S990100,32
2.838330506162785,0.03217792694093911,45.190036809173705,-11.288780678972387,-37.582168167344534,-3.6809120371431163,81.45508901342525,81.55693414534623,76.76359191570613,81.41535311548667,0.9428638331497246,0.15500357882053092,0.0017572632306355812,0.8702627291023415,0.0017572632306355812,88.20737617349904,88.20737617349904,85.21404208851571,0.9660648098284251,299.1842252564305,-2.838330506162785,88.05237259467852,-85.21404208851571,0.0,DIRECT_Q200_UNIFORM,L32_S990100,32
6.611484068690779,0.05273738337125478,54.916482112702006,-19.925931303282013,-38.86591982201908,-3.8753690125989806,105.29383581435525,104.48190644863631,99.64160591109179,104.30990263165893,0.9552458913028429,5.798638466887947,0.046253612151580206,0.7948045425300871,0.046253612151580206,125.36617568126175,125.36617568126175,112.95605314568301,0.9010090044771649,299.1842252564305,-6.611484068690779,119.5675372143738,-112.95605314568301,0.0,DIRECT_Q400_UNIFORM,L32_S990100,32
13.118521776203828,0.064698855341116,70.55520212682913,-33.24496842022775,-33.65738547772165,3.652848228880032,116.16466128169539,116.65547388806404,117.02619042498888,116.72444265453255,1.0025851292462318,52.491652135567925,0.25888204982787727,0.577158059009545,0.25888204982787727,202.76281098078456,202.76281098078456,137.15263706901277,0.6764190948310066,299.1842252564305,-13.118521776203828,150.27115884521663,-137.15263706901277,0.0,DIRECT_Q800_UNIFORM,L32_S990100,32
5.541437197803993,0.05278276604459711,55.44298842534743,-14.751826159188667,-41.382702301115174,-0.6915400349562475,92.26257565591116,92.10869948991909,88.99670915844595,92.11346175925848,0.9661639836210014,1.2371941744865973,0.011784403275298899,0.8477029172343353,0.011784403275298897,104.98572949212122,104.98572949212121,98.20709811983046,0.9354328306801025,299.1842252564305,-5.541437197803993,103.74853531763462,-98.20709811983046,1.4210854715202004e-14,DIRECT_Q400_BURST,L32_S990100,32
