AMBIENT_DELTA,A_over_T_sham,A_over_T_treated,FRESH_PRESENT,F_over_T_treated,I0,INCUMBENT_EXCESS_EGRESS,I_over_I0_sham,I_over_I0_treated,I_over_T_treated,M256,PAIR_IDENTITY_RESIDUAL,TOTAL_MASS_DELTA,T_over_M256_treated,arm,block,sham_matched,size,status,terminal_time,treated_track_alive
-0.01623446354318006,0.23409061027390243,0.2101732282860431,0.36428498343188087,0.3602850240050376,165.5266955823193,0.3140959148959962,0.7484065246127543,0.43431060971675806,0.42954174770891895,165.52669558231926,8.526512829121202e-14,0.033954604992705154,1.0111022084192636,DIRECT_Q400_UNIFORM,L24_S990006,True,24,OK,7424,True
-0.01135347377114162,0.27848444893032254,0.252389029139964,0.36024950546606105,0.35302700992819197,165.5266955823193,0.2940426060983474,0.6966992663336364,0.402656660235289,0.39458396093184306,165.52669558231926,1.4210854715202004e-13,0.05485342559657284,1.0204587618928596,DIRECT_Q800_UNIFORM,L24_S990006,True,24,OK,12544,True
-0.013560476924809592,0.23409061027390243,0.20977957967313332,0.3762796621691272,0.3668350616944029,165.5266955823193,0.31412061154402166,0.7484065246127543,0.4342859130687326,0.42338535863246485,165.52669558231926,-1.5631940186722204e-13,0.048598573700295036,1.0257461771268535,DIRECT_Q400_BURST,L24_S990006,True,24,OK,7424,True
-0.11832052147426768,0.27848444893032254,0.35214287329355703,0.0,0.0,165.5266955823193,0.4196585304108908,0.6966992663336364,0.27704073592274564,0.6478571267064429,165.52669558231926,-1.4210854715202004e-14,-0.5379790518851586,0.4276262844111282,SINK_ONLY_Q800,L24_S990006,True,24,OK,12544,True
,,,,,165.5266955823193,,,,,165.52669558231926,,,,SOURCE_ONLY_Q800,L24_S990006,True,24,TREATED_TRACK_LOST,12544,False
-0.007366641290630727,0.17140765327256904,0.16446761578098373,0.24481032554941495,0.2487439058502459,161.78420696355911,0.2405727860469784,0.8180819231133909,0.5775091370664127,0.5867884783687709,161.78420696355897,-1.2079226507921703e-13,-0.003129101788194928,0.9841862244327741,DIRECT_Q100_ANCHOR,L24_S990007,True,24,OK,3584,True
-0.015169103020478735,0.1969155209397706,0.1805721826854025,0.325624727344565,0.3298269274080046,161.78420696355911,0.30554991175505236,0.7889129820063667,0.48336307025131464,0.48960088990659295,161.78420696355897,-7.105427357601002e-14,0.004905712569033476,0.9872593784368571,DIRECT_Q200_UNIFORM,L24_S990007,True,24,OK,4864,True
-0.02510581121012801,0.23392626218255347,0.20022395858990583,0.38731574410664343,0.3827721897974283,161.78420696355911,0.32375104886535366,0.7457047889428966,0.4219537400775432,0.41700385161266645,161.78420696355897,-1.9895196601282805e-13,0.03845888403116056,1.0118701264886034,DIRECT_Q400_UNIFORM,L24_S990007,True,24,OK,7424,True
,,,,,161.78420696355911,,,,,161.78420696355897,,,,DIRECT_Q800_UNIFORM,L24_S990007,True,24,TREATED_TRACK_LOST,12544,False
-0.03119294032265972,0.23392626218255347,0.19862122866404971,0.3686084174952928,0.37256194543393534,161.78420696355911,0.32143845275820654,0.7457047889428966,0.42426633618469034,0.4288168259020155,161.78420696355897,-1.8474111129762605e-13,0.015977024414425403,0.9893882668718682,DIRECT_Q400_BURST,L24_S990007,True,24,OK,7424,True
-0.12347413160392443,0.2783655496759909,0.34946412813592975,0.0,0.0,161.78420696355911,0.4229645181645667,0.6849734313286548,0.2620089131640885,0.6505358718640696,161.78420696355897,-5.684341886080802e-14,-0.5464386497684914,0.402758594100766,SINK_ONLY_Q800,L24_S990007,True,24,OK,12544,True
,,,,,161.78420696355911,,,,,161.78420696355897,,,,SOURCE_ONLY_Q800,L24_S990007,True,24,TREATED_TRACK_LOST,12544,False
-0.0072470379087422225,0.17094536530063179,0.16357248292260382,0.25389473523206546,0.2560743829188444,164.2059718622511,0.24627864286678947,0.8216919413730407,0.5754132985062511,0.5803531341585524,164.20597186225112,-1.9184653865522705e-13,0.0003690544565326176,0.9914882243903731,DIRECT_Q100_ANCHOR,L24_S990008,True,24,OK,3584,True
-0.011979526713955078,0.19654495590485105,0.1828177536079635,0.33648599987609934,0.33740703153817847,164.2059718622511,0.31580513582470754,0.7942706916547251,0.47846555583001743,0.4797752148538578,164.20597186225112,1.4210854715202004e-14,0.008701337337436808,0.9972702653590819,DIRECT_Q200_UNIFORM,L24_S990008,True,24,OK,4864,True
-0.019858722762849723,0.23142455218466895,0.2030825913176234,0.3691332755629622,0.363733113700959,164.2059718622511,0.3107997375695084,0.7504153010301022,0.43961556346059383,0.4331842949814181,164.20597186225112,-5.684341886080802e-14,0.03847481523060374,1.0148464950222895,DIRECT_Q400_UNIFORM,L24_S990008,True,24,OK,7424,True
,,,,,164.2059718622511,,,,,164.20597186225112,,,,DIRECT_Q800_UNIFORM,L24_S990008,True,24,TREATED_TRACK_LOST,12544,False
-0.019392492930657805,0.23142455218466895,0.20282422328887717,0.37139196968223415,0.36466823560910955,164.2059718622511,0.3099332082478919,0.7504153010301022,0.44048209278221034,0.4325075411020137,164.20597186225112,-4.973799150320701e-14,0.04206626850368419,1.01843794829537,DIRECT_Q400_BURST,L24_S990008,True,24,OK,7424,True
-0.11097293019314684,0.2738797022427965,0.3454705196414229,0.0,0.0,164.2059718622511,0.4085200698699397,0.6947366098588862,0.28621653998894636,0.6545294803585774,164.20597186225112,0.0,-0.5194930000630865,0.4372859413943363,SINK_ONLY_Q800,L24_S990008,True,24,OK,12544,True
,,,,,164.2059718622511,,,,,164.20597186225112,,,,SOURCE_ONLY_Q800,L24_S990008,True,24,TREATED_TRACK_LOST,12544,False
-0.0041739579684908976,0.12817592362751276,0.12513561723023545,0.20534547735067907,0.20765090979982231,299.1842252564305,0.21027936403444253,0.8700851372617097,0.6598057732272671,0.6672134729699426,299.1842252564305,1.7763568394002505e-13,-0.009107844652253755,0.9888975567149418,DIRECT_Q100_ANCHOR,L32_S990100,True,32,OK,3584,True
-0.006844801168569751,0.1490408959889353,0.14332058020473876,0.2565763346978342,0.2597723561181912,299.1842252564305,0.25774855026220816,0.8473117695442016,0.5895632192819935,0.5969070636770698,299.1842252564305,-4.263256414560601e-14,-0.008017016732943893,0.987696837846353,DIRECT_Q200_UNIFORM,L32_S990100,True,32,OK,4864,True
-0.017905561276248937,0.18101407871027778,0.16357449843673705,0.3330443168442088,0.33741489225375415,299.1842252564305,0.3189609884814858,0.8115078537529565,0.4925468652714707,0.49901060930950847,299.1842252564305,1.4210854715202004e-14,-0.003822232913525855,0.9870468805322961,DIRECT_Q400_UNIFORM,L32_S990100,True,32,OK,7424,True
-0.029052544790892722,0.22453282283299442,0.18966198454368347,0.39115093827118,0.3864328402006743,299.1842252564305,0.3342893450093826,0.7633701316038853,0.42908078659450277,0.42390517525564136,299.1842252564305,2.2737367544323206e-13,0.027809048470905432,1.012209361057553,DIRECT_Q800_UNIFORM,L32_S990100,True,32,OK,12544,True
-0.012569206452849395,0.18101407871027778,0.16717847270031996,0.2974645774929041,0.29815373563480313,299.1842252564305,0.2780759032592543,0.8115078537529565,0.5334319504937022,0.5346677916648769,299.1842252564305,-7.105427357601002e-14,0.00681946778080016,0.9976885812266221,DIRECT_Q400_BURST,L32_S990100,True,32,OK,7424,True
-0.10639151921536354,0.22453282283299442,0.26611035006127,0.0,0.0,299.1842252564305,0.44721509541476406,0.7633701316038853,0.31615503618912133,0.7338896499387298,299.1842252564305,0.0,-0.5536066146301276,0.43079369795651995,SINK_ONLY_Q800,L32_S990100,True,32,OK,12544,True
0.08144546326633478,0.22453282283299442,0.1842500922177204,0.4460263479346185,0.2716926050112277,299.1842252564305,-0.12978591072602247,0.7633701316038853,0.8931560423299079,0.5440573027710514,299.1842252564305,1.9895196601282805e-13,0.6572577219269764,1.641658034513624,SOURCE_ONLY_Q800,L32_S990100,True,32,OK,12544,True
