law_index,condition,seed,n_meas,sum_P,sum_M,sum_PP,sum_MM,sum_PM,mean_P,mean_M,mean_turnover,mean_abs_circulation,probe_count,cross_cadence_endpoints,eligible_seed,n_tracks,long_tracks,mean_track_obs,max_track_obs,censored_tracks,births,splits,merges,ambiguous
20,OFF,7002,367,275.37035361457816,182.88835055361326,210.4608940850005,110.32109410896028,141.8423061551353,0.7503279390043002,0.498333380255077,0.5016666197449224,0.18872059925484302,28,0,False,164,6,2.317073170731707,15,143,164,13,6,1
20,OFF,7003,345,261.18336668169195,189.14968763962554,201.2652619271569,127.65200517385213,149.11086381824995,0.7570532367585274,0.5482599641728276,0.4517400358271724,0.17377880365483178,14,0,False,164,4,2.2865853658536586,30,149,164,10,1,1
20,ON,7001,327,169.53262835724166,61.867261447462944,92.33185712065337,20.619975166375962,33.567640130835436,0.5184484047622069,0.18919651818796007,0.8108034818120402,0.7062388430669205,3,0,False,323,1,1.8390092879256965,8,308,323,13,8,1
20,ON,7002,330,174.92477025705168,72.49535202895811,96.95741871514075,26.99039489780457,39.25982291982463,0.530075061385005,0.2196828849362367,0.7803171150637637,0.6422747421971917,2,0,False,344,1,1.7761627906976745,12,323,344,13,8,7
20,ON,7003,342,180.8705662286632,74.22413671871273,100.47318121675345,26.681485887006833,41.14847740813243,0.5288613047621731,0.2170296395283998,0.7829703604716003,0.693774960562179,5,0,False,339,0,1.8495575221238938,7,318,339,15,11,3
21,OFF,7001,442,351.7077597062733,362.1939925265414,283.79814871911196,313.16339369688205,292.76970286787076,0.7957189133626092,0.8194434220057498,0.18055657799425134,0.10492809822312918,4,0,False,69,6,3.7246376811594204,61,66,69,0,3,0
21,OFF,7002,461,351.54372176402825,352.847605247722,272.82164646560204,292.57857363058025,273.8165324918951,0.7625677261692587,0.7653961068280304,0.23460389317197083,0.11484872006875119,6,0,False,59,7,4.220338983050848,61,56,59,2,4,0
21,OFF,7003,363,280.26852226769944,300.34527012439713,220.56354844551842,263.72664589359096,236.81870210436222,0.7720895930239654,0.8273974383592207,0.17260256164077917,0.14634096978804031,1,0,False,77,4,3.103896103896104,50,68,77,0,4,0
21,ON,7001,182,79.96802197405479,36.55347790333484,38.08619749505574,11.595476032798448,16.95187453189221,0.4393847361211802,0.20084328518315844,0.7991567148168415,1.0776119618730264,0,0,False,287,0,1.543554006968641,6,278,287,3,8,1
21,ON,7002,231,106.15346139844164,44.38829494069568,52.53264640148033,13.09554314542395,21.18005162369392,0.4595387939326478,0.19215712095539256,0.8078428790446076,0.9711701975962089,2,0,False,309,0,1.6601941747572815,6,285,309,11,7,0
21,ON,7003,254,109.46306843480357,47.77441108553623,51.283539316634446,14.433174149225142,21.687395428798535,0.43095696234174635,0.18808823262022137,0.8119117673797789,1.0191454528713901,0,0,False,288,1,1.7118055555555556,9,276,288,9,5,1
22,OFF,7001,321,216.89913754528266,164.2038552008509,152.23042532380632,108.98374337085212,117.3780314777745,0.6756982478046188,0.511538489722277,0.48846151027772294,0.32454283846172793,8,0,False,197,6,2.0913705583756346,14,185,197,7,6,4
22,OFF,7002,296,204.74118285450888,165.1175268723529,145.73653493300964,111.63152630193214,119.70154441901344,0.6916931853192867,0.5578294826768679,0.44217051732313256,0.3212147220857923,5,0,False,194,7,1.9690721649484537,13,182,194,5,5,0
22,OFF,7003,348,243.94945380166635,189.12828514204452,175.4408480996317,126.60904273023174,137.15384476687876,0.7010041775909953,0.5434720837415072,0.45652791625849276,0.25610934215894887,11,0,False,199,6,2.1055276381909547,25,193,199,14,8,0
22,ON,7001,201,88.08538338880496,34.093254052636986,41.99112403194052,9.878999958911933,15.517697468804313,0.43823573825276096,0.16961817936635318,0.8303818206336467,1.0765019353074248,1,0,False,305,0,1.580327868852459,7,293,305,9,10,3
22,ON,7002,215,94.14668378936251,41.90058448227812,44.96325328058403,13.893939776587242,19.957687166497713,0.43789155250866285,0.19488643945245637,0.8051135605475438,1.0052366930626064,0,0,False,308,0,1.6006493506493507,7,290,308,8,5,0
22,ON,7003,246,111.47663316579583,47.15107720990877,54.82766011426031,16.347836186321825,23.143826761440067,0.4531570453894139,0.19167104556873485,0.8083289544312655,0.9312854724217238,1,0,False,321,0,1.6510903426791277,7,300,321,5,7,2
23,OFF,7001,397,280.2327133666622,220.73445529861954,203.84134112843603,145.08685510039604,160.52911281232494,0.7058758523089729,0.5560061846312835,0.44399381536871674,0.21924461583120625,9,0,False,154,7,2.448051948051948,24,145,154,9,5,0
23,OFF,7002,463,353.69474562107575,308.5898162561686,274.90712407113955,236.34248770967204,243.1452317298834,0.7639195369785653,0.6665006830586795,0.3334993169413207,0.1701777657191046,17,0,False,111,9,3.045045045045045,42,102,111,4,5,0
23,OFF,7003,393,295.93841380579096,268.0011844840351,226.3890547549938,201.91461328066146,205.3846696577696,0.7530239537043026,0.6819368561934736,0.3180631438065264,0.15332386151112473,6,0,False,140,6,2.4285714285714284,36,131,140,0,7,1
23,ON,7001,284,132.28673399267186,51.80242054566778,66.02317370264319,15.604202543990075,25.452692926613928,0.46579835912912626,0.1824028892453091,0.8175971107546914,0.9754104434979625,1,0,False,303,1,1.7590759075907592,13,282,303,13,8,1
23,ON,7002,278,122.0853916184027,50.62607952058082,58.672046697861205,16.105914593576205,24.169458680786832,0.43915608495828307,0.1821081997143195,0.8178918002856806,0.9732500802798797,0,0,False,294,3,1.7585034013605443,9,273,294,7,9,3
23,ON,7003,238,106.02190193880331,46.50906576344699,51.23940162446919,16.08286387296313,22.126471410994846,0.4454701762134593,0.19541624270355878,0.8045837572964415,0.9570718328257294,1,0,False,319,0,1.664576802507837,7,292,319,6,7,2
24,OFF,7001,374,274.05457800028705,157.97757609257073,204.5198668865666,86.86964666175069,120.23670626291639,0.7327662513376659,0.4223999360763923,0.5776000639236077,0.2074857385219689,33,0,False,253,7,1.9881422924901186,18,238,253,10,12,1
24,OFF,7002,305,219.16921732805426,133.07500700818704,161.58784164267695,75.9294523018388,100.48171850354734,0.7185875977968992,0.4363114983874985,0.5636885016125016,0.21876414467096103,17,0,False,225,3,1.9822222222222223,11,207,225,4,5,4
24,OFF,7003,333,242.91695547043952,156.61622972462226,180.84120849228546,89.92758968853947,118.43230047224887,0.7294803467580766,0.4703190081820488,0.5296809918179516,0.21322279101418948,22,0,False,226,4,2.02212389380531,10,208,226,6,9,0
24,ON,7001,195,87.41940013783329,42.222176024127535,42.900227517202495,14.580023719815816,20.774305326042533,0.4483046160914528,0.21652397961091044,0.7834760203890896,1.0577102524038315,0,0,False,297,1,1.5622895622895623,10,282,297,6,4,3
24,ON,7002,283,130.75337182190344,53.969047822214826,65.41197021839568,17.144255596048424,26.682726931630558,0.4620260488406482,0.1907033491951054,0.8092966508048947,0.9396565789835916,1,0,False,292,2,1.7773972602739727,9,274,292,6,8,1
24,ON,7003,241,107.14146706229047,53.2551353701215,51.43877616787007,19.04415382128365,25.33422819781346,0.44457040274809323,0.2209756654361888,0.7790243345638114,0.9375266786557579,1,0,False,320,0,1.66875,7,302,320,9,8,2
25,OFF,7001,1082,1004.5618809441295,1018.2230083169321,941.1230839993553,984.8769903580649,957.1289316855397,0.9284305738855171,0.941056384766111,0.05894361523388866,0.031606320265424884,11,0,False,41,16,11.024390243902438,59,26,41,2,6,0
25,OFF,7002,1393,1282.528477543227,1285.9138819513814,1190.6273768093351,1230.1813293046084,1201.441967907615,0.9206952459032498,0.9231255433965408,0.07687445660345876,0.03409652481790923,13,0,False,58,22,10.310344827586206,57,37,58,7,5,6
25,OFF,7003,942,871.007590086259,857.8306215047344,813.6573348282831,821.0356804266377,809.3040073120612,0.924636507522568,0.9106482181578921,0.08935178184210746,0.03514330673631646,9,0,False,51,14,8.254901960784315,61,39,51,9,4,0
25,ON,7001,253,111.37853365210245,48.09566690061887,53.31393957504,15.691779302583559,22.82213301419277,0.4402313583087053,0.1901014502000746,0.8098985497999254,1.0174119970969484,0,0,False,308,1,1.6850649350649352,8,284,308,10,10,3
25,ON,7002,235,101.80263309264866,49.26863240417449,47.5485058159241,16.053280885720223,22.35919909375212,0.43320269401127093,0.2096537549113808,0.7903462450886193,1.1192827242860468,0,0,False,290,0,1.7,7,272,290,8,11,3
25,ON,7003,228,97.47884308180778,41.04836175366418,45.06633324367526,12.702060872220747,18.77902896255002,0.42753878544652535,0.18003667435817625,0.8199633256418238,1.0066595801357265,2,0,False,311,0,1.630225080385852,6,296,311,8,8,1
26,OFF,7001,427,341.85393654560033,296.9589011150657,277.87152413972854,224.4149922101231,243.49654704734775,0.8005946991700242,0.6954541009720508,0.3045458990279501,0.1163070051309177,17,0,False,63,8,4.190476190476191,34,60,63,2,1,0
26,OFF,7002,638,520.3122300589766,412.2327252519319,428.53782681599995,301.8745952701516,342.8784527968741,0.8155364107507471,0.6461327982005203,0.35386720179947945,0.08679885894779153,52,0,False,89,13,4.235955056179775,36,80,89,12,11,0
26,OFF,7003,388,307.87529103934156,278.6450763715203,249.4345719466235,219.25109942517287,226.75054593385437,0.7934930181426328,0.7181574133286606,0.2818425866713393,0.10567873115931978,14,0,False,91,7,3.2747252747252746,21,79,91,4,2,0
26,ON,7001,221,94.107050852517,43.27163527145671,43.492997634122524,14.39864593711005,19.806732751609086,0.4258237595136516,0.19579925462197606,0.8042007453780242,0.9512258878235539,1,0,False,327,2,1.5504587155963303,10,312,327,10,10,2
26,ON,7002,216,90.6915241908333,43.21448854605731,42.44189717923648,15.811369452742095,20.397619319403923,0.4198681675501542,0.20006707660211717,0.7999329233978829,1.045018692427751,1,0,False,321,0,1.604361370716511,7,297,321,4,5,3
26,ON,7003,256,111.26288573168661,49.41766870426425,53.449413175169255,16.54342441949819,22.806199934000958,0.4346206473894008,0.19303776837603223,0.806962231623968,1.1040871303332427,0,0,False,302,2,1.695364238410596,9,281,302,7,12,2
27,OFF,7001,432,333.6336966342968,320.5777226351204,265.0143947736924,263.0190174227849,255.22614858481714,0.7723002236905019,0.7420780616553713,0.2579219383446296,0.13840131018100946,14,0,False,100,9,3.06,61,91,100,6,4,0
27,OFF,7002,440,336.6100273697637,304.3716609695376,262.86108320632223,235.03971379427028,239.65983318496808,0.7650227894767357,0.6917537749307672,0.30824622506923266,0.15769042223959961,11,0,False,131,7,2.7099236641221376,54,122,131,6,6,1
27,OFF,7003,522,392.3461961227777,351.7271570694943,301.95158088255386,263.81693334320977,272.2922151998207,0.751621065369306,0.6738068143093761,0.32619318569062355,0.1284738150526969,9,0,False,109,10,3.3211009174311927,32,100,109,5,9,0
