L,seed,arm,injection,contact,capture,incorporation_16,durable_128,capture_le_contact,inc16_le_capture,d128_le_inc16,contact_le_injection,direct_dynamic_capture_is_zero
32,980105,SHAM,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
32,980105,D1_LEGACY_Q005,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
32,980105,D1_REDESIGNED_Q005,7.875118549175048,4.181355325244175,3.513162623234732,4.212947749222111,4.161641139135696,True,False,True,True,True
32,980105,D2_REDESIGNED_Q005,14.972633825238681,7.459285955054398,3.757526777036033,5.120682270631047,5.011450808302396,True,False,True,True,True
32,980105,D2_REDESIGNED_Q020,26.64395483654471,10.545373337607105,8.542962195301618,13.027489061836048,12.099817125067066,True,False,True,True,True
32,980105,D2_REDESIGNED_Q050,28.73528745572676,9.996383023212026,9.408163665648381,16.62939447587562,14.995832031627476,True,False,True,True,True
32,980105,D2_REDESIGNED_Q100,30.004475372041398,9.91007091144943,10.047934862050408,19.62589044550642,17.60743909301603,False,False,True,True,True
32,980105,DIRECT_INTERFACE_Q100,70.30368898394507,7.044305676799356,13.917703872986644,66.36963930208087,66.23291599970554,False,False,True,True,False
32,980106,SHAM,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
32,980106,D1_LEGACY_Q005,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
32,980106,D1_REDESIGNED_Q005,6.90681387265131,3.269065557864443,3.088148999967481,3.551472112012079,3.5418360470613077,True,False,True,True,True
32,980106,D2_REDESIGNED_Q005,14.646147326970256,8.288655825929252,4.9687488718064765,6.5095099446216995,6.3908406974679375,True,False,True,True,True
32,980106,D2_REDESIGNED_Q020,20.989224157459294,9.311901421371429,7.95679568621672,11.207647456342858,10.664619923569102,True,False,True,True,True
32,980106,D2_REDESIGNED_Q050,23.20365194153029,9.344262079511685,9.327184924094865,16.567864234395785,15.18627303028754,True,False,True,True,True
32,980106,D2_REDESIGNED_Q100,25.114358479912205,7.660251062949459,10.36455406014518,18.9773427943624,17.644105079064307,False,False,True,True,True
32,980106,DIRECT_INTERFACE_Q100,71.328717073782,6.154670784016114,13.93124831652338,67.71449746621686,67.54205789962379,False,False,True,True,False
32,980107,SHAM,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
32,980107,D1_LEGACY_Q005,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
32,980107,D1_REDESIGNED_Q005,8.494625069904052,4.077533844671378,3.7536441927986344,4.359051867391647,4.331248400659026,True,False,True,True,True
32,980107,D2_REDESIGNED_Q005,14.941023212562364,8.891854014014179,4.728984386661686,6.563984671934478,6.483921038173397,True,False,True,True,True
32,980107,D2_REDESIGNED_Q020,23.353466715708905,10.523539820660224,8.811021200741159,14.009961437017708,12.31170424510545,True,False,True,True,True
32,980107,D2_REDESIGNED_Q050,24.7300901573631,10.666161463192598,9.571882817678421,17.192920229283345,15.376365167198381,True,False,True,True,True
32,980107,D2_REDESIGNED_Q100,25.850417445712782,9.822306972070756,10.344320863032332,19.654695042011028,17.96022458871399,False,False,True,True,True
32,980107,DIRECT_INTERFACE_Q100,73.30697553157198,7.136019670898352,13.772973656216406,69.17378553698721,68.89143047806769,False,False,True,True,False
32,980108,SHAM,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
32,980108,D1_LEGACY_Q005,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
32,980108,D1_REDESIGNED_Q005,8.725859757792577,4.105375406997326,3.1436959433865774,3.689293808574312,3.652135878676975,True,False,True,True,True
32,980108,D2_REDESIGNED_Q005,14.73092340060546,6.33557346868869,2.861067053841192,3.5670735136508522,3.4369199310541823,True,False,True,True,True
32,980108,D2_REDESIGNED_Q020,27.128309400315572,10.574912767313231,7.230798086231938,9.83929507492671,9.593309293635853,True,False,True,True,True
32,980108,D2_REDESIGNED_Q050,30.85751872932156,9.910931784018606,8.565496214084568,14.535275569756871,12.918577111730267,True,False,True,True,True
32,980108,D2_REDESIGNED_Q100,32.81431298403639,9.562597814434584,9.600701552720848,18.14440226635227,16.955981756493177,False,False,True,True,True
32,980108,DIRECT_INTERFACE_Q100,67.32751600041428,6.604744546688128,13.746612677745738,63.706946880634156,63.49066594327792,False,False,True,True,False
