law_index,condition,seed,n_meas,sum_P,sum_M,sum_PP,sum_MM,sum_PM,mean_P,mean_M,mean_turnover,probe_count,cross_cadence_endpoints,eligible_seed,n_tracks,long_tracks,mean_track_obs,max_track_obs,censored_tracks,births,splits,merges,ambiguous
5,OFF,7002,1296,1238.126678758723,1277.5588161021979,1189.6430375363368,1265.3997813381295,1224.159170721607,0.9553446595360517,0.985770691436881,0.014229308563118475,0,0,False,33,18,15.575757575757576,60,15,33,1,4,0
5,OFF,7003,1880,1797.21214390304,1822.1373698197226,1728.0558468155332,1793.4620557203843,1753.786186272928,0.9559639063314043,0.9692220052232567,0.030777994776743214,13,0,False,36,25,20.13888888888889,61,12,36,4,5,1
5,ON,7001,749,575.2320001361268,581.5983138472507,455.41524711871097,511.7029544501069,466.2958987158064,0.7680000001817446,0.7764997514649542,0.22350024853504585,7,0,False,132,21,3.840909090909091,22,117,132,15,17,10
5,ON,7002,1118,892.2068681088213,869.9904641520048,728.2220988195014,773.30742055355,721.2406426559705,0.7980383435678187,0.7781667836780007,0.22183321632200093,17,0,False,108,21,5.435185185185185,61,90,108,26,21,32
5,ON,7003,654,508.72270235589787,482.26845327111323,409.05870686346884,418.99266112133773,396.90974911689057,0.7778634592597826,0.7374135371117939,0.2625864628882064,10,0,False,141,21,3.3404255319148937,25,120,141,20,21,14
6,OFF,7001,694,544.1718556981515,476.1405015784779,439.13660853837536,375.39904707582684,392.517610269495,0.7841093021587198,0.6860814143782102,0.3139185856217898,19,0,False,148,18,3.310810810810811,28,130,148,10,7,2
6,OFF,7002,651,493.2480937886932,412.7172577789909,384.60728264645246,306.16766921593404,327.0999005368595,0.7576775634234919,0.6339742823025974,0.36602571769740283,30,0,False,137,17,3.4014598540145986,26,128,137,5,13,2
6,OFF,7003,941,744.0067687276523,640.4675256708376,600.9677567458973,511.25990126716243,528.9382929035627,0.7906554396680684,0.680624363093345,0.3193756369066548,34,0,False,143,22,4.111888111888112,37,128,143,6,19,5
6,ON,7001,202,142.19018050491763,137.76528302468986,104.27448833931494,108.50932058511476,102.95675206969544,0.7039117846778101,0.6820063516073755,0.317993648392624,1,0,False,123,3,2.048780487804878,16,117,123,3,1,0
6,ON,7002,177,124.1523210059753,132.67312614360858,90.58275308761134,111.99216670280283,97.50363850585012,0.7014255424066401,0.7495656844271671,0.25043431557283263,0,0,False,131,4,1.8854961832061068,13,128,131,1,1,0
6,ON,7003,278,195.9722375420623,191.03552074974556,143.42572345251472,152.1458539982175,141.77255104916873,0.7049361062664111,0.6871781321933293,0.31282186780667065,3,0,False,147,7,2.1904761904761907,13,132,147,6,8,1
7,OFF,7001,692,550.0774740825349,573.7308054794636,453.65105727716565,517.9212795859686,475.63915699598,0.7949096446279406,0.8290907593633867,0.17090924063661442,7,0,False,100,18,4.21,28,85,100,5,9,2
7,OFF,7002,1226,1062.7228422723922,1096.0591954077431,935.3353723652735,1020.0908691011225,965.4981386404272,0.8668212416577424,0.894012394296691,0.10598760570330878,7,1,True,61,17,8.868852459016393,61,46,61,3,14,11
7,OFF,7003,1236,1040.3641641890824,1051.5500212982338,895.908490935622,971.5914364857165,912.8397948755394,0.8417185794410053,0.8507686256458202,0.14923137435417905,12,0,False,77,25,7.753246753246753,40,56,77,13,16,11
7,ON,7001,602,420.3959868655979,382.94320790242233,306.20175571861745,303.93089324554103,287.44587807727027,0.6983322040956775,0.6361182855521965,0.36388171444780304,7,0,False,132,15,3.3484848484848486,28,114,132,18,15,3
7,ON,7002,424,296.69432871671125,267.94248482982357,215.70489946845703,206.59651652969012,200.3218732083835,0.6997507752752624,0.631939822711848,0.36806017728815194,5,0,False,161,10,2.608695652173913,14,140,161,20,19,12
7,ON,7003,716,542.3047427287858,533.7982053614281,422.2295778349292,467.77116010135217,423.59471737359615,0.7574088585597566,0.7455282197785309,0.2544717802214682,5,0,False,144,15,3.4930555555555554,26,126,144,20,18,17
8,OFF,7001,1329,1201.1979929188456,1208.027921369137,1098.0169039297004,1139.1619849554447,1108.289019902462,0.9038359615642179,0.9089751101347908,0.09102488986520953,23,0,False,32,21,16.71875,61,17,32,1,9,0
8,OFF,7002,1636,1502.2254979101433,1539.1651071151061,1389.9362188022485,1476.6909872166786,1425.788296786161,0.9182307444438529,0.9408099676742703,0.05919003232572914,11,0,False,42,23,15.523809523809524,61,21,42,1,6,13
