law_index,condition,seed,n_meas,mean_P,mean_M,min_M,probe_count,eligible_seed,n_tracks,max_track_obs,long_tracks,mean_abs_circulation,total_mass_drift,exchange_rate
18,OFF,8003,154,0.9823392501638687,0.9717572938085722,0.8336410358222066,0,False,2,31,2,0.00031736023205146413,0.0,0.0
18,ON,8001,2823,0.9762338927698296,0.8839312199466459,0.16788650246514122,54,True,46,28,40,8.656112784272992e-05,3.6450476008383436e-16,0.18327032136105859
18,ON,8002,2915,0.9763461535281013,0.8883962994110652,0.2692734939478463,49,True,45,30,41,9.073240104601789e-05,3.2135374792891285e-16,0.18327032136105859
18,ON,8003,2901,0.9779396075394986,0.8868645498075476,0.22494467996568793,72,True,51,30,42,8.128019835607491e-05,0.0,0.18327032136105859
19,OFF,8001,83,0.988081415144773,0.9901957172819065,0.9343191146416757,0,False,1,31,1,0.00038734747467030877,0.0,0.0
19,OFF,8002,83,0.9712536840345248,0.9930134402706123,0.9525023722324859,0,False,1,31,1,4.348015766556888e-05,0.0,0.0
19,OFF,8003,83,0.9717979064492022,0.9901640332740884,0.9274492940910146,0,False,1,31,1,0.00042920018474463617,2.019349033254398e-16,0.0
19,ON,8001,1576,0.9678354913606452,0.8788947442887498,0.12745960198932477,15,True,36,30,24,0.0004625538605591177,1.78681062860312e-16,0.21587901701323253
19,ON,8002,1822,0.9682503835746362,0.8841735310482851,0.251188126249494,8,True,31,29,25,0.0004910438916510115,3.150566770150087e-16,0.21587901701323253
19,ON,8003,1297,0.9678978118808244,0.8788935347548715,0.20273700268513975,18,True,37,30,19,0.0005048295243307451,4.038698066508796e-16,0.21587901701323253
20,OFF,8001,83,0.9888224522127667,0.9899721911543954,0.9661317549764235,0,False,1,31,1,8.000127976160641e-05,3.504940377495519e-16,0.0
20,OFF,8002,83,0.9831540953008473,0.9929916178729217,0.9758150295383899,0,False,1,31,1,2.495441060412558e-05,0.0,0.0
20,OFF,8003,83,0.9823149669007901,0.9895670599800167,0.96112146742917,0,False,1,31,1,2.795887884566249e-05,0.0,0.0
20,ON,8001,3341,0.9697548252821174,0.8974664954013268,0.16845733174087452,2,False,66,28,56,6.83827104576529e-05,1.7524701887477596e-16,0.24848771266540642
20,ON,8002,3542,0.969329573621404,0.9002602203932676,0.008104314223146315,8,False,66,31,57,6.897123948703237e-05,3.090016509843421e-16,0.24848771266540642
20,ON,8003,2859,0.9699885664719804,0.8992180966644066,0.17616929650939744,12,True,67,28,56,7.561151097719608e-05,1.9805394734088396e-16,0.24848771266540642
21,OFF,8001,83,0.9893918267231624,0.9903490778784526,0.968753772540655,0,False,1,31,1,0.00019148875202878142,0.0,0.0
21,OFF,8002,83,0.983379516421435,0.9930259450543499,0.9766442796512794,0,False,1,31,1,1.874000478576642e-05,1.5158748875843792e-16,0.0
21,OFF,8003,83,0.9832273964209945,0.9895578302438688,0.9634415157417886,0,False,1,31,1,0.0001612577404510057,1.9431935344333687e-16,0.0
21,ON,8001,873,0.9504923236309722,0.8770361466831526,0.26359286706955715,2,False,30,29,16,0.00019265597794068808,1.7194248263078684e-16,0.2810964083175803
21,ON,8002,1004,0.9671387390298045,0.9057094238711768,0.32698694363891356,0,False,27,29,18,0.00022652200721931724,4.547624662753137e-16,0.2810964083175803
21,ON,8003,539,0.9756240600167324,0.9160717231695409,0.3693773348175699,2,True,19,29,10,0.00019861682836937408,1.9431935344333687e-16,0.2810964083175803
22,OFF,8001,83,0.9889270317063278,0.9892857205281571,0.9639679065959149,0,False,1,31,1,9.626662955124543e-05,0.0,0.0
22,OFF,8002,83,0.9850501646988302,0.9925656952344215,0.973167041897757,0,False,1,31,1,2.2517704677589113e-05,0.0,0.0
22,OFF,8003,83,0.9848573163967628,0.9885215925157569,0.9581983033992728,0,False,1,31,1,7.752423326440317e-05,0.0,0.0
22,ON,8001,58,0.9428292709601166,0.8879511772122605,0.5334322638136271,0,False,12,21,1,0.0004897097540870514,0.0,0.3137051039697542
22,ON,8002,141,0.9557711532692729,0.9134515483136698,0.19520468218111664,0,False,10,20,3,0.001172132981668378,2.9756397793298127e-16,0.3137051039697542
22,ON,8003,76,0.9257941823475759,0.8709947003959474,0.38984304019434407,4,False,11,10,3,0.0005382266450811687,3.814459905204129e-16,0.3137051039697542
23,OFF,8001,83,0.9941298448808122,0.9965810985522388,0.9896612963193752,0,False,1,31,1,0.0005100569830643525,1.656936936957876e-16,0.0
23,OFF,8002,83,0.9931401250151316,0.996617877978416,0.9901243642454861,0,False,1,31,1,8.861281566352985e-05,1.4607844754916285e-16,0.0
23,OFF,8003,83,0.9925052238895777,0.9951904253966382,0.9858965490958125,0,False,1,31,1,0.00021326378660245675,1.872573370813868e-16,0.0
23,ON,8001,1677,0.9811183200824443,0.8869857239164497,0.10852833480797047,36,True,29,30,23,5.332568947538986e-05,3.313873873915752e-16,0.3463137996219281
23,ON,8002,1605,0.981236418376294,0.8958544018036333,0.0644950103698413,25,True,27,30,22,6.523134372242123e-05,2.921568950983257e-16,0.3463137996219281
23,ON,8003,1554,0.9798814067961272,0.8866760988422648,0.09471647227559311,38,True,25,30,21,6.771596100611984e-05,1.872573370813868e-16,0.3463137996219281
24,OFF,8001,83,0.9933884706571038,0.9917964587700059,0.9773420519458107,0,False,1,31,1,0.00017350882542293452,1.627365811427827e-16,0.0
24,OFF,8002,83,0.9944195101522124,0.9940943739149115,0.9841438257252078,0,False,1,31,1,5.301392231135347e-05,1.4347140559520542e-16,0.0
24,OFF,8003,139,0.9831929626092206,0.9783234361094505,0.8548126355194926,0,False,2,31,2,6.983917328307584e-05,1.8391538115189749e-16,0.0
24,ON,8001,3870,0.9789903058339062,0.8910053066092058,0.0540585033611426,20,True,90,30,64,9.934319127226163e-05,4.88209743428348e-16,0.37892249527410204
24,ON,8002,3908,0.9760051873459938,0.8937915983030331,0.0681374989668576,22,False,82,30,63,0.00011670872955818338,2.8694281119041085e-16,0.37892249527410204
24,ON,8003,3476,0.9777964551099732,0.8987381034085465,0.17721094199642842,17,False,83,30,64,0.00013604329951670506,3.6783076230379497e-16,0.37892249527410204
25,OFF,8001,83,0.9914117349099278,0.9921554197105443,0.9777182257671321,0,False,1,31,1,0.0003352555047777935,0.0,0.0
25,OFF,8002,83,0.988765775311814,0.9942010986934574,0.9834979747006714,0,False,1,31,1,0.00015863702082891538,1.409557870581854e-16,0.0
25,OFF,8003,83,0.9880081558405566,0.9914128870427488,0.9762710173008897,0,False,1,31,1,0.00015517694489696677,1.806906205095282e-16,0.0
25,ON,8001,366,0.9400940028259507,0.8329717877926841,0.1399957158682832,9,False,58,21,11,0.0010439620516316357,1.5988316823812987e-16,0.411531190926276
25,ON,8002,354,0.9320869835298474,0.8324547790579218,0.26868741385849393,4,False,69,20,8,0.001078440321092739,2.819115741163708e-16,0.411531190926276
25,ON,8003,70,0.894994184734401,0.7401602354362111,0.14486380831479828,4,True,25,21,1,0.0005556820287842345,1.806906205095282e-16,0.411531190926276
26,OFF,8001,83,0.9916644782462309,0.9915650737021934,0.9758517977685409,0,False,1,31,1,0.00035145061870216736,0.0,0.0
26,OFF,8002,83,0.9901983000129586,0.9938636403159741,0.9832369869007408,0,False,1,31,1,0.000153960086677155,1.3852686576924504e-16,0.0
26,OFF,8003,83,0.9889690142488746,0.9904034980003871,0.9733961710914054,0,False,1,31,1,0.00013039185764952808,1.7757699669863581e-16,0.0
26,ON,8001,75,0.919509838314,0.7781711783393849,0.24436117561183832,6,False,35,7,0,0.0005378712984033558,3.1425618837689117e-16,0.4441398865784499
26,ON,8002,189,0.9612683335492229,0.892683526377328,0.31001444936580735,7,False,24,22,2,0.0003619218689176496,2.770537315384901e-16,0.4441398865784499
26,ON,8003,27,0.7869160323029265,0.4942274916596461,0.11820456245137358,2,True,7,12,1,0.000275220395545328,3.5515399339727163e-16,0.4441398865784499
27,OFF,8001,83,0.9923683206598005,0.9917581824281071,0.9766042351472555,0,False,1,31,1,0.0007748395171266011,1.5446636144536257e-16,0.0
27,OFF,8002,83,0.991498381294602,0.9938689573249228,0.9831242109333583,0,False,1,31,1,0.0004305225506948807,0.0,0.0
27,OFF,8003,83,0.9910666646501854,0.9908206321590557,0.9739593884780587,0,False,1,31,1,0.00031848282372813624,1.7456886178188303e-16,0.0
27,ON,8001,73,0.984838199630934,0.9660715191432336,0.6817348679553101,0,False,3,27,1,0.0014252880225916267,4.633990843360877e-16,0.47674858223062383
27,ON,8002,71,0.9685071021199194,0.9277653935841446,0.16817696403905846,2,False,3,25,1,0.0011761018449145191,2.723604716053244e-16,0.47674858223062383
27,ON,8003,4,0.7310353040768992,0.3154452099069953,0.061525437353147,1,False,1,4,0,0.00011175331800643328,5.237065853456491e-16,0.47674858223062383
28,OFF,8001,83,0.9924938411244884,0.9890284976754035,0.9666454342575143,0,False,1,31,1,0.00028960492482228034,0.0,0.0
28,OFF,8002,83,0.9948096814643056,0.9929084570163326,0.9796515793695572,0,False,1,31,1,7.544737444492923e-05,1.339117848032627e-16,0.0
28,OFF,8003,151,0.9863106542379747,0.9787472392373873,0.8544237351235809,0,False,2,31,2,9.653559109371514e-05,0.0,0.0
28,ON,8001,4625,0.9749787206631297,0.9097753515139952,0.18585361281823684,54,False,89,30,74,0.0001356099285058013,1.5189330545137754e-16,0.5093572778827978
28,ON,8002,4773,0.9751615761544871,0.913981787420828,0.14436035267433944,22,True,83,30,74,0.00017185535319641198,2.678235696065254e-16,0.5093572778827978
28,ON,8003,4654,0.9776356892286304,0.9231505337659343,0.2610172309439439,6,False,85,30,71,0.00011890137417315769,3.4332188829752366e-16,0.5093572778827978
29,OFF,8001,83,0.9933679236387829,0.9902893739841596,0.9731162657037722,0,False,1,31,1,0.001023085307156758,2.9880913471988755e-16,0.0
29,OFF,8002,83,0.9960706454974861,0.9932156420261372,0.9800167687793998,0,False,1,31,1,0.0004730529777888775,1.3171766993597878e-16,0.0
29,OFF,8003,83,0.9942007187550682,0.9893275501198555,0.9701531839069172,0,False,1,31,1,0.00031232422520318764,1.688483176854365e-16,0.0
29,ON,8001,1918,0.9787066199819231,0.9072439868388993,0.1943295859270084,0,False,32,30,26,0.00011126615881201932,2.9880913471988755e-16,0.5419659735349717
29,ON,8002,1975,0.9802655694909518,0.912358031823504,0.22355683267772827,1,False,30,30,27,0.00010370608379904595,1.3171766993597878e-16,0.5419659735349717
29,ON,8003,1388,0.9769553873401023,0.9138369773199612,0.132909025983336,0,False,34,30,26,0.000134050441351094,1.688483176854365e-16,0.5419659735349717
30,OFF,8001,83,0.9926687078103555,0.9885355903437222,0.9658131517816774,0,False,1,31,1,0.0009206525407122685,1.4676710355400496e-16,0.0
30,OFF,8002,83,0.9965013932702013,0.992502638367008,0.9756308723042075,0,False,1,31,1,0.0005394528795943738,1.293924358872647e-16,0.0
30,OFF,8003,112,0.9675121659709042,0.9627920435415177,0.8371920898516423,0,False,2,31,2,0.00023473347196826998,1.658676101042813e-16,0.0
