law_index,seed,n_meas,mean_P,mean_M,probe_count,eligible_seed,n_tracks,max_track_obs,long_tracks,mean_abs_circulation,mean_entity_mass,mean_entities_per_snapshot
15,8002,83,0.9920181309869186,0.9976121353932027,0,False,1,31,1,0.0003021941794125488,1067.7080429878376,1.0
15,8003,100,0.9757359701319354,0.982869184363104,0,False,2,31,2,0.0001513658450510216,614.561223949686,1.2903225806451613
16,8001,92,0.9920278995417667,0.9899615208805841,0,False,6,22,2,0.00012891873925197802,561.3341689557526,1.5483870967741935
16,8002,85,0.9889550445662193,0.9919150616538374,0,False,2,31,1,0.0003630005929709084,955.4486895659475,1.096774193548387
16,8003,139,0.9785910115497221,0.9792555605457981,0,False,2,31,2,3.9403640166812466e-05,452.8179464250578,1.7096774193548387
17,8001,78,0.992833050058369,0.9945742140654338,0,False,3,28,1,0.00013266032443107483,810.4128237628229,1.096774193548387
17,8002,83,0.9896476751217155,0.995944964282281,0,False,1,31,1,0.00016746073337156207,1059.613860625678,1.0
17,8003,130,0.9783759897120163,0.9832231845865052,0,False,2,31,2,6.629658378669373e-05,487.63697830898747,1.6129032258064515
18,8001,84,0.9919765398220364,0.9931576366173169,0,False,3,24,1,0.00014214491263748883,719.8590549460622,1.2258064516129032
18,8002,83,0.9890655967439711,0.995068091706482,0,False,1,31,1,0.00023267724940228028,1055.6240397852855,1.0
18,8003,133,0.978675847579452,0.9817516626943317,0,False,2,31,2,8.29305565187694e-05,476.2134819010226,1.6451612903225807
19,8001,83,0.9934928933909655,0.9955945140512243,0,False,1,31,1,0.00021750177620670404,894.6916672400939,1.0
19,8002,83,0.9893222826983513,0.9963845457413264,0,False,1,31,1,0.00019118925178320496,1062.9374910704332,1.0
19,8003,130,0.9783758399895537,0.9835187547565836,0,False,2,31,2,8.089574612208786e-05,490.472597312816,1.6129032258064515
20,8001,105,0.9924459058999446,0.9888998306683335,0,False,5,19,4,8.338077136877568e-05,532.5526050398107,1.6451612903225807
20,8002,83,0.9885972263290385,0.9929460620704185,0,False,2,31,1,0.00015788987131134282,1018.8833964325489,1.032258064516129
20,8003,142,0.9793985411658631,0.9779300005654361,0,False,2,31,2,0.00013743587226268245,449.3032813305493,1.7419354838709677
21,8001,79,0.9930840337865406,0.995171395304325,0,False,3,29,1,0.0002087636838476774,838.8955767436456,1.064516129032258
21,8002,83,0.9885487861867785,0.9958654065655023,0,False,1,31,1,0.0001866387386567457,1061.5330642633928,1.0
21,8003,130,0.9784541394307845,0.981872483293919,0,False,2,31,2,7.646678540146058e-05,490.21798536324815,1.6129032258064515
22,8001,123,0.9929138278157643,0.9874639445887622,0,False,5,16,4,6.709325680131063e-05,479.77640200698534,1.8387096774193548
22,8002,83,0.9886708630766627,0.9928170050346485,0,False,2,31,1,0.0002704882002501529,1023.0654476927145,1.032258064516129
22,8003,145,0.9797744915011718,0.9774926485827572,0,False,2,31,2,0.00012874988686555294,444.8638088388319,1.7741935483870968
23,8001,83,0.9961563989674157,0.9969892615498658,0,False,1,31,1,0.00034089095039739804,901.2446566002424,1.0
23,8002,83,0.9935682635851806,0.9980141429493974,0,False,1,31,1,0.0002939662279001406,1069.0687586075453,1.0
23,8003,85,0.9800971799529007,0.9856873043561978,0,False,2,31,1,0.00017819256878237987,723.4506600337905,1.096774193548387
