law_index,seed,n_meas,mean_P,mean_M,probe_count,eligible_seed,n_tracks,max_track_obs,long_tracks,mean_abs_circulation,mean_entity_mass,mean_entities_per_snapshot
149,8003,145,0.9835909311960636,0.9754634551377183,0,False,2,31,2,0.000171763706973077,465.9718474252719,1.7741935483870968
150,8001,83,0.9949007014015472,0.9952072964198357,0,False,1,31,1,0.000150871750586005,892.8583058688027,1.0
150,8002,83,0.9926549341663901,0.9963306174204796,0,False,1,31,1,0.00011274669900018244,1063.2515447783192,1.0
150,8003,127,0.9811263897737831,0.9824948828979375,0,False,2,31,2,7.901140180132415e-05,499.32869222862206,1.5806451612903225
151,8001,83,0.9966024471903827,0.9969507761852383,0,False,1,31,1,0.0004011994445963001,906.0326160404068,1.0
151,8002,83,0.9914205786711461,0.9977152723463866,0,False,1,31,1,0.00021275263570320037,1071.5735331828462,1.0
151,8003,112,0.9788539811571838,0.9829992923535615,0,False,2,31,2,0.00014546935191649032,562.876916471209,1.4193548387096775
152,8001,144,0.9931676820305001,0.9794037081673876,0,False,5,17,4,9.902275528252072e-05,430.97607683243683,2.032258064516129
152,8002,84,0.9885978884614767,0.9858572686451772,0,False,2,31,1,0.000252813615733306,987.6010073110817,1.064516129032258
152,8003,151,0.9808300464911662,0.9718564196776258,0,False,2,31,2,0.00010881398348044094,427.5349995857839,1.8387096774193548
153,8001,99,0.992534469252827,0.988213047098595,0,False,3,19,3,0.00021513287135547547,645.9074228289602,1.3870967741935485
153,8002,83,0.9868607365384744,0.9923219563040389,0,False,1,31,1,0.0004493493706667005,1064.0750455085488,1.0
153,8003,142,0.9789491716809395,0.975898514240441,0,False,2,31,2,0.00017133670258843078,458.141448045243,1.7419354838709677
154,8001,174,0.9935028965203786,0.9776320094159779,0,False,6,22,4,0.00012165587145571702,374.10380627733497,2.3870967741935485
154,8002,84,0.9862759502610972,0.9842011241926121,0,False,2,31,1,0.00031327552135504725,995.3566530989999,1.064516129032258
154,8003,154,0.9815520246638193,0.9714863261317835,0,False,2,31,2,0.0001849846564739631,427.5682539984984,1.8709677419354838
155,8001,83,0.9898668183130244,0.9913080720869377,0,False,1,31,1,0.00022515454266886187,952.6732738023965,1.0
155,8002,83,0.9850750377166143,0.993776079632633,0,False,1,31,1,3.919499011258988e-05,1111.16410949189,1.0
155,8003,83,0.9839901535833376,0.9907913060209286,0,False,1,31,1,0.00019350280043141125,839.6124813784544,1.0
156,8001,83,0.9891516895664334,0.9905402852704936,0,False,1,31,1,0.00020028990987822838,950.5095833467918,1.0
156,8002,83,0.9846528027796015,0.9933201365165729,0,False,1,31,1,6.367151485278314e-05,1111.9905380283676,1.0
156,8003,83,0.9837286417848513,0.9898554734655133,0,False,1,31,1,0.00014010082127299396,840.7210316942366,1.0
157,8001,83,0.989686131511801,0.9908291769986246,0,False,1,31,1,0.0004493370835195941,947.3452695242452,1.0
157,8002,83,0.9850854854111253,0.9931970471769013,0,False,1,31,1,4.165559640468636e-05,1111.8285036060245,1.0
157,8003,83,0.9849044862277155,0.9899212121216967,0,False,1,31,1,0.00012877605445455514,839.5895991950307,1.0
158,8001,83,0.9891957826101898,0.9907605519327667,0,False,1,31,1,0.0002448245664135222,965.957589073027,1.0
158,8002,83,0.9824969399026485,0.9933499918716813,0,False,1,31,1,0.00010614876158842239,1121.7119776462764,1.0
