M256,PHI_over_M256_per_1000,PHI_per_step,block,bound_by,delivered_fraction,delivered_total,identity_residual,n_events,n_rejected,placement,planned_total,quantum,reject_causes,size,spacing,track_alive_at_end,window
165.32770555011422,0.14767420540616893,0.024414637548738183,L24_S990002,"{""PLANNED"": 17, ""SOURCE"": 15, ""SINK"": 0}",0.7560919316795847,50.0011776998158,4.218847493575595e-15,32,0,INTERFACE,66.13108222004571,2.0665963193764276,{},24,64,True,2048
165.32770555011422,0.2364188553952063,0.0390865869112737,L24_S990002,"{""PLANNED"": 11, ""SOURCE"": 203, ""SINK"": 23}",0.01891350843161641,80.04932999428854,3.885780586188048e-15,2048,1811,DISPERSED,4232.389262082946,2.0665963193764276,"{""NO_SINK_CAPACITY"": 1811}",24,1,True,2048
165.32770555011422,0.2385414508404609,0.039437510746048766,L24_S990002,"{""PLANNED"": 16, ""SOURCE"": 48, ""SINK"": 20}",0.07633326426894713,80.76802200790787,3.9968028886505635e-15,512,428,DISPERSED,1058.097315520736,2.0665963193764276,"{""NO_SINK_CAPACITY"": 428}",24,4,True,2048
165.32770555011422,0.23649440670084063,0.03909907763528554,L24_S990002,"{""PLANNED"": 34, ""SOURCE"": 0, ""SINK"": 15}",0.3027128405770759,80.07491099706479,4.107825191113079e-15,128,79,DISPERSED,264.52432888018285,2.0665963193764276,"{""NO_SINK_CAPACITY"": 79}",24,16,True,2048
165.32770555011422,0.1878150753366907,0.031051035473136916,L24_S990002,"{""PLANNED"": 29, ""SOURCE"": 0, ""SINK"": 3}",0.9616131857238559,63.592520648984404,3.885780586188048e-15,32,0,DISPERSED,66.13108222004571,2.0665963193764276,{},24,64,True,2048
168.3637932437601,0.17867491609091357,0.03008238663057676,L24_S990003,"{""PLANNED"": 11, ""SOURCE"": 2037, ""SINK"": 0}",0.014293993287272766,61.608727819421205,3.1086244689504383e-15,2048,0,INTERFACE,4310.113107040355,2.1045474155470014,{},24,1,True,2048
168.3637932437601,0.17613675959070704,0.029655052974355684,L24_S990003,"{""PLANNED"": 11, ""SOURCE"": 501, ""SINK"": 0}",0.056363763069026115,60.73354849148044,5.551115123125783e-15,512,0,INTERFACE,1077.5282767600675,2.1045474155470014,{},24,4,True,2048
168.3637932437601,0.16849204173354998,0.02836795927764641,L24_S990003,"{""PLANNED"": 13, ""SOURCE"": 115, ""SINK"": 0}",0.21566981341894445,58.09758060061985,5.218048215738236e-15,128,0,INTERFACE,269.3820691900156,2.1045474155470014,{},24,16,True,2048
168.3637932437601,0.14732544807437067,0.02480427127913766,L24_S990003,"{""PLANNED"": 17, ""SOURCE"": 15, ""SINK"": 0}",0.7543062941407773,50.79914757967393,4.551914400963142e-15,32,0,INTERFACE,67.34551729750409,2.1045474155470014,{},24,64,True,2048
168.3637932437601,0.23150587900743672,0.03897720794792302,L24_S990003,"{""PLANNED"": 11, ""SOURCE"": 237, ""SINK"": 28}",0.01852047032059452,79.82532187734634,4.107825191113079e-15,2048,1772,DISPERSED,4310.113107040355,2.1045474155470014,"{""NO_SINK_CAPACITY"": 1772}",24,1,True,2048
168.3637932437601,0.23662559819934628,0.039839183291415795,L24_S990003,"{""PLANNED"": 13, ""SOURCE"": 58, ""SINK"": 21}",0.07572019142379062,81.59064738081955,3.6637359812630166e-15,512,420,DISPERSED,1077.5282767600675,2.1045474155470014,"{""NO_SINK_CAPACITY"": 420}",24,4,True,2048
168.3637932437601,0.23101292938030452,0.03889421307882095,L24_S990003,"{""PLANNED"": 33, ""SOURCE"": 0, ""SINK"": 18}",0.2956965496067904,79.6553483854253,4.3298697960381105e-15,128,77,DISPERSED,269.3820691900156,2.1045474155470014,"{""NO_SINK_CAPACITY"": 77}",24,16,True,2048
168.3637932437601,0.18084922476880697,0.030448461487269714,L24_S990003,"{""PLANNED"": 28, ""SOURCE"": 0, ""SINK"": 3}",0.925948030816291,62.358449125928374,3.9968028886505635e-15,32,1,DISPERSED,67.34551729750409,2.1045474155470014,"{""NO_SINK_CAPACITY"": 1}",24,64,True,2048
164.2458484805825,0.20286036303144805,0.033318972449179175,L24_S990004,"{""PLANNED"": 12, ""SOURCE"": 2036, ""SINK"": 0}",0.016228829042516418,68.23725557591895,3.219646771412954e-15,2048,0,INTERFACE,4204.693721102763,2.0530731060072815,{},24,1,True,2048
164.2458484805825,0.19911311862443845,0.032703503112085766,L24_S990004,"{""PLANNED"": 12, ""SOURCE"": 500, ""SINK"": 0}",0.06371619795981957,66.97677437355165,3.6637359812630166e-15,512,0,INTERFACE,1051.17343027574,2.0530731060072815,{},24,4,True,2048
164.2458484805825,0.18691588655536323,0.03070015838178594,L24_S990004,"{""PLANNED"": 14, ""SOURCE"": 114, ""SINK"": 0}",0.23925233479086547,62.87392436589761,6.328271240363392e-15,128,0,INTERFACE,262.79335756893147,2.0530731060072815,{},24,16,True,2048
164.2458484805825,0.1648990304598547,0.027083981171504255,L24_S990004,"{""PLANNED"": 19, ""SOURCE"": 13, ""SINK"": 0}",0.8442830359544559,55.467993439240715,4.773959005888173e-15,32,0,INTERFACE,65.69833939223302,2.0530731060072815,{},24,64,True,2048
164.2458484805825,0.22129022165110243,0.036346000215541484,L24_S990004,"{""PLANNED"": 12, ""SOURCE"": 214, ""SINK"": 25}",0.017703217732088817,74.43660844142896,3.774758283725532e-15,2048,1797,DISPERSED,4204.693721102763,2.0530731060072815,"{""NO_SINK_CAPACITY"": 1797}",24,1,True,2048
164.2458484805825,0.22070158558228412,0.03624931918497215,L24_S990004,"{""PLANNED"": 14, ""SOURCE"": 54, ""SINK"": 19}",0.07062450738633012,74.23860569082296,4.3298697960381105e-15,512,425,DISPERSED,1051.17343027574,2.0530731060072815,"{""NO_SINK_CAPACITY"": 425}",24,4,True,2048
