DELIVERED_FRACTION,I0,M256,REPLACEMENT_EFFICIENCY,ambient_removed_total,arm,axis,block,bound_by,first_failure_time,first_failure_type,fresh_removed_total,incumbent_removed_over_M256,incumbent_removed_total,law,loss,max_global_balance_residual,max_identity_residual,merger,n_events,n_rejected,n_scheduled,planned_sink,quantum,realized_sink,realized_source,reject_causes,same_track_continuous,seed,size,split,terminal_A,terminal_F,terminal_F_over_T,terminal_I,terminal_I_over_I0,terminal_T,terminal_T_over_M256,terminal_area,terminal_boundary_site_turnover,terminal_incumbent_in_frozen_C256,terminal_jaccard_C256_Ct,terminal_mass_in_frozen_C256
0.15084293562287812,171.18151079102523,171.1815107910253,0.745474512602521,6.943510349333328,PARENT,-y,LAW_16_L24_S950003,"{""PLANNED"": 12, ""SOURCE"": 215, ""SINK"": 18, ""OTHER"": 0}",,NONE,19.345431145301262,0.44979825565199677,76.99714495367664,LAW_16,False,8.526512829121202e-14,8.215650382226158e-15,False,245,75,320,684.7260431641054,2.139768884887816,103.28608644831121,103.28608644831121,"{""NO_SINK_CAPACITY"": 75}",True,950003,24,False,32.29145213948012,64.52337537160659,0.3780970066701243,73.83813782143403,0.4313441181832661,170.65296533252075,0.9969123683039006,222,0.8715596330275229,70.0271483528539,0.3968253968253968,124.14142300374485
1.0,171.18151079102523,171.1815107910253,0.02857151540435457,9.566364489058433,SRC_SINKSIDE,-y,LAW_16_L24_S950003,"{""PLANNED"": 320, ""SOURCE"": 0, ""SINK"": 0, ""OTHER"": 0}",,NONE,655.5960179850167,0.11428606161741897,19.563660690025987,LAW_16,False,8.526512829121202e-14,3.552713678800501e-15,False,320,0,320,684.7260431641054,2.139768884887816,684.7260431641054,684.7260431641054,{},True,950003,24,False,29.97267298679001,17.41442836819766,0.1062223545924042,116.55605764407801,0.6808916284561081,163.94315899906573,0.9577153411106648,231,0.06880733944954129,113.66782532621268,0.9353448275862069,157.37909267979092
,165.38829733000205,165.38829733000193,,0.0,SHAM,+x,LAW_16_L24_S950004,"{""PLANNED"": 0, ""SOURCE"": 0, ""SINK"": 0, ""OTHER"": 0}",,NONE,0.0,0.0,0.0,LAW_16,False,0.0,0.0,False,0,0,0,0.0,2.067353716625024,0.0,0.0,{},True,950004,24,False,36.780997477041616,0.0,0.0,124.18629825463368,0.7508771797005848,160.96729573167525,0.9732689575399317,227,0.0861244019138756,119.29617135950078,0.920704845814978,152.3875819917264
0.15449896223539575,165.38829733000205,165.38829733000193,0.735457812366808,6.834044681713467,PARENT,+x,LAW_16_L24_S950004,"{""PLANNED"": 12, ""SOURCE"": 236, ""SINK"": 21, ""OTHER"": 0}",,NONE,20.20462216691062,0.45450987511434315,75.17061436483303,LAW_16,False,8.526512829121202e-14,1.1879386363489175e-14,False,269,51,320,661.553189320005,2.067353716625024,102.20928121345707,102.20928121345707,"{""NO_SINK_CAPACITY"": 51}",True,950004,24,False,33.031601911125534,62.771433552428995,0.3782067152463072,70.16819408362338,0.42426335609233345,165.97122954717787,1.0035246279609058,215,0.8803827751196173,65.64834871179828,0.39473684210526316,119.653779937516
1.0,165.38829733000205,165.38829733000193,0.023322215873841673,10.56318151986374,SRC_SINKSIDE,+x,LAW_16_L24_S950004,"{""PLANNED"": 320, ""SOURCE"": 0, ""SINK"": 0, ""OTHER"": 0}",,NONE,635.5611215067951,0.0932888634953663,15.428886293349606,LAW_16,False,1.4210854715202004e-13,2.9976021664879227e-15,False,320,0,320,661.553189320005,2.067353716625024,661.553189320005,661.553189320005,{},True,950004,24,False,30.78778036692809,15.71648044916597,0.09702441007494056,115.48054730617895,0.6982389272425888,161.98480812227294,0.9794212210738348,227,0.0861244019138756,111.65926387577882,0.920704845814978,153.23435969335182
,165.4704665628719,165.47046656287193,,0.0,SHAM,-x,LAW_16_L24_S950005,"{""PLANNED"": 0, ""SOURCE"": 0, ""SINK"": 0, ""OTHER"": 0}",,NONE,0.0,0.0,0.0,LAW_16,False,0.0,0.0,False,0,0,0,0.0,2.068380832035899,0.0,0.0,{},True,950005,24,False,35.74129218804277,0.0,0.0,122.78000595685873,0.7420055584976998,158.52129814490152,0.9580035727080638,223,0.06635071090047394,119.41193743362861,0.9375,152.77844597090436
0.15894954726432722,165.4704665628719,165.47046656287193,0.739017517064612,7.024051793295895,PARENT,-x,LAW_16_L24_S950005,"{""PLANNED"": 12, ""SOURCE"": 258, ""SINK"": 20, ""OTHER"": 0}",,NONE,20.432825108105696,0.46986599903131315,77.74894608174132,LAW_16,False,1.1368683772161603e-13,7.216449660063518e-15,False,290,30,320,661.8818662514933,2.068380832035899,105.20582298314285,105.20582298314285,"{""NO_SINK_CAPACITY"": 30}",True,950005,24,False,31.938713384616857,65.23505893066549,0.3980114352040419,66.72870173605361,0.4032665352442182,163.90247405133601,0.9905240340218648,212,0.9052132701421801,63.234718899811035,0.3778501628664495,118.46385453630435
0.9999999999999994,165.4704665628719,165.47046656287193,0.02969909569295678,10.943775138381612,SRC_SINKSIDE,-x,LAW_16_L24_S950005,"{""PLANNED"": 320, ""SOURCE"": 0, ""SINK"": 0, ""OTHER"": 0}",,NONE,631.2807982298705,0.11879638277182807,19.65729288323591,LAW_16,False,5.115907697472721e-13,3.3306690738754696e-15,False,320,0,320,661.8818662514933,2.068380832035899,661.881866251493,661.8818662514925,{},True,950005,24,False,29.47867683213135,17.70575587620843,0.1117612405848787,111.24040029771064,0.6722673997866798,158.4248330060504,0.9574205977467013,222,0.061611374407582936,108.72088253809574,0.9417040358744395,152.9382621701133
,162.94268207312288,162.94268207312285,,0.0,SHAM,+y,LAW_16_L24_S950006,"{""PLANNED"": 0, ""SOURCE"": 0, ""SINK"": 0, ""OTHER"": 0}",,NONE,0.0,0.0,0.0,LAW_16,False,0.0,0.0,False,0,0,0,0.0,2.0367835259140357,0.0,0.0,{},True,950006,24,False,37.795806856964695,0.0,0.0,121.79130315032901,0.7474487445571407,159.58711000729372,0.9794064267070105,227,0.08095238095238096,117.1909587362878,0.9251101321585903,151.53899895436922
0.15029059355040875,162.94268207312288,162.94268207312285,0.7476794960341141,6.446305083578938,PARENT,+y,LAW_16_L24_S950006,"{""PLANNED"": 13, ""SOURCE"": 185, ""SINK"": 24, ""OTHER"": 0}",,NONE,18.26975230817343,0.44947678097775057,73.23895222210828,LAW_16,False,8.526512829121202e-14,7.993605777301127e-15,False,222,98,320,651.7707282924923,2.0367835259140357,97.95500961386085,97.95500961386085,"{""NO_SINK_CAPACITY"": 98}",True,950006,24,False,34.582217533787244,61.335574317828076,0.36901839416879406,70.29499126990117,0.431409317531396,166.21278312151657,1.0200690267693409,218,0.8571428571428571,65.41918012262022,0.40789473684210525,120.07065332439404
