M256,PHI_per_step,block,bound_by,delivered_fraction,delivered_total,incumbent_removed,n_events,n_rejected,planned_total,quantum,size,spacing,track_alive_at_end,window
162.94268207312285,0.03018445890376397,LAW_16_L24_S950006,"{""PLANNED"": 12, ""SOURCE"": 244, ""SINK"": 0, ""OTHER"": 0}",0.11855735681176371,61.81777183490861,57.404552805708,256,0,521.4165826339915,2.0367835259140357,24,8,True,2048
162.94268207312285,0.028105565953268425,LAW_16_L24_S950006,"{""PLANNED"": 15, ""SOURCE"": 49, ""SINK"": 0, ""OTHER"": 0}",0.44156784413354966,57.560199072293734,53.23911567351826,64,0,130.35414565849814,2.0367835259140357,24,32,True,2048
162.94268207312285,0.015912371296203404,LAW_16_L24_S950006,"{""PLANNED"": 16, ""SOURCE"": 0, ""SINK"": 0, ""OTHER"": 0}",1.0,32.58853641462457,29.42847691140325,16,0,32.58853641462457,2.0367835259140357,24,128,True,2048
166.3820048673079,0.03134746046431103,LAW_16_L24_S950007,"{""PLANNED"": 11, ""SOURCE"": 1013, ""SINK"": 0, ""OTHER"": 0}",0.0301450489089242,64.19959903090898,59.53696492017712,1024,0,2129.6896623015,2.0797750608413486,24,2,True,2048
166.3820048673079,0.030371889764114163,LAW_16_L24_S950007,"{""PLANNED"": 12, ""SOURCE"": 244, ""SINK"": 0, ""OTHER"": 0}",0.11682759481432549,62.20163023690581,57.745459796912925,256,0,532.4224155753876,2.0797750608413486,24,8,True,2048
166.3820048673079,0.028231072182885994,LAW_16_L24_S950007,"{""PLANNED"": 15, ""SOURCE"": 49, ""SINK"": 0, ""OTHER"": 0}",0.4343711619884967,57.817235830550516,53.63652002680589,64,0,133.10560389384614,2.0797750608413486,24,32,True,2048
166.3820048673079,0.01624824266282304,LAW_16_L24_S950007,"{""PLANNED"": 16, ""SOURCE"": 0, ""SINK"": 0, ""OTHER"": 0}",1.0,33.276400973461584,30.201554104806675,16,0,33.276400973461584,2.0797750608413486,24,128,True,2048
163.48814425886192,0.03016304530964187,LAW_16_L24_S950008,"{""PLANNED"": 11, ""SOURCE"": 1013, ""SINK"": 0, ""OTHER"": 0}",0.029519493731002336,61.77391679414655,57.46888525462212,1024,0,2092.648246513441,2.043601803235774,24,2,True,2048
163.48814425886192,0.029195127006104365,LAW_16_L24_S950008,"{""PLANNED"": 11, ""SOURCE"": 245, ""SINK"": 0, ""OTHER"": 0}",0.1142889068110141,59.79162010850174,55.748819489506516,256,0,523.1620616283608,2.043601803235774,24,8,True,2048
163.48814425886192,0.027036187054914645,LAW_16_L24_S950008,"{""PLANNED"": 14, ""SOURCE"": 50, ""SINK"": 0, ""OTHER"": 0}",0.4233495901145737,55.370111088465194,51.89205784754264,64,0,130.79051540708954,2.043601803235774,24,32,True,2048
163.48814425886192,0.015965639087779485,LAW_16_L24_S950008,"{""PLANNED"": 16, ""SOURCE"": 0, ""SINK"": 0, ""OTHER"": 0}",1.0,32.697628851772386,29.628310856830435,16,0,32.697628851772386,2.043601803235774,24,128,True,2048
295.64059786421444,0.04114695164596445,LAW_16_L32_S950000,"{""PLANNED"": 10, ""SOURCE"": 1014, ""SINK"": 0, ""OTHER"": 0}",0.02226863397961996,84.26895697093519,82.40787327203856,1024,0,3784.1996526620055,3.6955074733026807,32,2,True,2048
295.64059786421444,0.04069643306357887,LAW_16_L32_S950000,"{""PLANNED"": 11, ""SOURCE"": 245, ""SINK"": 0, ""OTHER"": 0}",0.08809925750675558,83.34629491420952,81.18468394469588,256,0,946.0499131654816,3.6955074733026807,32,8,True,2048
295.64059786421444,0.03906961090740785,LAW_16_L32_S950000,"{""PLANNED"": 13, ""SOURCE"": 51, ""SINK"": 0, ""OTHER"": 0}",0.33831011249984566,80.01456313837127,77.49868151808111,64,0,236.5124782913717,3.6955074733026807,32,32,True,2048
295.64059786421444,0.0288711521351772,LAW_16_L32_S950000,"{""PLANNED"": 16, ""SOURCE"": 0, ""SINK"": 0, ""OTHER"": 0}",1.0,59.128119572842905,55.14685713522471,16,0,59.128119572842905,3.6955074733026807,32,128,True,2048
292.4733626461623,0.04325089789578334,LAW_16_L32_S950001,"{""PLANNED"": 11, ""SOURCE"": 1013, ""SINK"": 0, ""OTHER"": 0}",0.023660765550459546,88.57783889056428,86.6041452376967,1024,0,3743.6590418708533,3.6559170330770288,32,2,True,2048
292.4733626461623,0.04271309460554631,LAW_16_L32_S950001,"{""PLANNED"": 12, ""SOURCE"": 244, ""SINK"": 0, ""OTHER"": 0}",0.09346622304411921,87.47641775215884,85.15368210169936,256,0,935.9147604677148,3.6559170330770288,32,8,True,2048
