L,PASS_at_0.01,PASS_at_0.05,PASS_at_0.2,arm,bounded_components_end,bounded_survival_to_1024,component_count_by_frame,component_count_end,error,first_empty_frame,first_wrapping_frame,labelled_fraction,largest_over_L2_by_frame,min_bounded_residual_at_1024,seed,technical_failure
32,False,False,False,LAW_29,0,False,15|8|5|2|2|1|1|1,1,,,0,0.7431139008163187,0.2979|0.4854|0.5547|0.6172|0.6943|0.7676|0.8525|0.9287,nan,911005,False
32,False,False,False,LAW_29,0,False,8|3|3|2|1|1|1|1,1,,,0,0.75413637451936,0.4795|0.5537|0.5762|0.6416|0.6992|0.7861|0.8809|0.9775,nan,911006,False
32,False,False,False,LAW_29,0,False,15|8|7|2|1|1|1|1,1,,,32,0.7556786919090038,0.3584|0.5059|0.2998|0.5898|0.6543|0.7158|0.7871|0.8994,nan,911007,False
32,False,False,False,LAW_29,0,False,22|8|4|5|3|1|1|1,1,,,16,0.7469691147169975,0.3008|0.5039|0.5635|0.6221|0.6953|0.7871|0.8545|0.9150,nan,911008,False
32,False,False,False,LAW_29,0,False,23|11|7|4|3|1|1|1,1,,,64,0.7320871618813695,0.1396|0.3984|0.5283|0.6133|0.6729|0.7295|0.7959|0.8623,nan,911009,False
32,False,False,False,LAW_29,0,False,14|7|6|3|1|1|1|1,1,,,0,0.7296385354787336,0.3809|0.4961|0.5312|0.6182|0.6904|0.7803|0.8730|0.9551,nan,911010,False
32,False,False,False,LAW_29,0,False,15|7|4|1|1|1|1|1,1,,,16,0.7549935948438443,0.3789|0.5059|0.6016|0.6689|0.7588|0.8350|0.9287|0.9785,nan,911011,False
24,False,False,False,LAW_35,0,False,6|1|1|1|1|1|1|1,1,,,0,0.7564839857571877,0.4392|0.7378|0.8420|0.9045|0.9792|1.0000|1.0000|1.0000,nan,910000,False
24,False,False,False,LAW_35,0,False,11|2|2|1|1|1|1|1,1,,,16,0.7066798929020733,0.3073|0.6163|0.6892|0.8281|0.8993|0.9948|1.0000|1.0000,nan,910001,False
24,False,False,False,LAW_35,0,False,11|2|1|1|1|1|1|1,1,,,16,0.7137787462362132,0.1441|0.5764|0.6424|0.7083|0.7691|0.8924|0.9983|1.0000,nan,910002,False
24,False,False,False,LAW_35,0,False,8|2|1|1|1|1|1|1,1,,,16,0.7365229058346507,0.3351|0.6146|0.7326|0.8472|0.9410|0.9896|1.0000|1.0000,nan,910003,False
24,False,False,False,LAW_35,0,False,14|1|1|1|1|1|1|1,1,,,16,0.7439875096696826,0.2257|0.6597|0.7396|0.8247|0.9288|0.9861|1.0000|1.0000,nan,910004,False
24,False,False,False,LAW_35,0,False,16|2|2|1|1|1|1|1,1,,,16,0.7526418912233339,0.3368|0.6684|0.7587|0.8264|0.8906|0.9792|1.0000|1.0000,nan,910005,False
24,False,False,False,LAW_35,0,False,9|4|2|1|1|1|1|1,1,,,16,0.7913914912582578,0.4045|0.6146|0.7066|0.7812|0.8438|0.9184|0.9878|1.0000,nan,910006,False
24,False,False,False,LAW_35,0,False,16|2|1|1|1|1|1|1,1,,,16,0.7617053716370266,0.1372|0.6649|0.7240|0.8038|0.8958|0.9618|1.0000|1.0000,nan,910007,False
24,False,False,False,LAW_35,0,False,9|3|1|1|1|1|1|1,1,,,0,0.749843115832871,0.3264|0.6198|0.7604|0.8663|0.9444|0.9983|1.0000|1.0000,nan,910008,False
24,False,False,False,LAW_35,0,False,11|3|1|1|1|1|1|1,1,,,32,0.731244621948441,0.1562|0.5608|0.6562|0.7326|0.8333|0.9184|1.0000|1.0000,nan,910009,False
24,False,False,False,LAW_35,0,False,13|2|1|1|1|1|1|1,1,,,16,0.7419044073294256,0.1875|0.5781|0.6562|0.7014|0.7691|0.8472|0.9271|1.0000,nan,910010,False
24,False,False,False,LAW_35,0,False,6|1|1|1|1|1|1|1,1,,,16,0.7773433072197979,0.4045|0.6285|0.7188|0.8177|0.8750|0.9306|0.9653|1.0000,nan,910011,False
32,False,False,False,LAW_35,0,False,16|2|1|1|1|1|1|1,1,,,16,0.7078623189274176,0.1924|0.5977|0.6650|0.7422|0.8242|0.9160|0.9746|1.0000,nan,911000,False
32,False,False,False,LAW_35,0,False,13|2|2|1|1|1|1|1,1,,,16,0.7670738668033773,0.1768|0.6670|0.7393|0.8438|0.9336|0.9883|1.0000|1.0000,nan,911001,False
32,False,False,False,LAW_35,0,False,12|2|1|1|1|1|1|1,1,,,0,0.7698451435174215,0.4453|0.6680|0.7588|0.8438|0.9180|0.9629|0.9971|1.0000,nan,911002,False
32,False,False,False,LAW_35,0,False,18|2|1|1|1|1|1|1,1,,,16,0.742988328755211,0.2910|0.5908|0.6592|0.7217|0.8145|0.8740|0.9668|1.0000,nan,911003,False
32,False,False,False,LAW_35,0,False,14|2|1|1|1|1|1|1,1,,,16,0.7415046920839711,0.2324|0.6162|0.6973|0.7842|0.8691|0.9541|1.0000|1.0000,nan,911004,False
32,False,False,False,LAW_35,0,False,15|4|2|1|1|1|1|1,1,,,0,0.7431139008163187,0.2979|0.5938|0.6680|0.7646|0.8574|0.9258|0.9658|1.0000,nan,911005,False
