law_index,seed,enrolled,reason,first_eligible_start,first_eligible_end,corroborating_cadences,enroll_cadence,track_id,candidate_size,prior_snapshots,old_centroid_json,init_centroid_displacement,sham_equals_control,perturb_max_abs_move,momentum_conserved,placebo_available,class_non_informative,class_catastrophic,class_occupancy_alias,class_individuality_signal,pert_reestablished,plac_reestablished,pert_late_home_frac,ctrl_late_home_frac,plac_late_home_frac,pert_longest_consec_home,ctrl_longest_consec_home,pert_origin_regen,pert_best_P_max
0,5001,False,no_cross_cadence_eligible_endpoint,,,[],,,0,0,null,,,,,,,,,,,,,,,,,,
0,5002,False,no_cross_cadence_eligible_endpoint,,,[],,,0,0,null,,,,,,,,,,,,,,,,,,
0,5003,False,no_cross_cadence_eligible_endpoint,,,[],,,0,0,null,,,,,,,,,,,,,,,,,,
0,5004,True,eligible,240,420,"[30, 60]",30,3,38,42,"[0.43723969953159414, 0.2500217885865295]",0.42426406871192857,True,0.30000000000000004,True,True,False,False,True,False,False,False,0.0,0.0,0.0,3,5,True,0.9164719421744747
0,5005,False,no_cross_cadence_eligible_endpoint,,,[],,,0,0,null,,,,,,,,,,,,,,,,,,
0,5006,False,no_cross_cadence_eligible_endpoint,,,[],,,0,0,null,,,,,,,,,,,,,,,,,,
0,5007,False,no_cross_cadence_eligible_endpoint,,,[],,,0,0,null,,,,,,,,,,,,,,,,,,
0,5008,False,no_cross_cadence_eligible_endpoint,,,[],,,0,0,null,,,,,,,,,,,,,,,,,,
0,5009,False,no_cross_cadence_eligible_endpoint,,,[],,,0,0,null,,,,,,,,,,,,,,,,,,
0,5010,False,no_cross_cadence_eligible_endpoint,,,[],,,0,0,null,,,,,,,,,,,,,,,,,,
0,5011,False,no_cross_cadence_eligible_endpoint,,,[],,,0,0,null,,,,,,,,,,,,,,,,,,
0,5012,True,eligible,0,180,"[30, 60]",30,0,7,18,"[0.8378284289653227, 0.9991524100255978]",0.4242640687119284,True,0.30000000000000004,True,True,False,False,False,False,False,False,0.0,0.05555555555555555,0.05555555555555555,3,2,False,0.8820163502296813
0,5013,False,no_cross_cadence_eligible_endpoint,,,[],,,0,0,null,,,,,,,,,,,,,,,,,,
0,5014,False,no_cross_cadence_eligible_endpoint,,,[],,,0,0,null,,,,,,,,,,,,,,,,,,
0,5015,False,no_cross_cadence_eligible_endpoint,,,[],,,0,0,null,,,,,,,,,,,,,,,,,,
0,5016,False,no_cross_cadence_eligible_endpoint,,,[],,,0,0,null,,,,,,,,,,,,,,,,,,
0,5017,False,no_cross_cadence_eligible_endpoint,,,[],,,0,0,null,,,,,,,,,,,,,,,,,,
0,5018,False,no_cross_cadence_eligible_endpoint,,,[],,,0,0,null,,,,,,,,,,,,,,,,,,
0,5019,False,no_cross_cadence_eligible_endpoint,,,[],,,0,0,null,,,,,,,,,,,,,,,,,,
