law_index,seed,first_eligible_end,candidate_size,branch,initial_centroid_displacement,sham_equals_control,perturb_max_abs_move,momentum_conserved,types_conserved,n_post_snapshots,best_P_max,best_P_final,carrier_organized_at_home_snapshots,carrier_longest_consec_at_home,carrier_late_home_frac,carrier_reestablished_at_home,carrier_P_final,carrier_M_final,origin_regen_any,origin_regen_first_rel_step,origin_regen_count,lineage_events_json,births_after_start,ambiguous,split,merge
52,5012,120,9,CONTROL,0.0,True,0.30000000000000004,True,True,36,0.8881959132333779,0.796498171546611,27,16,0.7777777777777778,False,0.796498171546611,0.7272727272727273,False,,0,"{""birth"": 7, ""continuity"": 247}",1,0,0,0
52,5012,120,9,SHAM,0.0,True,0.30000000000000004,True,True,36,0.8881959132333779,0.796498171546611,27,16,0.7777777777777778,False,0.796498171546611,0.7272727272727273,False,,0,"{""birth"": 7, ""continuity"": 247}",1,0,0,0
52,5012,120,9,PERTURBED,0.4242640687119285,True,0.30000000000000004,True,True,36,0.8843824505869878,0.7650120342892589,0,0,0.0,False,0.7650120342892589,0.6153846153846154,False,,0,"{""birth"": 6, ""continuity"": 213, ""split"": 1}",2,0,1,0
52,5012,120,9,PLACEBO,0.4242640687119285,True,0.30000000000000004,True,True,36,0.9369475841369432,0.8140425635325632,6,6,0.0,False,0.8140425635325632,0.875,False,,0,"{""birth"": 7, ""continuity"": 245}",2,0,0,0
52,5017,240,16,CONTROL,0.0,True,0.30000000000000004,True,True,36,0.9692231153141838,0.8216610866606142,36,36,1.0,True,0.8216610866606142,0.9411764705882353,False,,0,"{""birth"": 4, ""continuity"": 144}",0,0,0,0
52,5017,240,16,SHAM,0.0,True,0.30000000000000004,True,True,36,0.9692231153141838,0.8216610866606142,36,36,1.0,True,0.8216610866606142,0.9411764705882353,False,,0,"{""birth"": 4, ""continuity"": 144}",0,0,0,0
52,5017,240,16,PERTURBED,0.42426406871192845,True,0.30000000000000004,True,True,36,0.962619202764494,0.8525060281204627,34,34,1.0,True,0.8525060281204627,0.8421052631578947,False,,0,"{""birth"": 4, ""continuity"": 141, ""split"": 1}",1,0,1,0
52,5017,240,16,PLACEBO,0.42426406871192845,True,0.30000000000000004,True,True,36,0.9107576107840579,0.7777633785886212,1,1,0.0,False,0.7777633785886212,0.5161290322580645,False,,0,"{""birth"": 4, ""continuity"": 84, ""disappearance"": 2, ""merge"": 1}",1,0,0,1
0,5033,60,8,CONTROL,0.0,True,0.30000000000000004,True,True,36,0.9131281548911211,0.7494172369760177,6,5,0.0,False,0.7021775216742145,0.7777777777777778,False,,0,"{""birth"": 7, ""continuity"": 178, ""disappearance"": 4, ""merge"": 3}",1,0,0,3
0,5033,60,8,SHAM,0.0,True,0.30000000000000004,True,True,36,0.9131281548911211,0.7494172369760177,6,5,0.0,False,0.7021775216742145,0.7777777777777778,False,,0,"{""birth"": 7, ""continuity"": 178, ""disappearance"": 4, ""merge"": 3}",1,0,0,3
