law_index,seed,branch,rel_step,abs_step,time,best_P_anywhere,carrier_P,carrier_M,carrier_size,carrier_dist_home,carrier_dist_origin,origin_site_P,origin_site_M_vs_focus,origin_site_size
0,5004,CONTROL,200,620,4.0,0.8992752381518644,0.8992752381518644,0.8636363636363636,44,0.2022213089965726,0.2022213089965726,0.0,nan,0
0,5004,CONTROL,210,630,4.2,0.9270897582822538,0.9270897582822538,0.8636363636363636,44,0.22018823296730092,0.22018823296730092,0.0,nan,0
0,5004,CONTROL,220,640,4.4,0.945074635316498,0.945074635316498,0.8636363636363636,44,0.22908151312237912,0.22908151312237912,0.0,nan,0
0,5004,CONTROL,230,650,4.6000000000000005,0.9422954001251596,0.9422954001251596,0.8636363636363636,44,0.23771497163639999,0.23771497163639999,0.0,nan,0
0,5004,CONTROL,240,660,4.8,0.9346067377707472,0.9346067377707472,0.8636363636363636,44,0.24531865488741122,0.24531865488741122,0.0,nan,0
0,5004,CONTROL,250,670,5.0,0.9288988656676497,0.9288988656676497,0.8636363636363636,44,0.2501625827067738,0.2501625827067738,0.0,nan,0
0,5004,CONTROL,260,680,5.2,0.9335902657622168,0.9335902657622168,0.8636363636363636,44,0.25744835306039504,0.25744835306039504,0.0,nan,0
0,5004,CONTROL,270,690,5.4,0.9139380925045595,0.9139380925045595,0.8636363636363636,44,0.2631021032098075,0.2631021032098075,0.0,nan,0
0,5004,CONTROL,280,700,5.6000000000000005,0.9044168560174976,0.9044168560174976,0.8636363636363636,44,0.2669746090155345,0.2669746090155345,0.0,nan,0
0,5004,CONTROL,290,710,5.8,0.910066679490027,0.910066679490027,0.8636363636363636,44,0.2722347216619374,0.2722347216619374,0.0,nan,0
0,5004,CONTROL,300,720,6.0,0.9048521290546427,0.9048521290546427,0.8636363636363636,44,0.27689753176919507,0.27689753176919507,0.0,nan,0
0,5004,CONTROL,310,730,6.2,0.9056241823983461,0.9056241823983461,0.8636363636363636,44,0.2818879353178244,0.2818879353178244,0.0,nan,0
0,5004,CONTROL,320,740,6.4,0.9094363857574617,0.9094363857574617,0.8636363636363636,44,0.2876901428430388,0.2876901428430388,0.0,nan,0
0,5004,CONTROL,330,750,6.6000000000000005,0.9104851237998329,0.9104851237998329,0.8636363636363636,44,0.2933705501948447,0.2933705501948447,0.0,nan,0
0,5004,CONTROL,340,760,6.8,0.9125962750514864,0.9125962750514864,0.8636363636363636,44,0.30047013224248137,0.30047013224248137,0.0,nan,0
0,5004,CONTROL,350,770,7.0,0.9149672934848435,0.9149672934848435,0.8636363636363636,44,0.3080359208508001,0.3080359208508001,0.0,nan,0
0,5004,CONTROL,360,780,7.2,0.9176642049110143,0.9176642049110143,0.8636363636363636,44,0.3150909086617379,0.3150909086617379,0.0,nan,0
0,5004,SHAM,10,430,0.2,0.9473775584705907,0.9473775584705907,1.0,38,0.0028076710185119687,0.0028076710185119687,0.9473775584705907,1.0,38
0,5004,SHAM,20,440,0.4,0.9165949151634031,0.9165949151634031,1.0,38,0.012845682521408136,0.012845682521408136,0.9165949151634031,1.0,38
0,5004,SHAM,30,450,0.6,0.8696133014027962,0.8696133014027962,1.0,38,0.031308327156298506,0.031308327156298506,0.8696133014027962,1.0,38
0,5004,SHAM,40,460,0.8,0.8393539617562658,0.8393539617562658,1.0,38,0.05834282879968333,0.05834282879968333,0.8393539617562658,1.0,38
