A_over_M256,A_over_T,DIRECT_SOURCE_REPLACEMENT_80,EXCESS_INCUMBENT_EGRESS,FORCED_COMPONENT_TURNOVER_80,F_over_M256,F_over_T,I_over_I0,I_over_T,MATCHED_FRESH_REPLACEMENT,T_over_M256,arm,block,coast_gate,core_over_I0,first_cross_source,first_cross_turnover,first_failure_time,first_failure_type,ledger_ok,lineage_ok,loss,mass_gate,merger,planned_sink,planned_source,reacquisition,realized_sink,realized_source,scaffold_cells,scaffold_mass_over_I0,sham_I_matched,size,split,terminal_time
0.2521055541622936,0.26900062969311017,False,0.0,False,0.0,0.0,0.6850876206265853,0.7309993703068893,0.0,0.9371931747888793,SHAM,L24_S990005,True,0.4735016354216284,,,,NONE,True,True,False,True,False,0.0,0.0,False,0.0,0.0,141.0,0.5120974342367368,112.61012037906147,24,False,12544.0
0.1532214383617307,0.1566023048747773,False,0.21833398303337695,False,0.23088687083433967,0.23598144309689129,0.5943028226467839,0.6074162520283306,0.21833398303337695,0.9784111318428549,DIRECT_Q100_ANCHOR,L24_S990005,True,0.41779527831547153,,,,NONE,True,True,False,True,False,164.37331078332366,164.37331078332366,False,45.66420312604345,45.66420312604346,113.0,0.4727233643093818,133.5758022140325,24,False,3584.0
0.2689060699626502,0.27848444893032254,False,0.0,False,0.0,0.0,0.6966992663336364,0.7215155510696774,0.0,0.9656053362962868,SHAM,L24_S990006,True,0.47665399448501217,,,,NONE,True,True,False,True,False,0.0,0.0,False,0.0,0.0,142.0,0.5070262327063585,115.32232737083302,24,False,12544.0
0.16434798556538474,0.1655208340207155,False,0.2553311584986413,False,0.26498824680878824,0.26687930166340856,0.5635779620094536,0.5675998643158758,0.2553311584986413,0.9929141943836268,DIRECT_Q100_ANCHOR,L24_S990006,True,0.3819072772295503,,,,NONE,True,True,False,True,False,165.52669558231923,165.52669558231923,False,53.22272627627342,53.222726276273434,105.0,0.42755206354565156,135.55132069992825,24,False,3584.0
0.26422381254060145,0.2783655496759909,False,0.0,False,0.0,0.0,0.6849734313286548,0.7216344503240085,0.0,0.9491972438692574,SHAM,L24_S990007,True,0.47965109802272365,,,,NONE,True,True,False,True,False,0.0,0.0,False,0.0,0.0,136.0,0.4977617015233322,110.81788337861434,24,False,12544.0
0.1618667618169465,0.16446761578098373,False,0.2405727860469784,False,0.24481032554941495,0.2487439058502459,0.5775091370664127,0.5867884783687709,0.2405727860469784,0.9841862244327741,DIRECT_Q100_ANCHOR,L24_S990007,True,0.4005202965761594,,,,NONE,True,True,False,True,False,161.7842069635592,161.7842069635592,False,47.911785389373534,47.911785389373534,106.0,0.44431386398707096,132.35273516212328,24,False,3584.0
0.262042331598537,0.2738797022427965,False,0.0,False,0.0,0.0,0.6947366098588862,0.7261202977572037,0.0,0.9567789414574228,SHAM,L24_S990008,True,0.4805952687894134,,,,NONE,True,True,False,True,False,0.0,0.0,False,0.0,0.0,140.0,0.5060959350728086,114.07990021016397,24,False,12544.0
0.16218019065205708,0.16357248292260382,False,0.24627864286678947,False,0.25389473523206546,0.2560743829188444,0.5754132985062511,0.5803531341585524,0.24627864286678947,0.9914882243903731,DIRECT_Q100_ANCHOR,L24_S990008,True,0.3963273893922829,,,,NONE,True,True,False,True,False,164.20597186225135,164.20597186225135,False,50.56027863975021,50.560278639750216,108.0,0.44308422896895205,134.92672380454,24,False,3584.0
0.22103018098276206,0.22453282283299442,False,0.0,False,0.0,0.0,0.7633701316038853,0.7754671771670054,0.0,0.9844003125866476,SHAM,L32_S990100,True,0.5951592496765598,,,,NONE,True,True,False,True,False,0.0,0.0,False,0.0,0.0,284.0,0.621429816190566,228.38830140780786,32,False,12544.0
0.123746306136996,0.12513561723023545,False,0.21027936403444253,False,0.20534547735067907,0.20765090979982231,0.6598057732272671,0.6672134729699426,0.20534547735067907,0.9888975567149418,DIRECT_Q100_ANCHOR,L32_S990100,True,0.5082259740194974,,,,NONE,True,True,False,True,False,299.1842252564309,299.1842252564309,False,70.04925771399978,70.04925771399978,229.0,0.5657694715545434,260.3157476987796,32,False,3584.0
