L,PASS_at_0.01,PASS_at_0.05,PASS_at_0.2,arm,component_count_over_time,ever_empty,ever_wrapped,first_failure_type,initial_gate,initial_microstate_sha256,initial_wrapping,labelled_fraction,largest_component_fraction_end,n_components_t0,realized_initial_occupancy,residual_at_2048,seed,survival_at_1024,survival_at_2048,survival_at_256,target_occupancy,time_to_complete_dissolution,time_to_first_dynamic_wrapping,time_to_first_terminal_failure,time_to_track_loss,tracked_component_lifetime
24,False,False,False,BASELINE_SWEEP00,23|1|1|1|1|1|0|0|0,True,True,TRACK_LOSS,INITIAL_GATE_PASS,e0e41208c3e9756657e9658df944ad9e31f28ae6b370119577dc79ac99026beb,False,0.5950349923796473,0.0,23,0.4461805555555556,nan,921001,False,False,False,0.45,1504,400,16,16,16
24,False,False,False,LAW_16,23|4|2|2|2|2|2|2|2,False,False,TRACK_LOSS,INITIAL_GATE_PASS,e0e41208c3e9756657e9658df944ad9e31f28ae6b370119577dc79ac99026beb,False,0.5950349923796473,0.3611111111111111,23,0.4461805555555556,0.6471822839931555,921001,False,False,False,0.45,,,16,16,16
24,False,False,False,BASELINE_SWEEP00,23|1|1|1|1|1|1|0|0,True,True,SIMULTANEOUS:DYNAMIC_WRAPPING+TRACK_LOSS,INITIAL_GATE_PASS,184e99ca7d141c50aaf95bc78737229bd30199a80ec67e7b09c97a0c8b705017,False,0.6215419509254569,0.0,23,0.4444444444444444,nan,921002,False,False,False,0.45,1584,16,16,16,16
24,False,False,False,LAW_16,23|3|3|3|3|1|1|1|1,False,True,TRACK_LOSS,INITIAL_GATE_PASS,184e99ca7d141c50aaf95bc78737229bd30199a80ec67e7b09c97a0c8b705017,False,0.6215419509254569,0.4704861111111111,23,0.4444444444444444,0.6527275444913938,921002,False,False,False,0.45,,80,16,16,16
24,False,False,False,BASELINE_SWEEP00,21|1|1|1|1|1|1|0|0,True,True,SIMULTANEOUS:DYNAMIC_WRAPPING+TRACK_LOSS,INITIAL_GATE_PASS,2d693e97184bb697f7464de460e487cc19c2b6191c750f144fd23874c799b98e,False,0.5872484820898718,0.0,21,0.4375,nan,921003,False,False,False,0.45,1760,16,16,16,16
24,False,False,False,LAW_16,21|4|4|2|2|2|2|2|2,False,True,TRACK_LOSS,INITIAL_GATE_PASS,2d693e97184bb697f7464de460e487cc19c2b6191c750f144fd23874c799b98e,False,0.5872484820898718,0.015625,21,0.4375,0.6509479018605874,921003,False,False,False,0.45,,240,16,16,16
24,False,False,False,BASELINE_SWEEP00,12|1|1|1|1|1|1|1|1,False,True,SIMULTANEOUS:DYNAMIC_WRAPPING+TRACK_LOSS,INITIAL_GATE_PASS,43409b0147ef0e9e3efcfdee83f9a53bfc9e04bf2081e3e8cf575fc70b64d8c4,False,0.7089947364534094,0.0,12,0.5086805555555556,nan,921004,False,False,False,0.45,,16,16,16,16
24,False,False,False,LAW_16,12|1|1|1|1|1|1|1|1,False,True,SIMULTANEOUS:DYNAMIC_WRAPPING+TRACK_LOSS,INITIAL_GATE_PASS,43409b0147ef0e9e3efcfdee83f9a53bfc9e04bf2081e3e8cf575fc70b64d8c4,False,0.7089947364534094,0.0,12,0.5086805555555556,nan,921004,False,False,False,0.45,,16,16,16,16
24,False,False,False,BASELINE_SWEEP00,19|1|1|1|1|1|1|1|1,False,True,SIMULTANEOUS:DYNAMIC_WRAPPING+TRACK_LOSS,INITIAL_GATE_PASS,8b8b2383bcba967094768c177773ab1c52b56e94408f64e1694124d215764282,False,0.669709137188729,0.140625,19,0.4513888888888889,0.6738444328643491,921005,False,False,False,0.45,,16,16,16,16
24,False,False,False,LAW_16,19|3|2|1|1|1|1|1|1,False,True,TRACK_LOSS,INITIAL_GATE_PASS,8b8b2383bcba967094768c177773ab1c52b56e94408f64e1694124d215764282,False,0.669709137188729,0.0,19,0.4513888888888889,nan,921005,False,False,False,0.45,,128,32,32,32
24,False,False,False,BASELINE_SWEEP00,21|1|1|1|1|1|1|1|1,False,True,SIMULTANEOUS:DYNAMIC_WRAPPING+TRACK_LOSS,INITIAL_GATE_PASS,793e262d9cc364f2895ce7e874bc4d493610de5a34bc6be38d3670da33fc3faa,False,0.6814994911227645,0.0,21,0.4913194444444444,nan,921006,False,False,False,0.45,,16,16,16,16
24,False,False,False,LAW_16,21|2|2|2|1|1|1|1|1,False,True,SIMULTANEOUS:DYNAMIC_WRAPPING+TRACK_LOSS,INITIAL_GATE_PASS,793e262d9cc364f2895ce7e874bc4d493610de5a34bc6be38d3670da33fc3faa,False,0.6814994911227645,0.0,21,0.4913194444444444,nan,921006,False,False,False,0.45,,16,16,16,16
24,False,False,False,BASELINE_SWEEP00,19|1|1|1|1|1|1|1|1,False,True,SIMULTANEOUS:DYNAMIC_WRAPPING+TRACK_LOSS,INITIAL_GATE_PASS,d1fba9d9fbaa0791cf16986485d23e872acbdc0d20ccf6516542fe1c57987651,False,0.6148770731013015,0.0,19,0.4548611111111111,nan,921007,False,False,False,0.45,,16,16,16,16
24,False,False,False,LAW_16,19|2|1|1|1|1|1|1|1,False,True,SIMULTANEOUS:DYNAMIC_WRAPPING+TRACK_LOSS,INITIAL_GATE_PASS,d1fba9d9fbaa0791cf16986485d23e872acbdc0d20ccf6516542fe1c57987651,False,0.6148770731013015,0.0,19,0.4548611111111111,nan,921007,False,False,False,0.45,,64,64,64,64
24,False,False,False,BASELINE_SWEEP00,23|1|1|1|0|0|0|0|0,True,True,SIMULTANEOUS:DYNAMIC_WRAPPING+TRACK_LOSS,INITIAL_GATE_PASS,885e529799e232373fb57637525a3d0099638d5b793c1607e3a0d261fa251c61,False,0.6458287610029497,0.0,23,0.4461805555555556,nan,921008,False,False,False,0.45,992,16,16,16,16
24,False,False,False,LAW_16,23|4|3|3|3|3|2|1|1,False,True,TRACK_LOSS,INITIAL_GATE_PASS,885e529799e232373fb57637525a3d0099638d5b793c1607e3a0d261fa251c61,False,0.6458287610029497,0.0,23,0.4461805555555556,nan,921008,False,False,False,0.45,,80,16,16,16
24,False,False,False,BASELINE_SWEEP00,30|1|1|1|1|1|1|1|1,False,True,SIMULTANEOUS:DYNAMIC_WRAPPING+TRACK_LOSS,INITIAL_GATE_PASS,87dd8b7346fc2dabba73507ec82af21b61fb893bed6aa6b630e6964ad2d8e67b,False,0.6515021967941428,0.0,30,0.4635416666666667,nan,921009,False,False,False,0.45,,16,16,16,16
24,False,False,False,LAW_16,30|1|1|1|1|1|1|1|1,False,True,TRACK_LOSS,INITIAL_GATE_PASS,87dd8b7346fc2dabba73507ec82af21b61fb893bed6aa6b630e6964ad2d8e67b,False,0.6515021967941428,0.5381944444444444,30,0.4635416666666667,0.6783823619145023,921009,False,False,False,0.45,,208,16,16,16
24,False,False,False,BASELINE_SWEEP00,24|1|1|1|1|1|1|0|0,True,True,SIMULTANEOUS:DYNAMIC_WRAPPING+TRACK_LOSS,INITIAL_GATE_PASS,7d4237cf0f9ce556cb482b5314731d6ee3dd4387414433e8831728ab6ff56dca,False,0.6059987877414168,0.0,24,0.4548611111111111,nan,921010,False,False,False,0.45,1712,16,16,16,16
24,False,False,False,LAW_16,24|5|4|3|2|2|1|1|2,False,True,TRACK_LOSS,INITIAL_GATE_PASS,7d4237cf0f9ce556cb482b5314731d6ee3dd4387414433e8831728ab6ff56dca,False,0.6059987877414168,0.1597222222222222,24,0.4548611111111111,0.5548502205755209,921010,False,False,False,0.45,,128,16,16,16
24,False,False,False,BASELINE_SWEEP00,21|1|1|1|1|0|0|0|0,True,True,SIMULTANEOUS:DYNAMIC_WRAPPING+TRACK_LOSS,INITIAL_GATE_PASS,f191d13740fd7e25f3c129eccc25d94376ddb02952e42d38d5f91a67a843c527,False,0.6124319855563807,0.0,21,0.4479166666666667,nan,921011,False,False,False,0.45,1152,16,16,16,16
24,False,False,False,LAW_16,21|4|1|1|1|1|1|1|1,False,True,TRACK_LOSS,INITIAL_GATE_PASS,f191d13740fd7e25f3c129eccc25d94376ddb02952e42d38d5f91a67a843c527,False,0.6124319855563807,0.4652777777777778,21,0.4479166666666667,0.6501200697043582,921011,False,False,False,0.45,,64,16,16,16
32,False,False,False,BASELINE_SWEEP00,43|2|1|1|1|1|0|0|0,True,True,TRACK_LOSS,INITIAL_GATE_PASS,d4673127bb0e3f1ec241a490641c5260204f35acd4ba844e0e4f2e7559f1f2ed,False,0.5781665916094164,0.0,43,0.4287109375,nan,921100,False,False,False,0.45,1440,32,16,16,16
