track_id,start_step,end_step,start_time,end_time,tau,phenotype_continuity,material_retention,start_count,end_count,interval_has_ambiguity,interval_has_split_or_merge,unresolved_sparse_alias_risk,law_index,seed,snapshot_cadence,track_observations,track_ever_complex,clean_probe_cadence_count_same_endpoint,interval_observations,centroid_path_length,centroid_net_displacement,centroid_step_distance_mean,centroid_step_distance_max,start_material_count,end_material_count,retained_material_count,lost_material_count,gained_material_count,recomputed_material_retention,material_retention_absolute_error,descriptor_rms_change,recomputed_phenotype_continuity,phenotype_continuity_absolute_error,selected_edge_transitions,selected_centroid_distance_mean,selected_centroid_distance_max,compatible_unselected_edges,selected_score_margin_min,selected_classifications_json,static_occupancy_or_lookalike_alias_rejected,direct_audit_disposition
7,120,300,2.4,6.0,3.6,0.8310983012515477,0.42857142857142855,4,6,False,False,True,52,2001,60,10,False,2,4,0.20665479215057764,0.20104664542173778,0.06888493071685921,0.12171560748676884,4,6,3,1,3,0.42857142857142855,0.0,0.1850071984012437,0.8310983012515477,0.0,3,0.06888493071685921,0.12171560748676884,0,,"{""unique_candidate"": 3}",False,OBSERVATIONAL_ALIAS_UNRESOLVED
1,60,240,1.2,4.8,3.5999999999999996,0.8495445415813377,0.42857142857142855,6,14,False,False,True,52,2003,30,21,False,2,7,0.18619298695336547,0.12798132361862452,0.03103216449222758,0.13149782173799815,6,14,6,0,8,0.42857142857142855,0.0,0.1630549065415325,0.8495445415813377,0.0,6,0.03103216449222758,0.13149782173799815,0,,"{""unique_candidate"": 6}",False,OBSERVATIONAL_ALIAS_UNRESOLVED
6,60,240,1.2,4.8,3.5999999999999996,0.8773971892475865,0.4117647058823529,7,17,False,False,True,52,2003,30,21,False,2,7,0.25015141725618606,0.11215924014470054,0.04169190287603101,0.1304801049176858,7,17,7,0,10,0.4117647058823529,0.0,0.1307954937568797,0.8773971892475865,0.0,6,0.04169190287603102,0.1304801049176858,0,,"{""unique_candidate"": 6}",False,OBSERVATIONAL_ALIAS_UNRESOLVED
1,60,240,1.2,4.8,3.5999999999999996,0.8495445415813377,0.42857142857142855,6,14,False,False,True,52,2003,60,11,False,2,4,0.14112603848562894,0.12798132361862452,0.04704201282854298,0.12864628650117713,6,14,6,0,8,0.42857142857142855,0.0,0.1630549065415325,0.8495445415813377,0.0,3,0.047042012828542985,0.12864628650117713,0,,"{""unique_candidate"": 3}",False,OBSERVATIONAL_ALIAS_UNRESOLVED
6,60,240,1.2,4.8,3.5999999999999996,0.8773971892475865,0.4117647058823529,7,17,False,False,True,52,2003,60,11,False,2,4,0.2163375045331736,0.11215924014470054,0.07211250151105786,0.12388963958809594,7,17,7,0,10,0.4117647058823529,0.0,0.1307954937568797,0.8773971892475865,0.0,3,0.07211250151105789,0.12388963958809594,0,,"{""unique_candidate"": 3}",False,OBSERVATIONAL_ALIAS_UNRESOLVED
2,0,60,0.0,1.2,1.2,0.8003894319251719,0.45454545454545453,7,9,False,False,True,73,2001,10,61,False,2,7,0.17598817100738193,0.14235794959044035,0.029331361834563658,0.04716931970702468,7,9,5,2,4,0.45454545454545453,0.0,0.2226568798515148,0.8003894319251719,0.0,6,0.02933136183456365,0.04716931970702468,0,,"{""unique_candidate"": 6}",False,OBSERVATIONAL_ALIAS_UNRESOLVED
2,0,60,0.0,1.2,1.2,0.8003894319251719,0.45454545454545453,7,9,False,False,True,73,2001,60,11,False,2,2,0.14235794959044035,0.14235794959044035,0.14235794959044035,0.14235794959044035,7,9,5,2,4,0.45454545454545453,0.0,0.2226568798515148,0.8003894319251719,0.0,1,0.14235794959044026,0.14235794959044026,0,,"{""unique_candidate"": 1}",False,OBSERVATIONAL_ALIAS_UNRESOLVED
4,60,240,1.2,4.8,3.5999999999999996,0.8184536224980146,0.4,6,15,False,False,True,73,2002,30,21,False,2,7,0.16052540441867538,0.054719456339660764,0.026754234069779236,0.10683304964054484,6,15,6,0,9,0.4,0.0,0.20033854535475482,0.8184536224980146,0.0,6,0.02675423406977923,0.10683304964054481,0,,"{""unique_candidate"": 6}",False,OBSERVATIONAL_ALIAS_UNRESOLVED
4,60,240,1.2,4.8,3.5999999999999996,0.8184536224980146,0.4,6,15,False,False,True,73,2002,60,11,False,2,4,0.12749132600869556,0.054719456339660764,0.04249710866956519,0.09034227316290072,6,15,6,0,9,0.4,0.0,0.20033854535475482,0.8184536224980146,0.0,3,0.04249710866956518,0.09034227316290068,0,,"{""unique_candidate"": 3}",False,OBSERVATIONAL_ALIAS_UNRESOLVED
4,0,180,0.0,3.6,3.6,0.8280116806701624,0.3333333333333333,5,11,False,False,True,94,2001,30,21,False,2,7,0.19836176179134907,0.17797844191226683,0.03306029363189151,0.11165841917799635,5,11,4,1,7,0.3333333333333333,0.0,0.1887280176068133,0.8280116806701624,0.0,6,0.03306029363189151,0.11165841917799635,0,,"{""unique_candidate"": 6}",False,OBSERVATIONAL_ALIAS_UNRESOLVED
