law_index,seed,snapshot_cadence,tracks,mean_track_observations,median_track_observations,mean_lifetime_steps,median_lifetime_steps,complex_tracks,birth_events,disappearance_events,continuity_events,split_events,merge_events,ambiguity_events
11,2001,30,16,5.9375,4.0,148.125,90.0,4,16,12,79,0,2,0
11,2001,60,17,2.8823529411764706,2.0,112.94117647058823,60.0,0,17,13,32,0,0,0
11,2002,10,33,11.393939393939394,5.0,103.93939393939394,40.0,18,33,28,343,2,9,1
11,2002,30,26,5.115384615384615,3.5,123.46153846153847,75.0,12,26,21,107,2,3,2
11,2002,60,25,2.72,2.0,103.2,60.0,8,25,20,43,3,1,0
11,2003,10,27,13.518518518518519,6.0,125.18518518518519,50.0,24,27,22,338,8,16,3
11,2003,30,23,5.3478260869565215,2.0,130.43478260869566,30.0,10,23,18,100,3,4,2
11,2003,60,21,3.0,2.0,120.0,60.0,4,21,16,42,0,2,1
12,2001,10,22,9.5,3.0,85.0,20.0,8,22,19,187,2,3,2
12,2001,30,16,4.4375,1.0,103.125,0.0,2,16,13,55,0,1,0
12,2001,60,14,2.7857142857142856,1.0,107.14285714285714,0.0,0,14,11,25,0,0,0
12,2002,10,35,7.257142857142857,3.0,62.57142857142857,20.0,13,35,32,219,4,4,0
12,2002,30,21,4.238095238095238,2.0,97.14285714285714,30.0,8,21,18,68,1,4,0
12,2002,60,18,2.6666666666666665,1.0,100.0,0.0,3,18,15,30,1,1,0
12,2003,10,31,7.67741935483871,2.0,66.7741935483871,10.0,11,31,28,207,3,3,0
12,2003,30,17,4.882352941176471,2.0,116.47058823529412,30.0,2,17,14,66,0,1,0
12,2003,60,15,3.0,1.0,120.0,0.0,3,15,12,30,2,1,0
13,2001,10,49,5.489795918367347,3.0,44.89795918367347,20.0,16,49,45,220,3,8,1
13,2001,30,33,2.757575757575758,2.0,52.72727272727273,30.0,3,33,29,58,0,1,1
13,2001,60,26,1.6923076923076923,1.0,41.53846153846154,0.0,0,26,22,18,0,0,0
13,2002,10,54,5.055555555555555,3.0,40.55555555555556,20.0,19,54,50,219,8,4,0
13,2002,30,43,2.13953488372093,2.0,34.18604651162791,30.0,4,43,39,49,1,1,0
13,2002,60,30,1.6,1.0,36.0,0.0,2,30,26,18,1,0,0
13,2003,10,52,6.326923076923077,3.0,53.26923076923077,20.0,17,52,47,277,8,5,1
13,2003,30,26,4.038461538461538,2.0,91.15384615384616,30.0,7,26,21,79,1,4,0
13,2003,60,26,2.0384615384615383,1.0,62.30769230769231,0.0,2,26,21,27,1,0,0
