track_id,start_step,end_step,start_time,end_time,tau,phenotype_continuity,material_retention,start_count,end_count,interval_has_ambiguity,interval_has_split_or_merge,unresolved_sparse_alias_risk,law_index,seed,snapshot_cadence,track_observations,track_ever_complex,clean_probe_cadence_count_same_endpoint,eligible_seed_count_for_law,eligible_law
4,60,240,1.2,4.8,3.5999999999999996,0.8184536224980146,0.4,6,15,False,False,True,73,2002,60,11,False,2,2,True
1,120,300,2.4,6.0,3.6,0.8076065599283578,0.3888888888888889,8,17,False,False,True,79,2001,30,21,False,2,1,False
0,120,300,2.4,6.0,3.6,0.8469812910715081,0.2777777777777778,6,17,False,False,True,79,2001,60,11,False,2,1,False
3,0,180,0.0,3.6,3.6,0.8136516506737259,0.42857142857142855,5,5,False,False,True,80,2003,30,21,False,2,1,False
3,0,180,0.0,3.6,3.6,0.8136516506737259,0.42857142857142855,5,5,False,False,True,80,2003,60,11,False,2,1,False
2,0,180,0.0,3.6,3.6,0.8714648826246253,0.42857142857142855,4,6,False,False,True,85,2001,30,21,False,2,1,False
2,0,180,0.0,3.6,3.6,0.8714648826246253,0.42857142857142855,4,6,False,False,True,85,2001,60,11,False,2,1,False
8,60,90,1.2,1.8,0.6000000000000001,0.8332724981442636,0.42857142857142855,4,6,False,False,True,88,2001,10,56,False,2,1,False
7,60,90,1.2,1.8,0.6000000000000001,0.8332724981442636,0.42857142857142855,4,6,False,False,True,88,2001,30,19,False,2,1,False
8,60,120,1.2,2.4,1.2,0.8477002856043114,0.375,4,7,False,False,True,88,2001,10,56,False,2,1,False
5,60,120,1.2,2.4,1.2,0.8477002856043114,0.375,4,7,False,False,True,88,2001,60,10,False,2,1,False
5,0,180,0.0,3.6,3.6,0.8302323767786388,0.2857142857142857,4,5,False,False,True,89,2002,30,21,False,2,1,False
5,0,180,0.0,3.6,3.6,0.8302323767786388,0.2857142857142857,4,5,False,False,True,89,2002,60,11,False,2,1,False
4,0,180,0.0,3.6,3.6,0.8280116806701624,0.3333333333333333,5,11,False,False,True,94,2001,30,21,False,2,2,True
4,0,180,0.0,3.6,3.6,0.8280116806701624,0.3333333333333333,5,11,False,False,True,94,2001,60,11,False,2,2,True
3,0,30,0.0,0.6,0.6,0.8016217320988046,0.4166666666666667,8,9,False,False,True,94,2002,10,61,False,2,2,True
3,0,30,0.0,0.6,0.6,0.8016217320988046,0.4166666666666667,8,9,False,False,True,94,2002,30,21,False,2,2,True
9,60,240,1.2,4.8,3.5999999999999996,0.8640807335744808,0.4166666666666667,5,12,False,False,True,94,2002,30,20,False,2,2,True
9,60,240,1.2,4.8,3.5999999999999996,0.8640807335744808,0.4166666666666667,5,12,False,False,True,94,2002,60,10,False,2,2,True
