law_index,seed,snapshot_cadence,lag_snapshots,tau,rows,probe_rows,probe_fraction,mean_p,mean_m,p_min,p_max,m_min,m_max
1,2002,60,1,1.2,21,0,0.0,0.7712919761312049,0.8126857206669778,0.39243832427892594,0.936146835294352,0.2916666666666667,1.0
1,2002,60,3,3.6,10,0,0.0,0.7725406183001107,0.696466719077568,0.6117495606057907,0.8736173079209263,0.40625,1.0
1,2002,60,6,7.2,2,0,0.0,0.778658854949031,0.5902777777777778,0.7612111516393095,0.7961065582587523,0.5555555555555556,0.625
1,2003,10,1,0.2,191,0,0.0,0.9208154143308822,0.966795895796755,0.4704945676449435,0.99453560940379,0.2727272727272727,1.0
1,2003,10,3,0.6,172,2,0.011627906976744186,0.8810381021569764,0.9410472423550882,0.493682035820245,0.9917381950695523,0.0,1.0
1,2003,10,6,1.2,157,1,0.006369426751592357,0.8518955258760331,0.9049549904188681,0.5218028936957096,0.9787881588150499,0.0,1.0
1,2003,30,1,0.6,61,1,0.01639344262295082,0.8733808471596854,0.9256108268263779,0.493682035820245,0.9851933580065857,0.4,1.0
1,2003,30,3,1.8,50,1,0.02,0.8453319382587746,0.8632906232194161,0.5245954079834185,0.976415815445088,0.0,1.0
1,2003,30,6,3.6,38,1,0.02631578947368421,0.825817529081601,0.7933801221319552,0.5259370654962735,0.9639487899353736,0.0,1.0
1,2003,60,1,1.2,25,0,0.0,0.8419063484866084,0.9231531831394532,0.525914095219436,0.9746492223498094,0.34782608695652173,1.0
1,2003,60,3,3.6,16,0,0.0,0.8467497348980129,0.8886363636363636,0.6758996577021391,0.9366818558739276,0.0,1.0
1,2003,60,6,7.2,6,0,0.0,0.824097796774018,0.878030303030303,0.6662481856620278,0.9425777479470965,0.36363636363636365,1.0
2,2001,10,1,0.2,217,2,0.009216589861751152,0.7861882974801795,0.6854576068308256,0.43516873215701013,0.953312435474338,0.1111111111111111,1.0
2,2001,10,3,0.6,107,6,0.056074766355140186,0.7159454547566483,0.41510699419161573,0.39513143822572017,0.9102477081202249,0.0,1.0
2,2001,10,6,1.2,37,6,0.16216216216216217,0.7262789024206301,0.32642296196862763,0.512621599957464,0.8957594196397969,0.0,0.875
2,2001,30,1,0.6,54,7,0.12962962962962962,0.7300218245826948,0.4282854013408383,0.47039948077565397,0.8863303811341594,0.08333333333333333,1.0
2,2001,30,3,1.8,17,0,0.0,0.6873050076300969,0.21586109968462908,0.4397761538513163,0.7960727141999472,0.045454545454545456,0.5454545454545454
2,2001,30,6,3.6,2,0,0.0,0.6569674756441042,0.1324110671936759,0.6328800847332581,0.6810548665549504,0.09090909090909091,0.17391304347826086
2,2001,60,1,1.2,19,2,0.10526315789473684,0.6861960192535494,0.2841712978923553,0.45050406958019507,0.8263573115662465,0.0,0.875
2,2001,60,3,3.6,2,0,0.0,0.5685082100117417,0.10925039872408293,0.3864428077604123,0.7505736122630711,0.06060606060606061,0.15789473684210525
2,2002,10,1,0.2,177,6,0.03389830508474576,0.7744910586429555,0.6798716596206102,0.37663150694036696,0.9451560301408265,0.2,1.0
2,2002,10,3,0.6,95,4,0.042105263157894736,0.6716189953717763,0.39998494465307916,0.3009733436592883,0.8683840452387029,0.05,0.7777777777777778
2,2002,10,6,1.2,43,3,0.06976744186046512,0.6596760495364178,0.23585441887939637,0.37489045322380804,0.8444842900540462,0.0,0.4666666666666667
2,2002,30,1,0.6,36,1,0.027777777777777776,0.6876798374334366,0.39062462793802155,0.31485171444867543,0.8645295889965875,0.125,0.7777777777777778
2,2002,30,3,1.8,7,3,0.42857142857142855,0.7031053049613115,0.18702338036339225,0.39269562141939773,0.8578388995445563,0.11764705882352941,0.2826086956521739
2,2002,30,6,3.6,1,1,1.0,0.8183090333246135,0.08333333333333333,0.8183090333246135,0.8183090333246135,0.08333333333333333,0.08333333333333333
2,2002,60,1,1.2,9,1,0.1111111111111111,0.6773187535925761,0.1944556201792144,0.46534025138367724,0.8297218364992638,0.0,0.46153846153846156
2,2003,10,1,0.2,223,3,0.013452914798206279,0.7778551299941451,0.6926086504973669,0.3329074944060851,0.9487893446723249,0.125,1.0
2,2003,10,3,0.6,114,13,0.11403508771929824,0.7139336152300291,0.48892705992160257,0.35334192713433044,0.8815889475220553,0.058823529411764705,1.0
2,2003,10,6,1.2,36,5,0.1388888888888889,0.7132943651265397,0.32416403269553046,0.3475060425144751,0.8301326988760173,0.0,0.7142857142857143
2,2003,30,1,0.6,54,4,0.07407407407407407,0.7358012892624167,0.47884987016392444,0.4989288272702676,0.881749343484808,0.0,1.0
2,2003,30,3,1.8,10,1,0.1,0.6926950953351864,0.25559995559995563,0.3642901109307906,0.8504421712309599,0.0,0.4444444444444444
2,2003,60,1,1.2,25,2,0.08,0.6973026018403619,0.2479227992509726,0.5077714268826651,0.8132764200412899,0.0,0.5
2,2003,60,3,3.6,5,0,0.0,0.7075350726372792,0.08506787330316742,0.6378889868355712,0.7853099794010701,0.0,0.23076923076923078
3,2001,10,1,0.2,295,0,0.0,0.9418053540195184,0.9681775804233431,0.48742286627161246,0.9999136102027179,0.375,1.0
3,2001,10,3,0.6,276,0,0.0,0.9299168323392547,0.9536981577001826,0.48351778851597205,0.9998186132284643,0.07142857142857142,1.0
3,2001,10,6,1.2,260,2,0.007692307692307693,0.9182593745325344,0.9431900058544149,0.45263882281558143,0.9997085081021848,0.08695652173913043,1.0
3,2001,30,1,0.6,98,0,0.0,0.9194474218894981,0.9314455212654492,0.5649220000366172,0.9997871367837966,0.09090909090909091,1.0
3,2001,30,3,1.8,85,1,0.011764705882352941,0.9042602277455054,0.9261545317764582,0.5178860539577248,0.9994482151286608,0.21052631578947367,1.0
3,2001,30,6,3.6,70,0,0.0,0.8626282552727313,0.9055168815164393,0.455038283734062,0.9976259744468727,0.21052631578947367,1.0
3,2001,60,1,1.2,49,0,0.0,0.9084283445288162,0.9167374642164556,0.4752518120838307,0.9996894462477552,0.2222222222222222,1.0
3,2001,60,3,3.6,39,0,0.0,0.8521087675743093,0.8796284471087995,0.455038283734062,0.9976259744468727,0.21052631578947367,1.0
3,2001,60,6,7.2,24,0,0.0,0.7677005894765186,0.8033278504834233,0.45379079972226016,0.957379504412856,0.21052631578947367,1.0
3,2002,10,1,0.2,339,0,0.0,0.9293195551712166,0.9650702439082586,0.5037450118584077,0.9993755528292518,0.375,1.0
3,2002,10,3,0.6,311,0,0.0,0.9098034273108924,0.954589622596054,0.5302683090101126,0.9986538154083697,0.2857142857142857,1.0
3,2002,10,6,1.2,285,0,0.0,0.88603470326403,0.937676193202509,0.5665356970674995,0.997958698239914,0.3,1.0
3,2002,30,1,0.6,113,0,0.0,0.9011919913295589,0.9163958258180018,0.5302683090101126,0.9985874971693927,0.0,1.0
3,2002,30,3,1.8,98,0,0.0,0.8576789778716046,0.8681771713189542,0.5121749747169944,0.997042232233984,0.0,1.0
3,2002,30,6,3.6,78,1,0.01282051282051282,0.8402014213823568,0.7993422513159352,0.5072094429056035,0.9924519984386606,0.0,1.0
3,2002,60,1,1.2,51,0,0.0,0.8726715682482151,0.8847770421299833,0.5665356970674995,0.9979320842643771,0.0,1.0
3,2002,60,3,3.6,36,0,0.0,0.8589225890081909,0.8306667869167871,0.6552288877090969,0.9924519984386606,0.0,1.0
3,2002,60,6,7.2,18,2,0.1111111111111111,0.7820719576140637,0.6630952380952381,0.6238775874515704,0.9243808903745868,0.0,1.0
3,2003,10,1,0.2,211,0,0.0,0.9222447673460005,0.9572846413793183,0.4199413328943391,0.999725258144762,0.4,1.0
3,2003,10,3,0.6,195,0,0.0,0.8960569625780285,0.9339513792278855,0.38064189556588157,0.9992932029768569,0.40625,1.0
3,2003,10,6,1.2,177,0,0.0,0.8735198052279692,0.9173085970604027,0.35553285587506217,0.998918086268853,0.3333333333333333,1.0
3,2003,30,1,0.6,67,0,0.0,0.8961010588443846,0.9261940664729352,0.38064189556588157,0.9992932029768569,0.40625,1.0
3,2003,30,3,1.8,56,0,0.0,0.8637701501911764,0.8904229323013808,0.32809901262004865,0.9972275672231966,0.3157894736842105,1.0
3,2003,30,6,3.6,41,1,0.024390243902439025,0.8552095004130561,0.8375022120587794,0.3583800713134309,0.9883679394594598,0.3939393939393939,1.0
3,2003,60,1,1.2,32,0,0.0,0.8722853831459622,0.8666483427482605,0.6111143346065535,0.998918086268853,0.0,1.0
3,2003,60,3,3.6,23,0,0.0,0.8361289693664274,0.7697987312723505,0.5524160572489156,0.9883679394594598,0.0,1.0
3,2003,60,6,7.2,13,0,0.0,0.7650452152413116,0.6012208474029742,0.5638895715924055,0.9464153811232112,0.0,0.96875
4,2001,10,1,0.2,199,1,0.005025125628140704,0.9352417514579996,0.9530202993259773,0.5888299861007281,0.9995838548417302,0.3333333333333333,1.0
4,2001,10,3,0.6,187,0,0.0,0.9171033587711469,0.9373967108921838,0.46319286828528233,0.9988944846777846,0.2692307692307692,1.0
4,2001,10,6,1.2,175,0,0.0,0.903780928522956,0.9272755698770742,0.46346071660709354,0.9974746335608802,0.2857142857142857,1.0
4,2001,30,1,0.6,64,0,0.0,0.9326336663946508,0.9381014133892424,0.601428077108955,0.9987410144291121,0.5,1.0
4,2001,30,3,1.8,56,0,0.0,0.9024872635938624,0.9103953295805208,0.6029561235756054,0.9968098553787448,0.30434782608695654,1.0
4,2001,30,6,3.6,44,1,0.022727272727272728,0.8789780726625068,0.8731393701645419,0.5389502267456416,0.9945443091627773,0.2857142857142857,1.0
4,2001,60,1,1.2,31,0,0.0,0.9116789228345062,0.9043138242628904,0.6639294000773763,0.9972426529059081,0.35,1.0
4,2001,60,3,3.6,23,0,0.0,0.8732090283339645,0.8554794358296498,0.5389502267456416,0.9945443091627773,0.2857142857142857,1.0
4,2001,60,6,7.2,13,0,0.0,0.7915272291079949,0.8146394414128968,0.5449281754935886,0.9638148917124417,0.30434782608695654,1.0
