L,attempted,axis,balance_error,coast_survival,deficit,first_failure_time,first_failure_type,fresh_frac_1536,fresh_frac_2048,initial_microstate_sha256,intervention,joint_exchange_persistence_1536,joint_exchange_persistence_2048,law,mass_1536,mass_2048,realized,residual_1536,residual_2048,seed,survival_1536,survival_2048,survival_256,t256_area,t256_checkpoint_sha256,t256_mass,t256_residual,t256_status,unique_egress_cells,unique_ingress_cells
24,404,-y,0.0,True,404,,NONE,0.0,0.0,6bcebc004490d61f020f45a0f16722f36d74b609ad1bb1b0dc7189c39dfc6ea5,SHAM,False,False,LAW_16,167.47012287854267,166.8657019176052,0,0.8898297832928858,0.8731257270229961,940003,True,True,True,217,bed64bbf33337298c32a3e326d1a7f5029b2f7822047bcba902deb98bab275d4,170.43117488835227,0.9537052223528373,T256_VALID_TRACK,0,0.0
24,404,-y,0.0,False,369,368,TRACK_LOST_OR_DISSOLVED,nan,nan,6bcebc004490d61f020f45a0f16722f36d74b609ad1bb1b0dc7189c39dfc6ea5,FLOW_2N,False,False,LAW_16,0.0,0.0,35,nan,nan,940003,False,False,True,217,bed64bbf33337298c32a3e326d1a7f5029b2f7822047bcba902deb98bab275d4,170.43117488835227,0.9537052223528373,T256_VALID_TRACK,35,20.147862517903278
24,808,-y,0.0,False,758,320,TRACK_LOST_OR_DISSOLVED,nan,nan,6bcebc004490d61f020f45a0f16722f36d74b609ad1bb1b0dc7189c39dfc6ea5,FLOW_4N,False,False,LAW_16,0.0,0.0,50,nan,nan,940003,False,False,True,217,bed64bbf33337298c32a3e326d1a7f5029b2f7822047bcba902deb98bab275d4,170.43117488835227,0.9537052223528373,T256_VALID_TRACK,50,25.996552911046614
24,404,+x,0.0,False,404,1712,TRACK_LOST_OR_DISSOLVED,0.0,nan,9d17abc6cccd8cfe1fa15e2dd0888eab7d4efa99262f640c68a59b95b8a15220,SHAM,False,False,BASELINE_SWEEP00,23.168343605910422,0.0,0,0.791011350448592,nan,940004,True,False,True,195,e0c2f1f6a72623a3bf105a59f3a1d232746af87c564f768cc9a8d91e7139a1de,119.61016032227508,0.9257161822735807,T256_VALID_TRACK,0,0.0
24,404,+x,0.0,False,342,624,TRACK_LOST_OR_DISSOLVED,nan,nan,9d17abc6cccd8cfe1fa15e2dd0888eab7d4efa99262f640c68a59b95b8a15220,FLOW_2N,False,False,BASELINE_SWEEP00,0.0,0.0,62,nan,nan,940004,False,False,True,195,e0c2f1f6a72623a3bf105a59f3a1d232746af87c564f768cc9a8d91e7139a1de,119.61016032227508,0.9257161822735807,T256_VALID_TRACK,62,16.404620415413973
24,808,+x,0.0,False,734,464,TRACK_LOST_OR_DISSOLVED,nan,nan,9d17abc6cccd8cfe1fa15e2dd0888eab7d4efa99262f640c68a59b95b8a15220,FLOW_4N,False,False,BASELINE_SWEEP00,0.0,0.0,74,nan,nan,940004,False,False,True,195,e0c2f1f6a72623a3bf105a59f3a1d232746af87c564f768cc9a8d91e7139a1de,119.61016032227508,0.9257161822735807,T256_VALID_TRACK,74,15.385904194940093
24,404,+x,0.0,True,404,,NONE,0.0,0.0,9d17abc6cccd8cfe1fa15e2dd0888eab7d4efa99262f640c68a59b95b8a15220,SHAM,False,False,LAW_16,162.1461187867824,161.93545229108213,0,0.8993335266668042,0.8822814626829187,940004,True,True,True,208,6f3b71b184b6efac11fb3d50a977682d1080c427f247cf8d7e7c11a734021d08,163.9453949664627,0.966645521183901,T256_VALID_TRACK,0,0.0
24,404,+x,0.0,True,297,,NONE,0.005809010867574073,0.013204866562685401,9d17abc6cccd8cfe1fa15e2dd0888eab7d4efa99262f640c68a59b95b8a15220,FLOW_2N,False,False,LAW_16,68.93059067783395,67.83776901466545,107,0.8966809691233575,0.8728658952952937,940004,True,True,True,208,6f3b71b184b6efac11fb3d50a977682d1080c427f247cf8d7e7c11a734021d08,163.9453949664627,0.966645521183901,T256_VALID_TRACK,107,1.13650064455847
24,808,+x,0.0,True,701,,NONE,0.007346336313709614,0.015029015283787799,9d17abc6cccd8cfe1fa15e2dd0888eab7d4efa99262f640c68a59b95b8a15220,FLOW_4N,False,False,LAW_16,67.76666904990985,66.71194106599977,107,0.8961993074354812,0.8711588019177415,940004,True,True,True,208,6f3b71b184b6efac11fb3d50a977682d1080c427f247cf8d7e7c11a734021d08,163.9453949664627,0.966645521183901,T256_VALID_TRACK,107,1.2720325244646813
24,404,-x,0.0,True,404,,NONE,0.0,0.0,982a9a49716ffe540b7107730ea9b83e83cb8ff07ddb295f661d5b988c78cc51,SHAM,False,False,BASELINE_SWEEP00,71.36293548835252,23.490755273509887,0,0.745906326167159,0.7268539646662072,940005,True,True,True,212,5ab86fc8407599cbb2facc47b4254bf9e1c2301c49ac0bcf5482b0d3a4a98d93,128.478748898355,0.908505460886139,T256_VALID_TRACK,0,0.0
24,404,-x,0.0,False,344,432,TRACK_LOST_OR_DISSOLVED,0.11226102485569193,nan,982a9a49716ffe540b7107730ea9b83e83cb8ff07ddb295f661d5b988c78cc51,FLOW_2N,False,False,BASELINE_SWEEP00,23.016173088859922,0.0,60,0.5799225644674674,nan,940005,False,False,True,212,5ab86fc8407599cbb2facc47b4254bf9e1c2301c49ac0bcf5482b0d3a4a98d93,128.478748898355,0.908505460886139,T256_VALID_TRACK,60,23.951394124562484
24,808,-x,0.0,False,748,352,TRACK_LOST_OR_DISSOLVED,0.10827182669396994,nan,982a9a49716ffe540b7107730ea9b83e83cb8ff07ddb295f661d5b988c78cc51,FLOW_4N,False,False,BASELINE_SWEEP00,31.681525815845585,0.0,60,0.5986863944061158,nan,940005,False,False,True,212,5ab86fc8407599cbb2facc47b4254bf9e1c2301c49ac0bcf5482b0d3a4a98d93,128.478748898355,0.908505460886139,T256_VALID_TRACK,60,31.802301190598342
24,404,-x,0.0,True,404,,NONE,0.0,0.0,982a9a49716ffe540b7107730ea9b83e83cb8ff07ddb295f661d5b988c78cc51,SHAM,False,False,LAW_16,162.79091203970754,162.64604422466505,0,0.8942680400173426,0.8764869036925667,940005,True,True,True,213,2d97a80e373aec594bff9d24b20fb033965f57ffb981bd8809f5e2bd036ad32e,165.85519062961137,0.9582339055887821,T256_VALID_TRACK,0,0.0
24,404,-x,0.0,False,305,592,TRACK_LOST_OR_DISSOLVED,nan,nan,982a9a49716ffe540b7107730ea9b83e83cb8ff07ddb295f661d5b988c78cc51,FLOW_2N,False,False,LAW_16,0.0,0.0,99,nan,nan,940005,False,False,True,213,2d97a80e373aec594bff9d24b20fb033965f57ffb981bd8809f5e2bd036ad32e,165.85519062961137,0.9582339055887821,T256_VALID_TRACK,99,0.006411245202540375
24,808,-x,0.0,False,709,624,TRACK_LOST_OR_DISSOLVED,nan,nan,982a9a49716ffe540b7107730ea9b83e83cb8ff07ddb295f661d5b988c78cc51,FLOW_4N,False,False,LAW_16,0.0,0.0,99,nan,nan,940005,False,False,True,213,2d97a80e373aec594bff9d24b20fb033965f57ffb981bd8809f5e2bd036ad32e,165.85519062961137,0.9582339055887821,T256_VALID_TRACK,99,0.06730240671241484
24,404,+y,0.0,True,404,,NONE,0.0,0.0,077bc9ba9899533166b9808c532048b81e4b27bafa03a0f8151ddb96e17397f8,SHAM,False,False,BASELINE_SWEEP00,112.1528165581623,102.83606024899287,0,0.7220656454862339,0.6966397883489182,940006,True,True,True,218,30b2b2c9c82caba2b37b03bd9b78437481fe4dbf80bf08a55e8c2f99affc1dfb,133.57092947448535,0.9026506754178802,T256_VALID_TRACK,0,0.0
24,404,+y,0.0,False,349,384,TRACK_LOST_OR_DISSOLVED,nan,nan,077bc9ba9899533166b9808c532048b81e4b27bafa03a0f8151ddb96e17397f8,FLOW_2N,False,False,BASELINE_SWEEP00,0.0,0.0,55,nan,nan,940006,False,False,True,218,30b2b2c9c82caba2b37b03bd9b78437481fe4dbf80bf08a55e8c2f99affc1dfb,133.57092947448535,0.9026506754178802,T256_VALID_TRACK,55,20.419365835675872
24,808,+y,0.0,False,747,352,TRACK_LOST_OR_DISSOLVED,nan,nan,077bc9ba9899533166b9808c532048b81e4b27bafa03a0f8151ddb96e17397f8,FLOW_4N,False,False,BASELINE_SWEEP00,0.0,0.0,61,nan,nan,940006,False,False,True,218,30b2b2c9c82caba2b37b03bd9b78437481fe4dbf80bf08a55e8c2f99affc1dfb,133.57092947448535,0.9026506754178802,T256_VALID_TRACK,61,28.027622273444724
24,404,+y,0.0,True,404,,NONE,0.0,0.0,077bc9ba9899533166b9808c532048b81e4b27bafa03a0f8151ddb96e17397f8,SHAM,False,False,LAW_16,166.23755816090116,166.18577624443174,0,0.8914677570257666,0.8731972228076055,940006,True,True,True,213,e0fbf029148c487d02df3ed2293472b2db8e578559f60c4d414580ef07863af0,167.7723715156805,0.9591477449627843,T256_VALID_TRACK,0,0.0
