law_index,condition,seed,n_meas,sum_P,sum_M,sum_PP,sum_MM,sum_PM,mean_P,mean_M,mean_turnover,mean_abs_circulation,probe_count,cross_cadence_endpoints,eligible_seed,n_tracks,long_tracks,mean_track_obs,max_track_obs,censored_tracks,births,splits,merges,ambiguous
7,OFF,7002,1226,1062.7228422723922,1096.0591954077431,935.3353723652735,1020.0908691011225,965.4981386404272,0.8668212416577424,0.894012394296691,0.10598760570330878,0.036829192206993856,7,1,True,61,17,8.868852459016393,61,46,61,3,14,11
7,OFF,7003,1236,1040.3641641890824,1051.5500212982338,895.908490935622,971.5914364857165,912.8397948755394,0.8417185794410053,0.8507686256458202,0.14923137435417905,0.05602124321199131,12,0,False,77,25,7.753246753246753,40,56,77,13,16,11
7,ON,7001,229,118.3423017210723,61.12537575694584,64.454456073456,25.346174548426966,33.579026783717765,0.5167786101356869,0.2669230382399382,0.7330769617600621,0.9522764541237446,1,0,False,284,1,1.6795774647887325,8,266,284,9,4,0
7,ON,7002,268,139.53101634020578,65.1602616442889,76.41055515676094,25.131605739607352,36.48274056784698,0.5206381206724097,0.243135304642869,0.7568646953571312,0.9593536280473559,0,0,False,296,2,1.7364864864864864,9,284,296,9,9,2
7,ON,7003,251,130.95002960079094,64.17221132218724,72.27745616396885,25.329702538045503,35.766337582484915,0.5217132653417966,0.255666180566483,0.7443338194335172,0.8682671600989594,0,0,False,286,1,1.7552447552447552,8,277,286,10,9,2
8,OFF,7001,1329,1201.1979929188456,1208.027921369137,1098.0169039297004,1139.1619849554447,1108.289019902462,0.9038359615642179,0.9089751101347908,0.09102488986520953,0.01856146665129133,23,0,False,32,21,16.71875,61,17,32,1,9,0
8,OFF,7002,1636,1502.2254979101433,1539.1651071151061,1389.9362188022485,1476.6909872166786,1425.788296786161,0.9182307444438529,0.9408099676742703,0.05919003232572914,0.01564522386881904,11,0,False,42,23,15.523809523809524,61,21,42,1,6,13
8,OFF,7003,1370,1222.1310697756142,1202.142560393683,1101.3388531122887,1109.33551235897,1090.8745883235717,0.8920664742887695,0.877476321455243,0.12252367854475717,0.019385266228552366,23,0,False,41,19,13.634146341463415,61,26,41,4,11,7
8,ON,7001,305,161.26644646587195,73.44530139071179,90.069504112619,28.006072249961626,41.88233332239552,0.5287424474290884,0.24080426685479275,0.7591957331452074,0.8607061048516111,2,0,False,262,2,1.9122137404580153,10,244,262,8,8,5
8,ON,7002,302,156.73187187180258,74.04683602593266,85.80287902518029,28.108686288989375,40.811264796142616,0.5189797081847768,0.24518819876136644,0.7548118012386337,0.829498183465368,1,0,False,294,2,1.8435374149659864,9,276,294,11,16,3
8,ON,7003,296,150.12559671422449,73.25858757490025,80.52607281037633,27.457884797452614,39.617742875036555,0.5071810699804882,0.24749522829358192,0.752504771706418,0.8463986877571819,3,0,False,284,0,1.8485915492957747,6,269,284,9,12,2
9,OFF,7001,1583,1397.2323273357329,1479.3935703185673,1245.5244741211156,1430.1438711167584,1321.512527203576,0.8826483432316695,0.9345505813762269,0.06544941862377113,0.03633826836348154,9,0,False,44,23,14.590909090909092,61,26,44,8,11,0
9,OFF,7002,1393,1245.357165577142,1320.1907474168352,1121.940746284969,1279.5716598264364,1190.2688158303558,0.8940108869900517,0.9477320512683669,0.052267948731633616,0.03701426622462685,8,0,False,35,20,15.914285714285715,61,17,35,4,13,0
9,OFF,7003,1616,1409.9753171939149,1487.917299806591,1241.8031731180113,1413.4612499788743,1313.5464742134,0.872509478461581,0.9207409033456627,0.07925909665433616,0.03825379212629363,7,0,False,42,24,15.5,61,24,42,7,16,1
