M256,block,checkpoint,law,quantum,rho_observed_next_window,rho_probe_slope8,saturation_mass_added,size,src_bound_fraction_next_window
164.16958531802945,LAW_16_L24_S930008,272,LAW_16,2.052119816475368,0.03897491302719062,0.04619421012705158,19.450940478720213,24,
164.16958531802945,LAW_16_L24_S930008,1296,LAW_16,2.052119816475368,0.015329719561540701,0.015347753379470863,0.0,24,
164.16958531802945,LAW_16_L24_S930008,2320,LAW_16,2.052119816475368,,0.017098364018788073,0.0,24,
294.05253384858736,LAW_16_L32_S930000,272,LAW_16,3.675656673107342,0.06070468557771917,0.06657892508226818,34.27628174300318,32,
294.05253384858736,LAW_16_L32_S930000,1296,LAW_16,3.675656673107342,0.015777502882605238,0.018899836310669035,0.0,32,
294.05253384858736,LAW_16_L32_S930000,2320,LAW_16,3.675656673107342,,0.014756683668758472,0.0,32,
291.26705102089903,LAW_16_L32_S930001,272,LAW_16,3.640838137761238,0.059024434938123024,0.07096494767463707,32.79895226995338,32,
291.26705102089903,LAW_16_L32_S930001,1296,LAW_16,3.640838137761238,0.014954685435211487,0.018553055053228185,0.0,32,
291.26705102089903,LAW_16_L32_S930001,2320,LAW_16,3.640838137761238,,0.013314070360199798,0.0,32,
291.65181648565203,LAW_16_L32_S930002,272,LAW_16,3.6456477060706503,0.06059193750160326,0.06392412979260663,34.33518178216752,32,
291.65181648565203,LAW_16_L32_S930002,1296,LAW_16,3.6456477060706503,0.01578900185736193,0.01874418355150015,0.0,32,
291.65181648565203,LAW_16_L32_S930002,2320,LAW_16,3.6456477060706503,,0.014945401398531885,0.0,32,
294.0113670242674,LAW_16_L32_S930003,272,LAW_16,3.675142087803342,0.058797260881149775,0.0644989813510977,32.70382993771285,32,
294.0113670242674,LAW_16_L32_S930003,1296,LAW_16,3.675142087803342,0.015224500732525834,0.01875065453342495,0.0,32,
294.0113670242674,LAW_16_L32_S930003,2320,LAW_16,3.675142087803342,,0.013715042801493535,0.0,32,
296.3241032833494,LAW_16_L32_S930004,272,LAW_16,3.7040512910418677,0.062182534993286874,0.1291841865617801,35.40326423983333,32,
296.3241032833494,LAW_16_L32_S930004,1296,LAW_16,3.7040512910418677,0.01568783452306602,0.01884662385102165,0.0,32,
296.3241032833494,LAW_16_L32_S930004,2320,LAW_16,3.7040512910418677,,0.014525779246998313,0.0,32,
294.6374553168752,LAW_16_L32_S930005,272,LAW_16,3.6829681914609402,0.058577140259117096,0.06371351058190747,32.66654491866417,32,
294.6374553168752,LAW_16_L32_S930005,1296,LAW_16,3.6829681914609402,0.015425995088119891,0.018612967658184112,0.0,32,
294.6374553168752,LAW_16_L32_S930005,2320,LAW_16,3.6829681914609402,,0.014255557757481496,0.0,32,
297.66541286728796,LAW_16_L32_S930006,272,LAW_16,3.7208176608410994,0.059416454542296666,0.06069396239552148,33.78024595470051,32,
297.66541286728796,LAW_16_L32_S930006,1296,LAW_16,3.7208176608410994,0.015301952357653567,0.018462533784812413,0.0,32,
297.66541286728796,LAW_16_L32_S930006,2320,LAW_16,3.7208176608410994,,0.014124920309784267,0.0,32,
296.94519692120633,LAW_16_L32_S930007,272,LAW_16,3.711814961515079,0.05649396635136982,0.061056426907599326,31.364467077375377,32,
296.94519692120633,LAW_16_L32_S930007,1296,LAW_16,3.711814961515079,0.014631121748831494,0.018092531481994786,0.0,32,
296.94519692120633,LAW_16_L32_S930007,2320,LAW_16,3.711814961515079,,0.012940614669140274,0.0,32,
294.9032373491267,LAW_16_L32_S930008,272,LAW_16,3.686290466864084,0.06332982603285021,0.06439656275288107,37.04289297017151,32,
294.9032373491267,LAW_16_L32_S930008,1296,LAW_16,3.686290466864084,0.016296018651354313,0.01918485462052298,0.0,32,
294.9032373491267,LAW_16_L32_S930008,2320,LAW_16,3.686290466864084,,0.015654370064288547,0.0,32,
161.29217176053953,LAW_29_L24_S930000,272,LAW_29,2.016152147006744,0.06888931080348491,0.09770073187216198,23.848751300523244,24,
161.29217176053953,LAW_29_L24_S930000,1296,LAW_29,2.016152147006744,0.011483911634037683,0.06855481522164515,2.1657328597439576,24,
161.29217176053953,LAW_29_L24_S930000,2320,LAW_29,2.016152147006744,,0.07334119075891854,18.567105939488403,24,
160.0242312222519,LAW_29_L24_S930001,272,LAW_29,2.0003028902781486,0.06372963476751349,0.10451081975206968,27.676215940877654,24,
160.0242312222519,LAW_29_L24_S930001,1296,LAW_29,2.0003028902781486,0.006168859479921629,0.0755709277509351,11.110373206076366,24,
