H0,H64,H8,M256,block,checkpoint,quantum,rho_observed_next_window,rho_probe_slope64,rho_probe_slope8,saturation_mass_added,size,window
0.0,0.7967165212157491,0.11386018042795198,165.32770555011422,L24_S990002,2320,2.0665963193764276,0.015844646039531944,0.01244869564399608,0.014232522553493998,0.0,24,2320-3344
0.0,1.0152756693489586,0.14490861409574018,165.32770555011422,L24_S990002,3344,2.0665963193764276,0.01921784904914592,0.01586368233357748,0.018113576761967523,0.0,24,3344-4368
0.0,1.1784666706415572,0.16941673113046318,165.32770555011422,L24_S990002,4368,2.0665963193764276,,0.01841354172877433,0.021177091391307898,0.0,24,
0.0,2.3704774279846537,0.3929749907321617,168.3637932437601,L24_S990003,272,2.1045474155470014,0.04074617538766972,0.037038709812260213,0.04912187384152021,21.09435489498206,24,272-1296
0.0,0.8295877801272058,0.11961864940445865,168.3637932437601,L24_S990003,1296,2.1045474155470014,0.01417144899982007,0.01296230906448759,0.014952331175557332,0.0,24,1296-2320
0.0,0.8797336788406928,0.12635006635576118,168.3637932437601,L24_S990003,2320,2.1045474155470014,0.017207872217538694,0.013745838731885824,0.015793758294470148,0.0,24,2320-3344
0.0,1.068939692278866,0.15334577911474223,168.3637932437601,L24_S990003,3344,2.1045474155470014,0.018481436624481776,0.016702182691857283,0.01916822238934278,0.0,24,3344-4368
0.0,1.1819901982679315,0.16887271835990636,168.3637932437601,L24_S990003,4368,2.1045474155470014,,0.01846859684793643,0.021109089794988295,1.2217928350056693,24,
0.0,2.296597072876004,0.3729216072678516,164.2458484805825,L24_S990004,272,2.0530731060072815,0.04245106369039853,0.035884329263687564,0.04661520090848145,22.52600632356207,24,272-1296
0.0,0.9152454599129587,0.13089342419223537,164.2458484805825,L24_S990004,1296,2.0530731060072815,0.017251619002529556,0.01430071031113998,0.016361678024029422,0.0,24,1296-2320
0.0,1.1359739136485936,0.16398312741936105,164.2458484805825,L24_S990004,2320,2.0530731060072815,0.019603887327478024,0.017749592400759275,0.02049789092742013,0.0,24,2320-3344
0.0,1.239726582450861,0.17686973608928636,164.2458484805825,L24_S990004,3344,2.0530731060072815,0.007954141039870091,0.019370727850794703,0.022108717011160794,1.201469898555282,24,3344-4368
0.0,1.2654950651482246,0.1836686673875948,164.2458484805825,L24_S990004,4368,2.0530731060072815,,0.01977336039294101,0.02295858342344935,6.185861054284677,24,
0.0,2.338641235886715,0.3895147267528526,164.37331078332372,L24_S990005,272,2.0546663847915463,0.03936081819671296,0.03654126931072992,0.048689340844106574,19.684526137055233,24,272-1296
0.0,0.7989451737001588,0.11633979686096407,164.37331078332372,L24_S990005,1296,2.0546663847915463,0.013394055390009658,0.012483518339064982,0.01454247460762051,0.0,24,1296-2320
0.0,0.7643793004993773,0.10821535626802226,164.37331078332372,L24_S990005,2320,2.0546663847915463,0.01541065008748118,0.01194342657030277,0.013526919533502782,0.0,24,2320-3344
0.0,0.9811652501335895,0.13992642825945667,164.37331078332372,L24_S990005,3344,2.0546663847915463,0.018802331964064348,0.015330707033337335,0.017490803532432084,0.0,24,3344-4368
0.0,1.1541452398930236,0.16544815238029764,164.37331078332372,L24_S990005,4368,2.0546663847915463,,0.018033519373328494,0.020681019047537205,0.0,24,
0.0,2.5424024335039306,0.4128867064960524,165.52669558231926,L24_S990006,272,2.069083694778991,0.04589318634170659,0.039725038023498915,0.05161083831200655,24.57482557661501,24,272-1296
0.0,0.9794891897942893,0.14077425614532513,165.52669558231926,L24_S990006,1296,2.069083694778991,0.019345546909648237,0.015304518590535771,0.01759678201816564,0.0,24,1296-2320
0.0,1.2601488096486646,0.18150283570490133,165.52669558231926,L24_S990006,2320,2.069083694778991,0.015800561492542012,0.019689825150760384,0.022687854463112667,0.0,24,2320-3344
0.0,1.310199801406087,0.1899354562768817,165.52669558231926,L24_S990006,3344,2.069083694778991,0.004848728276781733,0.02047187189697011,0.02374193203461021,3.4947106645529953,24,3344-4368
0.0,1.364993596446259,0.2029719409227011,165.52669558231926,L24_S990006,4368,2.069083694778991,,0.021328024944472796,0.025371492615337637,8.213640037548643,24,
0.0,2.480852603343626,0.4141274699098856,161.78420696355897,L24_S990007,272,2.022302587044487,0.04116024089853227,0.03876332192724415,0.0517659337387357,20.450271603450922,24,272-1296
0.0,0.8973912372847007,0.12974721305718828,161.78420696355897,L24_S990007,1296,2.022302587044487,0.016347414793742673,0.014021738082573449,0.016218401632148535,0.0,24,1296-2320
0.0,1.0246339243355516,0.14662455925531148,161.78420696355897,L24_S990007,2320,2.022302587044487,0.020042862442752093,0.016009905067742993,0.018328069906913935,0.0,24,2320-3344
0.0,1.2492235561072365,0.17853879125934613,161.78420696355897,L24_S990007,3344,2.022302587044487,0.015376385068959691,0.01951911806417557,0.022317348907418266,0.0,24,3344-4368
0.0,1.269443240890198,0.18331906782236596,161.78420696355897,L24_S990007,4368,2.022302587044487,,0.019835050638909345,0.022914883477795744,3.226115893752832,24,
0.0,2.471325361982502,0.4140442068529988,164.20597186225112,L24_S990008,272,2.052574648278139,0.0434063030495923,0.03861445878097659,0.05175552585662485,22.711490800323467,24,272-1296
0.0,0.9562174631932908,0.13735707768276173,164.20597186225112,L24_S990008,1296,2.052574648278139,0.018705342253349945,0.014940897862395169,0.017169634710345216,0.0,24,1296-2320
0.0,1.1944142726063376,0.17274274540236767,164.20597186225112,L24_S990008,2320,2.052574648278139,0.020711393006806925,0.018662723009474025,0.02159284317529596,0.0,24,2320-3344
0.0,1.3803282648779769,0.19873022681613273,164.20597186225112,L24_S990008,3344,2.052574648278139,0.0061736626956817725,0.02156762913871839,0.02484127835201659,0.5388377466079206,24,3344-4368
0.0,1.3183151793029761,0.1942951390769706,164.20597186225112,L24_S990008,4368,2.052574648278139,,0.020598674676609002,0.024286892384621325,6.965006169428598,24,
0.0,3.148738495984716,0.5230150124063375,299.1842252564305,L32_S990100,272,3.7398028157053815,0.060694306999672674,0.049199038999761184,0.06537687655079219,34.550544939252255,32,272-1296
0.0,1.0317236150743703,0.14987792879493067,299.1842252564305,L32_S990100,1296,3.7398028157053815,0.015320688451733677,0.016120681485537035,0.018734741099366334,0.0,32,1296-2320
0.0,0.7856540744776604,0.11159457424408703,299.1842252564305,L32_S990100,2320,3.7398028157053815,0.013277505124804592,0.012275844913713444,0.013949321780510879,0.0,32,2320-3344
0.0,0.7774393602581776,0.10902746351028714,299.1842252564305,L32_S990100,3344,3.7398028157053815,0.013816295422778041,0.012147490004034025,0.013628432938785892,0.0,32,3344-4368
1.408317906737011e-12,0.8322596023097665,0.11601010810511325,299.1842252564305,L32_S990100,4368,3.7398028157053815,,0.013004056286068096,0.014501263512963117,0.0,32,
0.0,3.103718800315604,0.5102772100561521,291.58176325121104,L32_S990101,272,3.644772040640138,0.06137235655802191,0.048495606254931316,0.06378465125701901,35.357010562650245,32,272-1296
1.924349568582784e-12,1.0324121057222038,0.1500305899200467,291.58176325121104,L32_S990101,1296,3.644772040640138,0.01582765177727935,0.016131439151879368,0.018753823739765293,0.0,32,1296-2320
1.747824107667384e-12,0.8495437612948349,0.12016364026060233,291.58176325121104,L32_S990101,2320,3.644772040640138,0.014987012228888943,0.013274121270204485,0.015020455032356814,0.0,32,2320-3344
1.499800283966124e-12,0.893396832732465,0.12503588198075277,291.58176325121104,L32_S990101,3344,3.644772040640138,0.01703497963334348,0.01395932551142133,0.01562948524740662,0.0,32,3344-4368
1.407207683712386e-12,1.1387516911808147,0.1622162125244322,291.58176325121104,L32_S990101,4368,3.644772040640138,,0.017792995174678243,0.020277026565378123,0.0,32,
0.0,2.8660596194857577,0.46769115832213026,291.75264445429724,L32_S990102,272,3.6469080556787157,0.05537231576283749,0.044782181554464964,0.05846139479026628,30.69361517761884,32,272-1296
0.0,0.9799141135150394,0.14191900336413477,291.75264445429724,L32_S990102,1296,3.6469080556787157,0.014396897690416695,0.015311158023672491,0.017739875420516846,0.0,32,1296-2320
0.0,0.7168981835766645,0.10201903262104317,291.75264445429724,L32_S990102,2320,3.6469080556787157,0.011827433582451946,0.011201534118385382,0.012752379077630396,0.0,32,2320-3344
0.0,0.6666172297764492,0.09370071546653636,291.75264445429724,L32_S990102,3344,3.6469080556787157,0.011489065289848402,0.010415894215257019,0.011712589433317044,0.0,32,3344-4368
0.0,0.6866490912482438,0.09584927417295552,291.75264445429724,L32_S990102,4368,3.6469080556787157,,0.01072889205075381,0.01198115927161944,0.0,32,
0.0,3.070912117240535,0.5115864379245936,296.32508273609125,L32_S990103,272,3.7040635342011408,0.05904194773471491,0.04798300183188336,0.0639483047405742,33.03805681369068,32,272-1296
0.0,1.0357688614476794,0.15071403316943288,296.32508273609125,L32_S990103,1296,3.7040635342011408,0.015246868245797018,0.01618388846011999,0.01883925414617911,0.0,32,1296-2320
0.0,0.7614431488990838,0.1085632164601743,296.32508273609125,L32_S990103,2320,3.7040635342011408,0.01274454647923294,0.011897549201548185,0.013570402057521788,0.0,32,2320-3344
0.0,0.7230820820436289,0.10154883921770097,296.32508273609125,L32_S990103,3344,3.7040635342011408,0.012875253401923525,0.011298157531931701,0.012693604902212621,0.0,32,3344-4368
0.0,0.7766856718997482,0.10852714259263363,296.32508273609125,L32_S990103,4368,3.7040635342011408,,0.012135713623433566,0.013565892824079204,0.0,32,
0.0,3.3575966236977,0.5729819410798578,298.4938045591001,L32_S990104,272,3.7311725569887515,0.06262448096094794,0.052462447245276565,0.07162274263498222,35.05716411656407,32,272-1296
0.0,1.064139765893413,0.1567852338472252,298.4938045591001,L32_S990104,1296,3.7311725569887515,0.016065071712596052,0.01662718384208458,0.01959815423090315,0.0,32,1296-2320
5.773159728050814e-13,0.8239411726220881,0.1183477244574469,298.4938045591001,L32_S990104,2320,3.7311725569887515,0.014399732935061652,0.012874080822211106,0.014793465557108698,0.0,32,2320-3344
1.2864154186331689e-12,0.8496792536347467,0.12028330758214145,298.4938045591001,L32_S990104,3344,3.7311725569887515,0.015275571960608206,0.013276238338022817,0.01503541344760688,0.0,32,3344-4368
1.457389764425443e-12,0.932608978664395,0.13288915040080962,298.4938045591001,L32_S990104,4368,3.7311725569887515,,0.0145720152916084,0.01661114379991903,0.0,32,
0.0,3.1272444133359114,0.5145156905516861,297.4880314386322,L32_S990105,272,3.7186003929829026,0.0615684347463236,0.048863193958373616,0.06431446131896076,35.735665091751436,32,272-1296
1.319166997859611e-12,1.0163752473614283,0.14766298758612506,297.4880314386322,L32_S990105,1296,3.7186003929829026,0.014994834791425937,0.015880863240001705,0.018457873448100737,0.0,32,1296-2320
0.0,0.7617433194379757,0.10824475443976755,297.4880314386322,L32_S990105,2320,3.7186003929829026,0.012817561984515169,0.01190223936621837,0.013530594304970944,0.0,32,2320-3344
0.0,0.7433692440159467,0.10416326058158232,297.4880314386322,L32_S990105,3344,3.7186003929829026,0.013180981287976304,0.011615144437749168,0.01302040757269779,0.0,32,3344-4368
1.369349078572668e-12,0.7928536784688296,0.11052074825979008,297.4880314386322,L32_S990105,4368,3.7186003929829026,,0.012388338726054066,0.013815093532302591,0.0,32,
0.0,2.923880907677724,0.4899874306776899,297.1541078909197,L32_S990106,272,3.714426348636496,0.055630449311733915,0.04568563918246444,0.06124842883471124,30.41672020535192,32,272-1296
0.0,1.0075231789989711,0.14611751671026074,297.1541078909197,L32_S990106,1296,3.714426348636496,0.014771419447196399,0.015742549671858924,0.018264689588782593,0.0,32,1296-2320
0.0,0.7307251122917671,0.10407489424362149,297.1541078909197,L32_S990106,2320,3.714426348636496,0.0120403850489946,0.01141757987955886,0.013009361780452686,0.0,32,2320-3344
0.0,0.6767410805349288,0.09517890055547051,297.1541078909197,L32_S990106,3344,3.714426348636496,0.011673600617959856,0.010574079383358262,0.011897362569433814,0.0,32,3344-4368
0.0,0.7016633499762034,0.09803195293436329,297.1541078909197,L32_S990106,4368,3.714426348636496,,0.010963489843378178,0.01225399411679541,0.0,32,
0.0,3.0441246422702637,0.5051540076172112,297.2753797726278,L32_S990107,272,3.715942247157847,0.056658702528309984,0.04756444753547287,0.0631442509521514,31.10485773535345,32,272-1296
0.0,1.0016488838100732,0.14597141871969432,297.2753797726278,L32_S990107,1296,3.715942247157847,0.014732960676705646,0.015650763809532394,0.01824642733996179,0.0,32,1296-2320
0.0,0.7266153709001711,0.10403026161777007,297.2753797726278,L32_S990107,2320,3.715942247157847,0.01202667870862853,0.011353365170315174,0.013003782702221259,0.0,32,2320-3344
0.0,0.674928588585604,0.09529604126058744,297.2753797726278,L32_S990107,3344,3.715942247157847,0.011668017457866886,0.010545759196650063,0.01191200515757343,0.0,32,3344-4368
0.0,0.6958068595360352,0.09738775121329657,297.2753797726278,L32_S990107,4368,3.715942247157847,,0.01087198218025055,0.012173468901662071,0.0,32,
0.0,3.115517602913572,0.5133005099849698,299.1297562737477,L32_S990108,272,3.7391219534218463,0.061909319531730886,0.04867996254552456,0.06416256374812122,35.7289496780397,32,272-1296
0.0,1.0400414257116746,0.15135724097025316,299.1297562737477,L32_S990108,1296,3.7391219534218463,0.01541891445716162,0.016250647276744915,0.018919655121281645,0.0,32,1296-2320
1.5193402091995267e-12,0.7837821101429351,0.11159484496025596,299.1297562737477,L32_S990108,2320,3.7391219534218463,0.013205537374537793,0.012246595470959621,0.013949355619842077,0.0,32,2320-3344
5.833111771380572e-13,0.7701095110543081,0.10788796340124285,299.1297562737477,L32_S990108,3344,3.7391219534218463,0.013686374500437776,0.01203296111021445,0.013485995425082442,0.0,32,3344-4368
1.4169776463290873e-12,0.8250470115671902,0.11527957301210523,299.1297562737477,L32_S990108,4368,3.7391219534218463,,0.012891359555715206,0.014409946626336032,0.0,32,
