law_index,condition,seed,n_meas,mean_P,mean_M,min_M,probe_count,eligible_seed,n_tracks,max_track_obs,long_tracks,mean_production,mean_activity,mean_entities
2,CLOSED,10003,75,0.9944529016865975,0.9924549008462488,0.4341175634687242,0,False,7,28,1,0.008085727051423635,0.006792883035697162,1.1290322580645162
2,OPEN,10001,2,0.7390171806640506,0.1452831106790467,0.1346149898267442,0,False,5,2,0,0.031254699366478796,0.006590149397266616,0.22580645161290322
2,OPEN,10002,2,0.7632736075806339,0.13168653488116594,0.11910777415542315,0,False,4,2,0,0.03080868416818373,0.0067024663934978105,0.1935483870967742
2,OPEN,10003,2,0.7278384522407282,0.14364732012701592,0.13520158739113558,0,False,5,2,0,0.03147832137076102,0.0066364852751659275,0.22580645161290322
3,CLOSED,10001,75,0.9957997056188745,0.9932366247242957,0.4927470877859078,0,False,7,28,1,0.005166034339235374,0.004710775748183076,1.1290322580645162
3,CLOSED,10002,75,0.9935935933996926,0.9907895501498301,0.30922408571214427,0,False,7,28,1,0.007183565479864182,0.006583090412429882,1.1290322580645162
3,CLOSED,10003,75,0.9949803439290665,0.9926689567298514,0.4533508852773273,0,False,8,28,1,0.008126425655529025,0.007486875598833427,1.1612903225806452
3,OPEN,10001,0,,,1.0,0,False,4,1,0,0.03533043120205505,0.003912559554587883,0.12903225806451613
3,OPEN,10002,0,,,1.0,0,False,3,1,0,0.035575739943841715,0.004811678186140648,0.0967741935483871
3,OPEN,10003,0,,,1.0,0,False,4,1,0,0.03635410551084376,0.003920662916896996,0.12903225806451613
4,CLOSED,10001,75,0.9956798977199505,0.9932421046616713,0.4931578497986999,0,False,7,28,1,0.005391593667450593,0.004859725882429694,1.1290322580645162
4,CLOSED,10002,75,0.993537342720197,0.9909472451755259,0.32104359916026287,0,False,7,28,1,0.005264928053701859,0.004721888665929568,1.1290322580645162
4,CLOSED,10003,75,0.9948967468254906,0.9927063754059026,0.454571467130334,0,False,7,28,1,0.005471490049511694,0.0049373624817571566,1.1290322580645162
4,OPEN,10001,80,0.8778012893561448,0.522020640449588,0.008166079027510369,22,False,97,6,0,0.02014848501164362,0.001926044610052859,5.419354838709677
4,OPEN,10002,80,0.864369799310721,0.5050263168104456,0.002676615267413663,25,False,109,5,0,0.020088007787390175,0.0019332617187460793,5.806451612903226
4,OPEN,10003,99,0.8684236270317525,0.4679876431397792,0.0017526571531039253,38,True,100,8,1,0.020231899237936578,0.0019432445831670782,5.709677419354839
5,CLOSED,10001,75,0.9955571114565559,0.9932116703524664,0.4908752764362369,0,False,7,28,1,0.005649371250043063,0.004967563367110753,1.1290322580645162
5,CLOSED,10002,75,0.9933350689910856,0.99104860153188,0.32864511563513576,0,False,6,28,1,0.003711224613251593,0.0030983915315126696,1.096774193548387
5,CLOSED,10003,75,0.9950474980875186,0.9927146472182988,0.45399011373808884,0,False,7,28,1,0.005705582680300727,0.004998859358262424,1.1290322580645162
5,OPEN,10001,71,0.923445723674277,0.5173643794335998,2.1637175791728546e-09,26,True,13,17,1,0.03624015249979473,0.003278897908183186,1.6129032258064515
5,OPEN,10002,96,0.9164315541852498,0.4359479640611168,3.003484212905843e-11,41,True,8,23,2,0.03639738551939518,0.0032322180224839264,1.6129032258064515
5,OPEN,10003,81,0.8913341333410363,0.401805317967784,6.480180447245632e-11,32,True,7,30,1,0.03562509951901839,0.003364571147618058,1.1935483870967742
6,CLOSED,10001,75,0.9951922709649015,0.9930933706465259,0.4820027984895284,0,False,6,28,1,0.004485299805562089,0.0036699162696856263,1.096774193548387
6,CLOSED,10002,80,0.9750029987692447,0.9674187451211557,0.2801399385311051,0,False,5,30,1,0.0036783986688838292,0.0029719566119031896,1.096774193548387
6,CLOSED,10003,75,0.9947978099517072,0.9926832664568811,0.4512652204685225,0,False,7,28,1,0.006033104636634738,0.005178166080275969,1.1290322580645162
6,OPEN,10001,0,,,1.0,0,False,4,1,0,0.03533043120205505,0.007893290303598522,0.12903225806451613
6,OPEN,10002,1,0.8272509832513779,0.020985741369112614,0.020985741369112614,1,False,7,2,0,0.03312297791697144,0.003948706214388459,0.25806451612903225
6,OPEN,10003,1,0.8241482873278982,0.07059166676705461,0.07059166676705461,1,False,4,2,0,0.03540927912034175,0.006482146817232502,0.16129032258064516
7,CLOSED,10001,75,0.9953370163114582,0.9931289413891267,0.4846706041845605,0,False,6,28,1,0.00449147867665254,0.0035964156259798014,1.096774193548387
7,CLOSED,10002,80,0.9757208335675479,0.9688101726800002,0.29409967841973667,0,False,5,30,1,0.0036958124792657782,0.002967054275746131,1.096774193548387
7,CLOSED,10003,75,0.994674617901264,0.99261053518811,0.44579038512442365,0,False,7,28,1,0.006602734499084458,0.005617384464214667,1.1290322580645162
7,OPEN,10001,29,0.8872468772638623,0.5531335951639897,2.2473501303993677e-10,4,True,20,9,1,0.04295915564661781,0.004471754576456893,1.2258064516129032
7,OPEN,10002,34,0.8653196216042103,0.46423227270374745,2.7025600684652773e-10,8,True,18,9,1,0.043808959432480435,0.004530486779182482,1.2903225806451613
7,OPEN,10003,32,0.7850935973547768,0.41132199681712767,1.5881392832011658e-09,4,True,20,13,1,0.042244114166393364,0.004430040336075761,1.1290322580645162
8,CLOSED,10001,74,0.9991789227052679,0.999999999999999,0.9999999999999971,0,False,7,28,1,0.004543318836681155,0.003446006176433503,1.096774193548387
8,CLOSED,10002,75,0.992875549268375,0.9912157147232182,0.34117860424142765,0,False,6,28,1,0.0038923265505815302,0.002886258594909716,1.096774193548387
8,CLOSED,10003,75,0.9935696711291193,0.9922735997416164,0.4205199806213063,0,False,7,28,1,0.00773012417712954,0.006471189765440947,1.1290322580645162
8,OPEN,10001,0,,,1.0,0,False,4,1,0,0.03533043120205505,0.01166979647502913,0.12903225806451613
8,OPEN,10002,0,,,1.0,0,False,3,1,0,0.035575739943841715,0.012263299770715422,0.0967741935483871
8,OPEN,10003,0,,,1.0,0,False,4,1,0,0.03635410551084376,0.011645039881019538,0.12903225806451613
9,CLOSED,10001,74,0.9991438048211737,0.9999999999999989,0.9999999999999967,0,False,7,28,1,0.00451446924351686,0.003312595903530317,1.096774193548387
9,CLOSED,10002,75,0.9950668366820308,0.9938249329604459,0.5368699720335104,0,False,5,28,1,0.003630996746934224,0.002529144986258138,1.064516129032258
9,CLOSED,10003,75,0.9937006828016137,0.9923274530534598,0.42455897900954637,0,False,7,28,1,0.00786156514464214,0.0065146082792443384,1.1290322580645162
9,OPEN,10001,0,,,1.0,0,False,4,1,0,0.03533043120205505,0.007801329174054626,0.12903225806451613
9,OPEN,10002,0,,,1.0,0,False,3,1,0,0.035575739943841715,0.0101020670874551,0.0967741935483871
9,OPEN,10003,0,,,1.0,0,False,4,1,0,0.03635410551084376,0.007544422595299109,0.12903225806451613
10,CLOSED,10001,74,0.9991446636657678,0.9999993001663323,0.9999827374362149,0,False,9,28,1,0.005120164251125754,0.004866711932246864,1.1612903225806452
10,CLOSED,10002,77,0.990501147139851,0.9891125770733366,0.7206003720492505,0,False,9,29,1,0.008702774418688773,0.008187652037831977,1.1935483870967742
