track_id,start_step,end_step,start_time,end_time,tau,phenotype_continuity,material_retention,start_count,end_count,interval_has_ambiguity,interval_has_split_or_merge,unresolved_sparse_alias_risk,law_index,seed,snapshot_cadence
2,180,190,3.6,3.8000000000000003,0.20000000000000018,0.9551376517256615,1.0,15,15,False,False,False,0,101,10
2,190,200,3.8000000000000003,4.0,0.19999999999999973,0.9554368483592135,1.0,15,15,False,False,False,0,101,10
2,200,210,4.0,4.2,0.20000000000000018,0.9777300582153484,1.0,15,15,False,False,False,0,101,10
2,210,220,4.2,4.4,0.20000000000000018,0.9616007124612213,1.0,15,15,False,False,False,0,101,10
2,220,230,4.4,4.6000000000000005,0.20000000000000018,0.982167679575877,1.0,15,15,False,False,False,0,101,10
2,230,240,4.6000000000000005,4.8,0.1999999999999993,0.979841176427816,1.0,15,15,False,False,False,0,101,10
2,240,250,4.8,5.0,0.20000000000000018,0.9802292605459637,1.0,15,15,False,False,False,0,101,10
2,250,260,5.0,5.2,0.20000000000000018,0.9801796628558811,1.0,15,15,False,False,False,0,101,10
2,260,270,5.2,5.4,0.20000000000000018,0.9857049787052824,1.0,15,15,False,False,False,0,101,10
2,270,280,5.4,5.6000000000000005,0.20000000000000018,0.9866715146769955,1.0,15,15,False,False,False,0,101,10
2,280,290,5.6000000000000005,5.8,0.1999999999999993,0.9905911251097971,1.0,15,15,False,False,False,0,101,10
2,290,300,5.8,6.0,0.20000000000000018,0.9834715398134837,1.0,15,15,False,False,False,0,101,10
2,300,310,6.0,6.2,0.20000000000000018,0.9850386923468227,1.0,15,15,False,False,False,0,101,10
2,310,320,6.2,6.4,0.20000000000000018,0.9906834603037731,1.0,15,15,False,False,False,0,101,10
2,320,330,6.4,6.6000000000000005,0.20000000000000018,0.9931874476603241,1.0,15,15,False,False,False,0,101,10
2,330,340,6.6000000000000005,6.8,0.1999999999999993,0.9888907012665533,1.0,15,15,False,False,False,0,101,10
2,340,350,6.8,7.0,0.20000000000000018,0.9833259576686977,1.0,15,15,False,False,False,0,101,10
2,350,360,7.0,7.2,0.20000000000000018,0.991476201288845,1.0,15,15,False,False,False,0,101,10
2,360,370,7.2,7.4,0.20000000000000018,0.976326922243541,1.0,15,15,False,False,False,0,101,10
2,370,380,7.4,7.6000000000000005,0.20000000000000018,0.9652909964094114,1.0,15,15,False,False,False,0,101,10
2,380,390,7.6000000000000005,7.8,0.1999999999999993,0.6495404452609074,0.5,15,30,False,True,False,0,101,10
2,390,400,7.8,8.0,0.20000000000000018,0.8229415275368868,1.0,30,30,False,False,False,0,101,10
2,400,410,8.0,8.2,0.1999999999999993,0.8109730599957868,0.9333333333333333,30,28,False,False,False,0,101,10
2,410,420,8.2,8.4,0.20000000000000107,0.9123663600749611,1.0,28,28,False,False,False,0,101,10
2,420,430,8.4,8.6,0.1999999999999993,0.9095506103019785,1.0,28,28,False,False,False,0,101,10
2,430,440,8.6,8.8,0.20000000000000107,0.944974527094088,1.0,28,28,False,False,False,0,101,10
2,440,450,8.8,9.0,0.1999999999999993,0.9534338534987292,1.0,28,28,False,False,False,0,101,10
2,450,460,9.0,9.200000000000001,0.20000000000000107,0.913752294967241,1.0,28,28,False,False,False,0,101,10
2,460,470,9.200000000000001,9.4,0.1999999999999993,0.9134733376883848,1.0,28,28,False,False,False,0,101,10
2,470,480,9.4,9.6,0.1999999999999993,0.9043670028493634,1.0,28,28,False,False,False,0,101,10
