world,point,seed,split,stop,kY,muY,steps,first_birth,n_births,extinct,first_S,first_P,n_S_episodes,max_S_duration,integrity_ok,median_separation_during_S,dur_ok_T_50,noP_ok_T_50,resp_ok_T_50,event_step_T_50,weak_centre_X_ratio_T_50,P_before_event_T_50,newer_centre_is_weaker_T_50,joint_timing_T_50,PRIMARY_SUCCESS_T_50,dur_ok_T_primary,noP_ok_T_primary,resp_ok_T_primary,event_step_T_primary,weak_centre_X_ratio_T_primary,P_before_event_T_primary,newer_centre_is_weaker_T_primary,joint_timing_T_primary,PRIMARY_SUCCESS_T_primary,dur_ok_T_80,noP_ok_T_80,resp_ok_T_80,event_step_T_80,weak_centre_X_ratio_T_80,P_before_event_T_80,newer_centre_is_weaker_T_80,joint_timing_T_80,PRIMARY_SUCCESS_T_80,dur_ok_T_90,noP_ok_T_90,resp_ok_T_90,event_step_T_90,weak_centre_X_ratio_T_90,P_before_event_T_90,newer_centre_is_weaker_T_90,joint_timing_T_90,PRIMARY_SUCCESS_T_90,PRIMARY_SUCCESS
F_B1_i118_s980667389,B1,980667389,FDFLT01_PRIMARY,HORIZON,2.5118864315095822e-05,9.261187281287937e-05,11000,-1,0,False,-1,-1,0,0,True,,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False
F_B1_i119_s946643083,B1,946643083,FDFLT01_PRIMARY,EXTINCT,2.5118864315095822e-05,9.261187281287937e-05,523,-1,0,True,-1,-1,0,0,True,,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False
F_B1_i120_s983668069,B1,983668069,FDFLT01_PRIMARY,PREMATURE_THIRD_CENTRE,2.5118864315095822e-05,9.261187281287937e-05,6982,495,2,False,861,6981,21,3619,True,12.529964086141668,True,True,True,1582,0.9642857142857143,False,,True,True,True,True,True,1659,0.75,False,,True,True,True,True,True,1811,0.8571428571428571,False,,True,True,True,True,False,1984,0.5,False,,True,False,True
F_B1_i121_s984592227,B1,984592227,FDFLT01_PRIMARY,EXTINCT,2.5118864315095822e-05,9.261187281287937e-05,5729,-1,0,True,-1,-1,0,0,True,,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False
F_B1_i122_s957743415,B1,957743415,FDFLT01_PRIMARY,EXTINCT,2.5118864315095822e-05,9.261187281287937e-05,10921,4468,1,True,4568,-1,12,819,True,9.486832980505138,True,True,True,4975,0.7808219178082192,False,,True,True,True,True,True,5052,0.44329896907216493,False,,True,True,True,True,False,5204,0.7386363636363636,False,,True,False,True,True,True,5377,0.6046511627906976,False,,True,True,True
F_B1_i123_s987081005,B1,987081005,FDFLT01_PRIMARY,EXTINCT,2.5118864315095822e-05,9.261187281287937e-05,2285,-1,0,True,-1,-1,0,0,True,,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False
F_B1_i124_s970193442,B1,970193442,FDFLT01_PRIMARY,EXTINCT,2.5118864315095822e-05,9.261187281287937e-05,4038,-1,0,True,-1,-1,0,0,True,,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False
F_B1_i125_s985464460,B1,985464460,FDFLT01_PRIMARY,EXTINCT,2.5118864315095822e-05,9.261187281287937e-05,4639,-1,0,True,-1,-1,0,0,True,,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False
F_B1_i126_s956889719,B1,956889719,FDFLT01_PRIMARY,EXTINCT,2.5118864315095822e-05,9.261187281287937e-05,3279,-1,0,True,-1,-1,0,0,True,,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False
F_B1_i127_s964769585,B1,964769585,FDFLT01_PRIMARY,HORIZON,2.5118864315095822e-05,9.261187281287937e-05,11000,-1,0,False,-1,-1,0,0,True,,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False
F_B1_i128_s959267151,B1,959267151,FDFLT01_PRIMARY,EXTINCT,2.5118864315095822e-05,9.261187281287937e-05,2747,-1,0,True,-1,-1,0,0,True,,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False
F_B1_i129_s961015691,B1,961015691,FDFLT01_PRIMARY,PREMATURE_THIRD_CENTRE,2.5118864315095822e-05,9.261187281287937e-05,3649,3184,2,False,3318,3648,5,38,True,8.06225774829855,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False
F_B1_i130_s980749456,B1,980749456,FDFLT01_PRIMARY,EXTINCT,2.5118864315095822e-05,9.261187281287937e-05,3438,-1,0,True,-1,-1,0,0,True,,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False
F_B1_i131_s947161548,B1,947161548,FDFLT01_PRIMARY,EXTINCT,2.5118864315095822e-05,9.261187281287937e-05,1314,-1,0,True,-1,-1,0,0,True,,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False
F_B1_i132_s940786867,B1,940786867,FDFLT01_PRIMARY,EXTINCT,2.5118864315095822e-05,9.261187281287937e-05,4569,-1,0,True,-1,-1,0,0,True,,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False
F_B1_i133_s982163306,B1,982163306,FDFLT01_PRIMARY,HORIZON,2.5118864315095822e-05,9.261187281287937e-05,11000,5770,1,False,5830,-1,25,3362,True,12.529964086141668,True,True,True,6505,0.6403508771929824,False,,True,True,True,True,True,6797,0.8205128205128205,False,,True,True,True,True,True,8039,0.8461538461538461,False,,True,True,True,True,False,8212,0.6,False,,True,False,True
F_B1_i134_s944772756,B1,944772756,FDFLT01_PRIMARY,EXTINCT,2.5118864315095822e-05,9.261187281287937e-05,8781,514,1,True,583,-1,11,4233,True,12.041594578792296,True,True,True,1324,0.9438202247191011,False,,True,True,True,True,True,1401,0.6666666666666666,False,,True,True,True,True,True,1553,0.9102564102564102,False,,True,True,True,True,True,1726,0.8378378378378378,False,,True,True,True
F_B1_i135_s981086880,B1,981086880,FDFLT01_PRIMARY,EXTINCT,2.5118864315095822e-05,9.261187281287937e-05,10874,-1,0,True,-1,-1,0,0,True,,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False
F_B1_i136_s943213648,B1,943213648,FDFLT01_PRIMARY,PREMATURE_THIRD_CENTRE,2.5118864315095822e-05,9.261187281287937e-05,4522,2373,2,False,2460,4521,1,2061,True,12.36931687685298,True,True,True,2632,0.7346938775510204,False,,True,True,True,True,True,2709,0.788235294117647,False,,True,True,True,True,False,2861,0.5,False,,True,False,True,True,False,3034,0.7628865979381443,False,,True,False,True
F_B1_i137_s953150653,B1,953150653,FDFLT01_PRIMARY,EXTINCT,2.5118864315095822e-05,9.261187281287937e-05,430,-1,0,True,-1,-1,0,0,True,,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False
F_B1_i138_s962292659,B1,962292659,FDFLT01_PRIMARY,EXTINCT,2.5118864315095822e-05,9.261187281287937e-05,3581,-1,0,True,-1,-1,0,0,True,,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False
F_B1_i139_s958882361,B1,958882361,FDFLT01_PRIMARY,EXTINCT,2.5118864315095822e-05,9.261187281287937e-05,9055,-1,0,True,-1,-1,0,0,True,,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False
F_B1_i140_s956553446,B1,956553446,FDFLT01_PRIMARY,HORIZON,2.5118864315095822e-05,9.261187281287937e-05,11000,-1,0,False,-1,-1,0,0,True,,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False
F_B1_i141_s961761185,B1,961761185,FDFLT01_PRIMARY,HORIZON,2.5118864315095822e-05,9.261187281287937e-05,11000,5581,1,False,5757,-1,5,632,True,7.211102550927978,True,True,True,5980,0.6831683168316832,False,,True,True,True,True,True,6057,0.9354838709677419,False,,True,True,True,True,False,6209,0.7901234567901234,False,,True,False,True,True,False,6382,0.8837209302325582,False,,True,False,True
F_B1_i142_s981609162,B1,981609162,FDFLT01_PRIMARY,HORIZON,2.5118864315095822e-05,9.261187281287937e-05,11000,7276,1,False,7344,-1,2,3598,True,18.439088914585774,True,True,False,7574,0.05063291139240506,False,,True,False,True,True,False,7651,0.011904761904761904,False,,True,False,True,True,False,7803,0.0,False,,True,False,True,True,False,7976,0.0,False,,True,False,False
F_B1_i143_s960291558,B1,960291558,FDFLT01_PRIMARY,EXTINCT,2.5118864315095822e-05,9.261187281287937e-05,1577,-1,0,True,-1,-1,0,0,True,,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False
F_B1_i144_s960237375,B1,960237375,FDFLT01_PRIMARY,EXTINCT,2.5118864315095822e-05,9.261187281287937e-05,7461,-1,0,True,-1,-1,0,0,True,,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False
F_B1_i145_s957588753,B1,957588753,FDFLT01_PRIMARY,EXTINCT,2.5118864315095822e-05,9.261187281287937e-05,1206,-1,0,True,-1,-1,0,0,True,,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False
F_B1_i146_s983490100,B1,983490100,FDFLT01_PRIMARY,EXTINCT,2.5118864315095822e-05,9.261187281287937e-05,7740,-1,0,True,-1,-1,0,0,True,,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False
F_B1_i147_s977952106,B1,977952106,FDFLT01_PRIMARY,HORIZON,2.5118864315095822e-05,9.261187281287937e-05,11000,-1,0,False,-1,-1,0,0,True,,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False
F_B1_i148_s953097369,B1,953097369,FDFLT01_PRIMARY,EXTINCT,2.5118864315095822e-05,9.261187281287937e-05,10163,-1,0,True,-1,-1,0,0,True,,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False
