GLOBAL_R2_PASS,GLOBAL_criterion_D,GLOBAL_criterion_E_post_intervention_births_in_daughter,GLOBAL_daughter_exists,GLOBAL_daughter_mass_post,GLOBAL_final_NX,GLOBAL_final_NY,GLOBAL_integrity_ok_post,GLOBAL_removed,GLOBAL_survivor_upper_95,GLOBAL_third_centre_in_window,NX_world_at_intervention,R1_EXACT,SELECTIVE_R2_PASS,SELECTIVE_criterion_D,SELECTIVE_criterion_E_post_intervention_births_in_daughter,SELECTIVE_daughter_exists,SELECTIVE_daughter_mass_post,SELECTIVE_final_NX,SELECTIVE_final_NY,SELECTIVE_integrity_ok_post,SELECTIVE_removed,SELECTIVE_survivor_upper_95,SELECTIVE_third_centre_in_window,SHAM_R2_PASS,SHAM_criterion_D,SHAM_criterion_E_post_intervention_births_in_daughter,SHAM_daughter_exists,SHAM_daughter_mass_post,SHAM_final_NX,SHAM_final_NY,SHAM_integrity_ok_post,SHAM_removed,SHAM_survivor_upper_95,SHAM_third_centre_in_window,block,daughter_mass_tm,daughter_total_tm,fork_identity_ok,fraction_new,identity_level,inherited,late_trigger,parent_mass_tm,phase1_stop,post_separation,required,seed,t0_separation,t_m,technical_failure,triggered
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,,,,,,PREMATURE_THIRD_CENTRE,,,947308472,,,False,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,EXTINCT,,,974116832,,,False,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,,,,,,,,,EXTINCT,,,971420315,,,False,False
False,False,0,False,,72,0,True,2,87,False,206,True,False,False,59,True,63.0,159,1,True,1,87,False,False,False,63,True,72.0,248,2,True,0,87,False,67,61.0,61,True,0.9016393442622951,1,6,False,81.0,HORIZON,55,51.201765265113174,953453832,5044,5293,False,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,,,,,,,,,EXTINCT,,,946439997,,,False,False
False,False,0,False,,82,0,True,2,92,False,218,True,False,False,55,True,63.0,134,1,True,1,92,False,True,True,84,True,111.0,197,2,True,0,92,False,69,54.0,54,True,0.7962962962962963,1,11,False,74.0,HORIZON,43,46.77692135331327,975858008,1132,1381,False,True
False,False,0,False,,74,0,True,2,97,False,231,True,False,False,45,True,80.0,153,1,True,1,97,False,False,False,55,True,72.0,221,2,True,0,97,False,70,62.0,62,True,0.8225806451612904,1,11,False,82.0,HORIZON,51,51.83388582394173,968435887,10110,10359,False,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,,,,,,,,,EXTINCT,,,978702797,,,False,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,,,,,,,,,HORIZON,,,988714658,,,False,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,,,,,,,,,HORIZON,,,982208122,,,False,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,,,,,,,,,EXTINCT,,,940162063,,,False,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,EXTINCT,,,950836474,,,False,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,,,,,,,,,EXTINCT,,,969621501,,,False,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,,,,,,,,,EXTINCT,,,957936600,,,False,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,EXTINCT,,,975981071,,,False,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,,,,,,,,,EXTINCT,,,964288393,,,False,False
False,False,0,False,,58,0,True,2,85,False,201,True,True,True,80,True,89.0,166,1,True,1,85,False,False,False,65,True,79.0,237,2,True,0,85,False,80,77.0,77,True,0.7272727272727273,1,21,False,61.0,HORIZON,56,38.559354088542015,982257479,3258,3507,False,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,,,,,,,,,HORIZON,,,965872872,,,False,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,,,,,,,,,EXTINCT,,,957595937,,,False,False
False,False,0,False,,93,0,True,2,99,False,235,True,False,False,46,True,53.0,164,1,True,1,99,False,False,False,60,True,81.0,232,2,True,0,99,False,83,64.0,64,True,0.921875,1,5,False,81.0,HORIZON,59,51.201765265113174,956882268,10459,10708,False,True
False,False,0,False,,72,0,True,2,79,False,186,True,False,False,58,True,73.0,138,1,True,1,79,False,False,False,50,True,57.0,136,1,True,0,79,False,84,69.0,69,True,0.927536231884058,1,5,False,70.0,HORIZON,64,44.248439117999034,955782649,397,646,False,True
