world,seed,split,steps_recorded,stop,E_w_mean_Q_founder,S_w_q10_Q_founder,q25,median,q90,max,frac_zero_Q,mean_cand_Y_founder,mean_field_Q_POSITION,mean_nSY,mean_free,mean_N_X,distinct_source_cells,iat_Q_founder,max_zero_run,max_high_run
A_A0_i027_s941238339,941238339,DISCOVERY,11000,HORIZON,2.8466666666666667,0.0,0.0,0.0,9.0,28.0,0.6461111111111111,0.7892222222222223,0.22706910150891632,2.950937842935528,9.996141975308642,124.30788888888888,378,5.679999008899939,68,22
A_A0_i028_s984076192,984076192,DISCOVERY,11000,HORIZON,2.7702222222222224,0.0,0.0,0.0,9.0,28.0,0.6445555555555555,0.7824444444444445,0.2196946159122085,2.9513923182441704,9.996141975308642,121.43477777777778,251,6.774566033397607,126,16
A_A0_i029_s941800635,941800635,DISCOVERY,11000,HORIZON,2.8227777777777776,0.0,0.0,0.0,9.0,28.0,0.6446666666666667,0.7252222222222222,0.22398371056241426,2.949864969135803,9.996141975308642,123.97933333333333,311,7.106314792597604,53,14
A_A0_i030_s981413209,981413209,DISCOVERY,11000,HORIZON,2.8013333333333335,0.0,0.0,0.0,9.0,28.0,0.6451111111111111,0.7563333333333333,0.2287729766803841,2.9506499485596707,9.996141975308642,125.264,299,6.0059135724437205,104,15
A_A0_i031_s953537674,953537674,DISCOVERY,11000,HORIZON,2.804,0.0,0.0,0.0,9.0,28.0,0.6416666666666667,0.7443333333333333,0.2175601851851852,2.950403806584362,9.996141975308642,121.4948888888889,233,5.616109255339597,59,19
A_A0_i032_s950327065,950327065,VALIDATION,11000,HORIZON,2.8842222222222222,0.0,0.0,0.0,10.0,28.0,0.6357777777777778,0.7427777777777778,0.22711977023319616,2.951015860768176,9.996141975308642,124.22344444444444,311,5.6891610211354156,41,17
A_A0_i033_s958500852,958500852,DISCOVERY,11000,HORIZON,2.640222222222222,0.0,0.0,0.0,9.0,28.0,0.6587777777777778,0.7515555555555555,0.2229275548696845,2.9499240397805213,9.996141975308642,123.88322222222222,316,5.4918193828809665,57,15
A_A0_i034_s943046772,943046772,DISCOVERY,11000,HORIZON,2.6123333333333334,0.0,0.0,0.0,9.0,28.0,0.6587777777777778,0.7817777777777778,0.21111582647462276,2.9539393004115224,9.996141975308642,116.59955555555555,302,5.607403042456503,177,22
A_A0_i035_s966818388,966818388,DISCOVERY,11000,HORIZON,2.541333333333333,0.0,0.0,0.0,9.0,28.0,0.668,0.7537777777777778,0.21967489711934157,2.950091049382716,9.996141975308642,120.71322222222223,324,5.198410897829319,100,17
A_A0_i036_s971380574,971380574,DISCOVERY,11000,HORIZON,2.6417777777777776,0.0,0.0,0.0,9.0,28.0,0.6607777777777778,0.7184444444444444,0.2212794924554184,2.9510432098765436,9.996141975308642,121.10577777777777,331,5.307670229717222,94,11
