world,seed,split,steps_recorded,stop,stop_step,n_Y_births,n_Y_deaths,first_birth_step,max_N_Y,max_n_centres,steps_two_plus_Y,steps_colocated_one_centre,steps_two_centres,separation_first_step,separation_delay_after_first_birth,steps_with_multiple_occupied_Y_cells,n_Y_hops,max_pair_dist,mean_Q_founder,mean_nSY,mean_free,mean_N_X,predicted_P_no_birth,descendant_exposure_rows
B_B1_i040_s958845720,958845720,DISCOVERY,4982,EXTINCT,4981,0,1,-1,1,1,0,0,0,-1,-1,0,546,0.0,2.5586854460093895,2.9501279798130344,9.996141975308644,122.65995975855131,0.6735814374465572,0
B_B1_i041_s967791007,967791007,DISCOVERY,1869,EXTINCT,1868,0,1,-1,1,1,0,0,0,-1,-1,0,202,0.0,0.00749063670411985,3.0021533929149413,9.996141975308642,0.7303370786516854,0.9995981587388063,0
B_B1_i042_s958795488,958795488,DISCOVERY,692,PREMATURE_THIRD_CENTRE,691,2,0,310,3,3,382,299,83,390,80,361,112,9.433981132056603,1.9595375722543353,2.9508926978519945,9.996141975308644,109.1242774566474,0.921254649980462,979
B_B1_i043_s949060103,949060103,VALIDATION,4672,EXTINCT,4671,0,1,-1,1,1,0,0,0,-1,-1,0,467,0.0,2.867889221556886,2.946490121608635,9.996141975308644,130.44348802395209,0.6816671607124029,0
B_B2_i000_s952591689,952591689,DISCOVERY,11000,HORIZON,11000,0,0,-1,1,1,0,0,0,-1,-1,0,1192,0.0,2.778,2.9498497085048014,9.996141975308642,124.11266666666667,0.4683733152534832,0
B_B2_i001_s967852247,967852247,DISCOVERY,11000,HORIZON,11000,0,0,-1,1,1,0,0,0,-1,-1,0,1129,0.0,0.0,3.0000730452674897,9.996141975308642,0.0,0.9919100992193232,0
B_B2_i002_s942552035,942552035,DISCOVERY,11000,HORIZON,11000,0,0,-1,1,1,0,0,0,-1,-1,0,1117,0.0,2.542222222222222,2.954823559670782,9.996141975308642,115.37444444444445,0.5028875677995208,0
B_B2_i003_s973852476,973852476,VALIDATION,11000,HORIZON,11000,0,0,-1,1,1,0,0,0,-1,-1,0,1126,0.0,2.799,2.9512956961591224,9.996141975308642,120.781,0.4687259183985204,0
B_B2_i004_s957719806,957719806,VALIDATION,11000,HORIZON,11000,0,0,-1,1,1,0,0,0,-1,-1,0,1121,0.0,2.6693333333333333,2.9509286694101506,9.996141975308642,121.89866666666667,0.4843515173366803,0
B_B2_i005_s963804288,963804288,DISCOVERY,11000,HORIZON,11000,1,0,4816,2,2,6184,611,5573,4893,77,6183,1837,24.758836806279895,2.625,2.916982853223594,9.996141975308642,200.89522222222223,0.3164676918345741,12367
B_B2_i006_s966438778,966438778,VALIDATION,8081,PREMATURE_THIRD_CENTRE,8080,2,0,7465,3,3,616,376,240,7787,322,600,902,16.0,2.813188620292715,2.9442819011249375,9.996141975308644,134.1419174477882,0.5295740103403414,1527
B_B2_i007_s940565777,940565777,VALIDATION,11000,HORIZON,11000,0,0,-1,1,1,0,0,0,-1,-1,0,1132,0.0,2.6254444444444442,2.9542478566529495,9.996141975308642,115.35866666666666,0.4884498759698792,0
B_B2_i008_s941377808,941377808,VALIDATION,4946,PREMATURE_THIRD_CENTRE,4945,2,0,4588,3,3,358,255,103,4790,202,346,584,9.219544457292887,2.6836388323150033,2.945395461936251,9.996141975308646,133.58757637474542,0.7099552707476323,963
B_B2_i009_s960967674,960967674,DISCOVERY,4236,PREMATURE_THIRD_CENTRE,4235,2,0,1632,3,3,2604,303,2301,1706,74,2596,741,22.20360331117452,2.317531305903399,2.9101221730824443,9.996141975308642,224.85509838998212,0.6347215565285951,5331
B_B2_i010_s968995017,968995017,DISCOVERY,11000,HORIZON,11000,0,0,-1,1,1,0,0,0,-1,-1,0,1129,0.0,2.762111111111111,2.9522214506172837,9.996141975308642,118.55111111111111,0.47056747555120276,0
B_B2_i011_s966153195,966153195,DISCOVERY,11000,HORIZON,11000,1,0,2808,2,2,8192,773,7419,2970,162,8181,1883,20.591260281974,2.5473333333333334,2.9070894204389575,9.996141975308642,227.86344444444444,0.2739814978890169,16373
B_B2_i012_s956361991,956361991,DISCOVERY,11000,HORIZON,11000,0,0,-1,1,1,0,0,0,-1,-1,0,1093,0.0,2.62,2.9511583504801098,9.996141975308642,121.85966666666667,0.4796779241511681,0
B_B2_i013_s972041382,972041382,DISCOVERY,6383,PREMATURE_THIRD_CENTRE,6382,2,0,2909,3,3,3474,476,2998,3026,117,3459,1012,21.095023109728988,2.7387634040611455,2.9142573157232063,9.996141975308642,215.06525211042666,0.4847057387667445,7066
B_B2_i014_s980820476,980820476,VALIDATION,11000,HORIZON,11000,0,0,-1,1,1,0,0,0,-1,-1,0,1126,0.0,0.21422222222222223,2.9970850480109736,9.996141975308642,10.963,0.8354750238172196,0
B_B2_i015_s967065063,967065063,DISCOVERY,11000,HORIZON,11000,1,0,10349,2,2,651,105,546,10432,83,624,1220,15.811388300841896,2.417333333333333,2.9512999828532234,9.996141975308642,121.00588888888889,0.4832054572678195,1275
B_B2_i016_s947638651,947638651,DISCOVERY,11000,HORIZON,11000,1,0,5991,2,2,5009,711,4298,6053,62,5005,1635,21.633307652783937,2.7177777777777776,2.92641598079561,9.996141975308642,176.70355555555557,0.3429281671971859,10014
B_B2_i017_s966270202,966270202,DISCOVERY,11000,HORIZON,11000,0,0,-1,1,1,0,0,0,-1,-1,0,1115,0.0,0.0,3.0032600308641975,9.996141975308642,0.0,0.9920812853287884,0
B_B2_i018_s951092510,951092510,DISCOVERY,11000,HORIZON,11000,0,0,-1,1,1,0,0,0,-1,-1,0,1107,0.0,1.6483333333333334,2.968979681069959,9.996141975308642,80.958,0.5909051479162005,0
B_B2_i019_s942600591,942600591,DISCOVERY,11000,HORIZON,11000,0,0,-1,1,1,0,0,0,-1,-1,0,1080,0.0,2.7194444444444446,2.952411179698217,9.996141975308642,118.65322222222223,0.48459197108175006,0
B_B2_i020_s987469641,987469641,DISCOVERY,8204,PREMATURE_THIRD_CENTRE,8203,2,0,3859,3,3,4345,942,3403,3922,63,4337,1377,19.72308292331602,2.506931012250161,2.92333997978206,9.996141975308644,187.89571244358478,0.4265797182031507,8902
B_B2_i021_s983505834,983505834,DISCOVERY,11000,HORIZON,11000,0,0,-1,1,1,0,0,0,-1,-1,0,1144,0.0,2.760222222222222,2.951278206447188,9.996141975308642,121.59355555555555,0.4669114160040946,0
B_B2_i022_s966253201,966253201,VALIDATION,10228,PREMATURE_THIRD_CENTRE,10227,2,0,10036,3,3,192,80,112,10116,80,176,1054,9.486832980505138,2.6514341273699564,2.9509983975224614,9.996141975308642,123.39426349052017,0.48675742587649734,446
B_B2_i023_s957030645,957030645,DISCOVERY,11000,HORIZON,11000,1,0,6819,2,2,4181,128,4053,6923,104,4164,1542,22.627416997969522,2.6315555555555554,2.9284215534979423,9.996141975308642,173.5571111111111,0.35160724288437734,8345
B_B2_i024_s966161656,966161656,DISCOVERY,11000,HORIZON,11000,0,0,-1,1,1,0,0,0,-1,-1,0,1126,0.0,2.8066666666666666,2.949559842249657,9.996141975308642,128.53588888888888,0.4443089367425435,0
B_B2_i025_s949115275,949115275,DISCOVERY,11000,HORIZON,11000,0,0,-1,1,1,0,0,0,-1,-1,0,1096,0.0,2.592888888888889,2.9523685699588476,9.996141975308642,118.97,0.47937782841541937,0
B_B2_i026_s942760172,942760172,DISCOVERY,11000,HORIZON,11000,0,0,-1,1,1,0,0,0,-1,-1,0,1156,0.0,0.0,3.001623371056241,9.996141975308642,0.0,0.9992461942812512,0
B_B2_i027_s966840968,966840968,VALIDATION,11000,HORIZON,11000,0,0,-1,1,1,0,0,0,-1,-1,0,1133,0.0,2.703666666666667,2.9503311042524003,9.996141975308642,121.86711111111111,0.47696778187236977,0
B_B2_i028_s986391292,986391292,DISCOVERY,11000,HORIZON,11000,0,0,-1,1,1,0,0,0,-1,-1,0,1109,0.0,2.523222222222222,2.9540838477366256,9.996141975308642,113.10077777777778,0.5057340947550376,0
B_B2_i029_s981241043,981241043,DISCOVERY,11000,HORIZON,11000,1,0,6949,2,2,4051,579,3472,7220,271,4046,1540,25.45584412271571,2.8547777777777776,2.929812671467764,9.996141975308642,173.58644444444445,0.33571939193359857,8097
B_B2_i030_s945232182,945232182,DISCOVERY,11000,HORIZON,11000,1,0,8723,2,2,2277,493,1784,8789,66,2252,1315,21.095023109728988,2.2816666666666667,2.9482945816186557,9.996141975308642,129.78355555555555,0.47658759224299185,4529
B_B2_i031_s970832578,970832578,VALIDATION,11000,HORIZON,11000,0,0,-1,1,1,0,0,0,-1,-1,0,1182,0.0,2.8177777777777777,2.9483628257887515,9.996141975308642,127.39911111111111,0.462147885838976,0
B_B2_i032_s987071224,987071224,DISCOVERY,11000,HORIZON,11000,0,0,-1,1,1,0,0,0,-1,-1,0,1169,0.0,2.5162222222222224,2.954516289437586,9.996141975308642,118.04977777777778,0.4816769765515518,0
B_B2_i033_s952998766,952998766,VALIDATION,4736,PREMATURE_THIRD_CENTRE,4735,2,0,4088,3,3,648,432,216,4215,127,637,552,7.615773105863909,2.8702485380116958,2.946220602303083,9.996141975308644,133.35526315789474,0.6656170502417137,1515
B_B2_i034_s947942706,947942706,VALIDATION,11000,HORIZON,11000,1,0,7396,2,2,3604,1018,2586,7506,110,3562,1536,17.204650534085253,2.56,2.9363112997256517,9.996141975308642,157.34433333333334,0.37802945542175115,7166
B_B2_i035_s976162527,976162527,DISCOVERY,11000,HORIZON,11000,1,0,5177,2,2,5823,1341,4482,5291,114,5778,1693,18.788294228055936,2.6805555555555554,2.9220711591220847,9.996141975308642,191.17755555555556,0.3209028876909322,11601
B_B2_i036_s958115840,958115840,VALIDATION,11000,HORIZON,11000,0,0,-1,1,1,0,0,0,-1,-1,0,1109,0.0,2.346,2.9531136831275724,9.996141975308642,113.3681111111111,0.5213562820872333,0
B_B2_i037_s953794064,953794064,DISCOVERY,11000,HORIZON,11000,1,0,5380,2,2,5620,621,4999,6001,621,5599,1702,25.45584412271571,2.89,2.9190570987654323,9.996141975308642,201.06344444444446,0.3096884673490333,11219
B_B2_i038_s958333012,958333012,VALIDATION,11000,HORIZON,11000,0,0,-1,1,1,0,0,0,-1,-1,0,1083,0.0,2.7324444444444445,2.950346021947874,9.996141975308642,122.21888888888888,0.46605712718234515,0
B_B2_i039_s957160105,957160105,VALIDATION,11000,HORIZON,11000,1,0,9986,2,2,1014,273,741,10223,237,1007,1242,23.430749027719962,2.5,2.946507716049383,9.996141975308642,130.82244444444444,0.45341902166209425,2021
B_B2_i040_s955063215,955063215,VALIDATION,11000,HORIZON,11000,0,0,-1,1,1,0,0,0,-1,-1,0,1133,0.0,2.643,2.9535996227709194,9.996141975308642,115.60466666666666,0.4747119765648945,0
B_B2_i041_s987797495,987797495,DISCOVERY,11000,HORIZON,11000,0,0,-1,1,1,0,0,0,-1,-1,0,1072,0.0,2.742,2.9533455075445816,9.996141975308642,117.76255555555555,0.47838858471261364,0
B_B2_i042_s970864850,970864850,DISCOVERY,11000,HORIZON,11000,0,0,-1,1,1,0,0,0,-1,-1,0,1178,0.0,2.203888888888889,2.9566273148148148,9.996141975308642,105.0321111111111,0.532767629607817,0
B_B2_i043_s960395155,960395155,VALIDATION,11000,HORIZON,11000,0,0,-1,1,1,0,0,0,-1,-1,0,1157,0.0,2.7392222222222222,2.9519553326474623,9.996141975308642,120.78488888888889,0.4776054651628695,0
