seed,eligible,deep_reached,rest_assay_valid,deep_assay_valid,valid,reason,censored,censoring_reason,g0_rest_valid,g0_deep_valid,g0_status,event_classification,raw_tracker_status,event_step,deep_snapshot_step,M_0,M_1,M_2,rest_tracked_entity_sizes,deep_tracked_entity_sizes,event_parent_entity_sizes,raw_sha256,raw_inputs,generating_script
54023,False,False,False,False,False,fewer_than_three_geometrically_eligible_targets,True,fewer_than_three_geometrically_eligible_targets,False,False,FAIL,,,,,,,,,,,6af96a4628c49d9b890200524bb900c28507afde62265271b39099c2cb058210,results/LCI-TURNOVER-PROSPECTIVE-03G/raw_manifest_03g.json@sha256:ce8d2cb0b6158965acaeef3553f44c7f9bf0ef9b9567c858ff5cbb27f903a328,analysis/lci-turnover-raw-reproduction-03m/raw_reproduction_03m.py
54024,True,True,True,True,True,,False,,True,True,PASS,,,,810,0.2241574675085395,0.2498345889087769,0.19801731001269118,74;79;52,41;40;32,,dfef0cebd31e4d88a7bd313247e7aa57352b955600c5d68e330c9e8d489f6117,results/LCI-TURNOVER-PROSPECTIVE-03G/raw_manifest_03g.json@sha256:ce8d2cb0b6158965acaeef3553f44c7f9bf0ef9b9567c858ff5cbb27f903a328,analysis/lci-turnover-raw-reproduction-03m/raw_reproduction_03m.py
54025,True,False,True,False,False,tracker_event:2:LOST@402,True,tracker_event:2:LOST@402,True,False,FAIL,LOSS,LOST,402,,,,,70;90;15,,52;71;12,82c306690fe007014f7fc87833b8438e7d71cbcb6fb37858fa71945f72445477,results/LCI-TURNOVER-PROSPECTIVE-03G/raw_manifest_03g.json@sha256:ce8d2cb0b6158965acaeef3553f44c7f9bf0ef9b9567c858ff5cbb27f903a328,analysis/lci-turnover-raw-reproduction-03m/raw_reproduction_03m.py
54026,True,True,True,True,True,,False,,True,True,PASS,,,,814,0.2499366557653558,0.21464691373200742,0.2490825509171472,94;96;54,43;54;25,,42b9a9a3650006608dbdae58b0716fe3042603a911a1aa9d8c00f306976355c7,results/LCI-TURNOVER-PROSPECTIVE-03G/raw_manifest_03g.json@sha256:ce8d2cb0b6158965acaeef3553f44c7f9bf0ef9b9567c858ff5cbb27f903a328,analysis/lci-turnover-raw-reproduction-03m/raw_reproduction_03m.py
54027,True,True,True,True,True,,False,,True,True,PASS,,,,906,0.18907087124470348,0.18891360107854466,0.24987125816826933,100;35;48,38;20;21,,c108df4be48f529e22ae06b43deb516d14d314641669028f9734646e7970637b,results/LCI-TURNOVER-PROSPECTIVE-03G/raw_manifest_03g.json@sha256:ce8d2cb0b6158965acaeef3553f44c7f9bf0ef9b9567c858ff5cbb27f903a328,analysis/lci-turnover-raw-reproduction-03m/raw_reproduction_03m.py
54028,True,False,True,False,False,tracker_event:1:SPLIT@432,True,tracker_event:1:SPLIT@432,True,False,FAIL,FISSION,SPLIT,432,,,,,91;79;47,,78;60;34,45382bcb86f17e45685e30f92591c683359a8fb53170194cafe2953fd6595881,results/LCI-TURNOVER-PROSPECTIVE-03G/raw_manifest_03g.json@sha256:ce8d2cb0b6158965acaeef3553f44c7f9bf0ef9b9567c858ff5cbb27f903a328,analysis/lci-turnover-raw-reproduction-03m/raw_reproduction_03m.py
54029,True,True,True,True,True,,False,,True,True,PASS,,,,854,0.18018913561084832,0.24993336481278602,0.16039732181318525,87;44;69,49;21;31,,9e4e603ca988b8e29367760e5142bbac3d01e7aacaebba3792b01d5cc1eb364f,results/LCI-TURNOVER-PROSPECTIVE-03G/raw_manifest_03g.json@sha256:ce8d2cb0b6158965acaeef3553f44c7f9bf0ef9b9567c858ff5cbb27f903a328,analysis/lci-turnover-raw-reproduction-03m/raw_reproduction_03m.py
54030,False,False,False,False,False,fewer_than_three_geometrically_eligible_targets,True,fewer_than_three_geometrically_eligible_targets,False,False,FAIL,,,,,,,,,,,95724b63b352c6d2695fe19b2d0fc22a7c6c4f48a1719aedb30d8b419cafeb33,results/LCI-TURNOVER-PROSPECTIVE-03G/raw_manifest_03g.json@sha256:ce8d2cb0b6158965acaeef3553f44c7f9bf0ef9b9567c858ff5cbb27f903a328,analysis/lci-turnover-raw-reproduction-03m/raw_reproduction_03m.py
54031,False,False,False,False,False,fewer_than_three_geometrically_eligible_targets,True,fewer_than_three_geometrically_eligible_targets,False,False,FAIL,,,,,,,,,,,91d7403d4d0fdf50cfedd568c039fc52d2bd89c659c68995b93c752f9b904558,results/LCI-TURNOVER-PROSPECTIVE-03G/raw_manifest_03g.json@sha256:ce8d2cb0b6158965acaeef3553f44c7f9bf0ef9b9567c858ff5cbb27f903a328,analysis/lci-turnover-raw-reproduction-03m/raw_reproduction_03m.py
54032,True,True,True,True,True,,False,,True,True,PASS,,,,807,0.24992727185636057,0.11560522483323822,0.2331083142965928,69;94;76,33;31;39,,d4a2d8bf95299b1505e7c5796bf77dccf16c94db565ef969b199244843f14a74,results/LCI-TURNOVER-PROSPECTIVE-03G/raw_manifest_03g.json@sha256:ce8d2cb0b6158965acaeef3553f44c7f9bf0ef9b9567c858ff5cbb27f903a328,analysis/lci-turnover-raw-reproduction-03m/raw_reproduction_03m.py
